,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
26,Median Number of Rooms,OK,Adair,5.3,5.3,5.3,5.4,5.3,5.3,5.3,5.2,5.2,5.3
27,Number of Rooms: 1,OK,Adair,15,19,29,71,79,107,125,129,101,98
28,Number of Rooms: 2,OK,Adair,74,62,64,51,60,70,81,83,86,103
29,Number of Rooms: 3,OK,Adair,628,616,591,632,623,574,632,545,521,493
30,Number of Rooms: 4,OK,Adair,1780,1820,1890,1784,1779,1746,1737,1783,1738,1614
31,Number of Rooms: 5,OK,Adair,2646,2529,2418,2352,2442,2666,2715,2824,2990,2978
32,Number of Rooms: 6,OK,Adair,2395,2397,2512,2553,2489,2319,2264,2210,2192,2319
33,Number of Rooms: 7,OK,Adair,889,932,912,878,880,900,953,962,965,995
34,Number of Rooms: 8,OK,Adair,376,444,419,486,526,495,429,434,429,415
35,Number of Rooms: 9+,OK,Adair,251,275,300,341,320,335,311,335,322,365
26,Median Number of Rooms,OK,Alfalfa,5.5,5.6,5.6,5.7,5.7,5.7,5.7,5.7,5.8,5.6
27,Number of Rooms: 1,OK,Alfalfa,22,21,28,32,36,22,23,22,22,17
28,Number of Rooms: 2,OK,Alfalfa,11,12,11,21,35,30,33,37,31,16
29,Number of Rooms: 3,OK,Alfalfa,111,99,73,81,92,95,97,95,78,95
30,Number of Rooms: 4,OK,Alfalfa,505,464,478,445,424,421,423,403,387,430
31,Number of Rooms: 5,OK,Alfalfa,768,732,736,686,640,670,657,632,624,705
32,Number of Rooms: 6,OK,Alfalfa,651,661,686,680,704,706,711,751,778,675
33,Number of Rooms: 7,OK,Alfalfa,343,390,366,374,355,345,328,323,322,328
34,Number of Rooms: 8,OK,Alfalfa,171,191,209,245,207,205,220,214,196,193
35,Number of Rooms: 9+,OK,Alfalfa,189,199,178,187,257,259,250,258,287,269
26,Median Number of Rooms,OK,Atoka,5.1,5.2,5.2,5.2,5.3,5.3,5.4,5.3,5.4,5.3
27,Number of Rooms: 1,OK,Atoka,85,88,94,100,113,62,57,54,49,67
