,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,OK,Adair,2.85,2.83,2.82,2.76,2.79,2.74,2.74,2.72,2.72,2.81
1,Avg household size of renter-occupied unit,OK,Adair,2.72,2.76,2.78,2.77,2.82,2.88,2.93,3.06,3.11,2.96
36,Owner-Occupied,OK,Adair,16210,15964,15819,15725,15607,15333,15116,14798,14434,15062
37,Renter-Occupied,OK,Adair,6081,6254,6405,6510,6628,6804,6939,7227,7562,7034
0,Avg household size of owner-occupied unit,OK,Alfalfa,2.15,2.2,2.19,2.25,2.23,2.28,2.35,2.46,2.45,2.57
1,Avg household size of renter-occupied unit,OK,Alfalfa,2.47,2.3,2.33,2.36,2.34,2.26,2.31,2.39,2.39,2.38
36,Owner-Occupied,OK,Alfalfa,3520,3604,3512,3521,3476,3594,3526,3692,3732,3858
37,Renter-Occupied,OK,Alfalfa,974,912,1028,1097,1193,1123,1220,1133,1032,882
0,Avg household size of owner-occupied unit,OK,Atoka,2.3,2.36,2.44,2.43,2.45,2.4,2.38,2.36,2.36,2.37
1,Avg household size of renter-occupied unit,OK,Atoka,2.37,2.39,2.3,2.3,2.31,2.29,2.31,2.21,2.23,2.25
36,Owner-Occupied,OK,Atoka,9283,9796,9719,9673,9707,9236,8993,9126,9231,9214
37,Renter-Occupied,OK,Atoka,2947,2929,3113,3035,2876,3231,3276,3127,3099,3153
0,Avg household size of owner-occupied unit,OK,Beaver,2.45,2.49,2.55,2.5,2.52,2.64,2.55,2.52,2.61,2.67
1,Avg household size of renter-occupied unit,OK,Beaver,2.53,2.72,2.95,2.98,3.01,2.93,2.72,2.67,2.69,2.75
36,Owner-Occupied,OK,Beaver,3953,3850,3810,3883,3991,4216,4109,4133,4110,4027
37,Renter-Occupied,OK,Beaver,1526,1641,1696,1648,1521,1238,1291,1230,1222,1271
0,Avg household size of owner-occupied unit,OK,Beckham,2.7,2.74,2.64,2.7,2.79,2.98,2.94,2.86,2.82,2.75
1,Avg household size of renter-occupied unit,OK,Beckham,2.62,2.6,2.61,2.64,2.6,2.67,2.79,2.7,2.61,2.48
36,Owner-Occupied,OK,Beckham,13687,13971,13594,12779,13621,14361,14097,14206,13858,13805
37,Renter-Occupied,OK,Beckham,7118,6797,7185,8010,7505,7251,7587,7029,6903,6340
0,Avg household size of owner-occupied unit,OK,Blaine,2.54,2.27,2.21,2.15,2.18,2.27,2.21,2.17,2.13,2.12
1,Avg household size of renter-occupied unit,OK,Blaine,2.69,2.21,2.05,2.28,2.15,2.21,2.09,2.02,1.96,1.89
36,Owner-Occupied,OK,Blaine,7654,6459,6321,5940,5891,6091,6174,6314,6378,6071
37,Renter-Occupied,OK,Blaine,2871,2761,2379,2394,2148,1970,1924,1844,1783,1964
0,Avg household size of owner-occupied unit,OK,Bryan,2.41,2.44,2.48,2.52,2.56,2.58,2.58,2.61,2.62,2.64
1,Avg household size of renter-occupied unit,OK,Bryan,2.47,2.57,2.6,2.54,2.5,2.58,2.66,2.58,2.59,2.63
36,Owner-Occupied,OK,Bryan,25724,26300,26397,26413,27182,27694,27722,27831,27794,28372
37,Renter-Occupied,OK,Bryan,13308,14340,14917,15464,15206,15183,15689,16153,16955,17139
0,Avg household size of owner-occupied unit,OK,Caddo,2.58,2.57,2.59,2.64,2.71,2.73,2.73,2.72,2.73,2.71
1,Avg household size of renter-occupied unit,OK,Caddo,2.65,2.73,2.71,2.87,2.81,2.85,2.79,2.87,2.84,2.7
36,Owner-Occupied,OK,Caddo,19218,18697,19232,19150,19784,19546,19709,19678,19994,19920
37,Renter-Occupied,OK,Caddo,7816,8221,8045,8590,8277,8694,8736,8724,8187,7993
0,Avg household size of owner-occupied unit,OK,Canadian,2.7,2.73,2.79,2.86,2.88,2.92,2.97,3.01,3.04,3.09
1,Avg household size of renter-occupied unit,OK,Canadian,2.48,2.49,2.52,2.61,2.67,2.75,2.86,2.87,2.94,3.03
36,Owner-Occupied,OK,Canadian,84374,87068,89963,92445,94980,96827,98741,100863,102737,104745
37,Renter-Occupied,OK,Canadian,22001,23472,23853,24811,25693,27279,28745,29933,31817,33486
0,Avg household size of owner-occupied unit,OK,Carter,2.67,2.71,2.72,2.73,2.73,2.68,2.67,2.66,2.63,2.6
1,Avg household size of renter-occupied unit,OK,Carter,2.44,2.45,2.62,2.65,2.69,2.65,2.56,2.47,2.49,2.55
36,Owner-Occupied,OK,Carter,33406,33636,33097,32741,33391,33442,33489,33628,33106,32496
37,Renter-Occupied,OK,Carter,12561,12716,13609,14330,14107,14218,14209,13878,14353,14853
0,Avg household size of owner-occupied unit,OK,Cherokee,2.75,2.78,2.76,2.73,2.73,2.87,2.85,2.92,2.92,2.87
1,Avg household size of renter-occupied unit,OK,Cherokee,2.53,2.6,2.56,2.6,2.65,2.68,2.74,2.68,2.65,2.67
36,Owner-Occupied,OK,Cherokee,30495,30798,30506,30586,30312,31275,31203,31711,32465,32655
37,Renter-Occupied,OK,Cherokee,14155,14083,14659,14699,15309,14529,14879,14725,14213,14075
0,Avg household size of owner-occupied unit,OK,Choctaw,2.41,2.42,2.47,2.48,2.53,2.6,2.6,2.56,2.51,2.51
1,Avg household size of renter-occupied unit,OK,Choctaw,2.42,2.53,2.44,2.46,2.33,2.32,2.3,2.31,2.33,2.3
36,Owner-Occupied,OK,Choctaw,10075,10299,10594,11046,10696,10942,10823,10479,10341,10396
