,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,OK,2.59,2.59,2.59,2.63,2.62,2.64,2.65,2.65,2.62,2.64
1,Avg household size of renter-occupied unit,OK,2.45,2.47,2.49,2.51,2.51,2.5,2.5,2.5,2.5,2.44
2,House Heating Fuel: Electric,OK,476597,504418,521871,530472,546544,555238,568080,579530,584523,591171
3,House Heating Fuel: Fuel Oil,OK,1512,1803,2009,1239,1976,2382,2554,3973,3353,2397
4,House Heating Fuel: Gas,OK,799757,787024,781022,768448,768244,770876,767875,760664,759085,762649
5,House Heating Fuel: Propane,OK,110248,110279,103017,103324,97810,95737,95067,93322,100674,100215
6,House Heating Fuel: Wood,OK,28411,26159,28392,29239,29462,26956,23848,21329,22935,22905
25,Median Number of Rooms,OK,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.5
26,Number of Rooms: 1,OK,19854,23687,24083,24111,25989,33699,34290,34817,31264,31149
27,Number of Rooms: 2,OK,27498,32647,29057,30886,31353,30877,34414,37007,35476,35234
28,Number of Rooms: 3,OK,130788,121497,128035,125346,128058,123991,122079,124243,126400,127733
29,Number of Rooms: 4,OK,274576,271701,269787,279017,274474,276209,278687,273058,267191,259253
30,Number of Rooms: 5,OK,436678,441038,447877,425435,436177,435999,439860,434497,435983,437824
31,Number of Rooms: 6,OK,354038,354715,351869,350411,355028,355493,348061,354018,366127,365330
32,Number of Rooms: 7,OK,195780,206191,198057,210601,208227,207614,208822,207409,211309,220324
33,Number of Rooms: 8,OK,116462,112113,114037,119216,117224,120003,121013,131350,125260,128908
34,Number of Rooms: 9+,OK,110531,111135,114844,117335,123026,127630,133846,137675,144063,143765
35,Owner-Occupied,OK,2518125,2505605,2491592,2491322,2489665,2533400,2523377,2552346,2550554,2589151
36,Renter-Occupied,OK,1131560,1175958,1213312,1249443,1278334,1267965,1290316,1269020,1282426,1257761
37,Total Housing Units,OK,1666205,1674724,1677646,1682358,1699556,1711515,1721072,1734074,1743073,1749520
38,Total Population,OK,3761702,3791508,3814820,3850568,3878051,3911338,3923561,3930864,3943079,3956971
39,Units in Structure: 1 ATTACHED,OK,32792,36709,34499,33915,33800,32647,36090,34380,33720,35807
40,Units in Structure: 1 DETACHED,OK,1220853,1220117,1220324,1217022,1234457,1248373,1250945,1259014,1271746,1275782
41,Units in Structure: 10-19,OK,53874,58154,60353,61523,57680,56662,56772,60510,62486,58040
42,Units in Structure: 2,OK,33835,34039,32072,39807,36772,32823,30657,33753,32390,32294
43,Units in Structure: 20-49,OK,26680,28498,37118,29972,31733,30530,28624,30900,31474,31954
44,Units in Structure: 3-4,OK,45180,39342,39736,44500,44838,45772,47582,45371,46143,46792
45,Units in Structure: 5-9,OK,62880,62423,57433,60454,65855,68186,70365,66271,66185,65341
46,Units in Structure: 50+,OK,29226,28686,31650,30202,31760,35979,34329,35193,37145,39736
47,"Units in Structure: Boat,RV,Van,Etc.",OK,1888,2716,1972,2233,2928,2186,2600,2834,3078,4004
48,Units in Structure: Mobile Home,OK,158997,164040,162489,162730,159733,158357,163108,165848,158706,159770
49,Year Built: 1940-1949,OK,99416,101005,102220,100580,94455,92363,93586,89697,87642,85376
50,Year Built: 1950-1959,OK,189177,186302,187472,178536,182351,180563,174687,178324,181812,176236
51,Year Built: 1960-1969,OK,212182,209365,207732,196695,203062,204599,202421,193335,200052,196402
52,Year Built: 1970-1979,OK,335274,324699,334375,336660,323891,331053,313666,322832,324542,323955
53,Year Built: 1980-1989,OK,265831,257410,253384,251173,257868,244789,248762,251301,260280,254701
54,Year Built: 1990-1999,OK,190172,192887,186401,200906,202487,208793,200654,204524,195200,204086
55,Year Built: 2000-2009,OK,121274,128523,238044,238198,238508,237571,250885,236959,217115,225658
56,Year Built: 2010-2013,OK,105199,133092,24366,40895,52663,61932,70144,70885,71166,63981
57,Year Built: 2014 or later,OK,,,,,,11809.0,31204.0,51192.0,72033.0,86713.0
58,Year Built: before 1940,OK,147680,141441,143652,138715,144271,138043,135063,135025,133231,132412
