,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,OK,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.5
26,Number of Rooms: 1,OK,19854,23687,24083,24111,25989,33699,34290,34817,31264,31149
27,Number of Rooms: 2,OK,27498,32647,29057,30886,31353,30877,34414,37007,35476,35234
28,Number of Rooms: 3,OK,130788,121497,128035,125346,128058,123991,122079,124243,126400,127733
29,Number of Rooms: 4,OK,274576,271701,269787,279017,274474,276209,278687,273058,267191,259253
30,Number of Rooms: 5,OK,436678,441038,447877,425435,436177,435999,439860,434497,435983,437824
31,Number of Rooms: 6,OK,354038,354715,351869,350411,355028,355493,348061,354018,366127,365330
32,Number of Rooms: 7,OK,195780,206191,198057,210601,208227,207614,208822,207409,211309,220324
33,Number of Rooms: 8,OK,116462,112113,114037,119216,117224,120003,121013,131350,125260,128908
34,Number of Rooms: 9+,OK,110531,111135,114844,117335,123026,127630,133846,137675,144063,143765
