,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,OK,99416,101005,102220,100580,94455,92363,93586,89697,87642,85376
50,Year Built: 1950-1959,OK,189177,186302,187472,178536,182351,180563,174687,178324,181812,176236
51,Year Built: 1960-1969,OK,212182,209365,207732,196695,203062,204599,202421,193335,200052,196402
52,Year Built: 1970-1979,OK,335274,324699,334375,336660,323891,331053,313666,322832,324542,323955
53,Year Built: 1980-1989,OK,265831,257410,253384,251173,257868,244789,248762,251301,260280,254701
54,Year Built: 1990-1999,OK,190172,192887,186401,200906,202487,208793,200654,204524,195200,204086
55,Year Built: 2000-2009,OK,121274,128523,238044,238198,238508,237571,250885,236959,217115,225658
56,Year Built: 2010-2013,OK,105199,133092,24366,40895,52663,61932,70144,70885,71166,63981
57,Year Built: 2014 or later,OK,,,,,,11809.0,31204.0,51192.0,72033.0,86713.0
58,Year Built: before 1940,OK,147680,141441,143652,138715,144271,138043,135063,135025,133231,132412
