Operator ID,Operator Name,Operator Type,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Statewide Total,Total,OK,5403,6619,9931,8773,7493,5589,7029,8409,5628,5580,5531
,Statewide Total,Cooperative,OK,0,0,1,1,0,0,0,0,0,0,0
,Statewide Total,Privately Owned,OK,0,0,1,1,3,0,2,0,0,0,0
,Statewide Total,Investor Owned,OK,4882,6117,9348,8234,7178,5248,6655,8078,5356,5315,5307
,Statewide Total,Municipal Owned,OK,521,502,581,537,312,341,372,331,272,265,224
39546,TONKAWA MUNICIPAL AUTHORITY,Municipal Owned,OK,0,0,0,0,0,0,0,0,0,0,0
32686,"HGA, LLC",Cooperative,OK,0,0,1,1,0,0,0,0,0,0,0
32636,"TALL OAK MID-CON, LLC",Privately Owned,OK,0,0,1,0,0,0,0,0,0,0,0
31984,"RURAL WATER, SEWER, GAS & SOLID WASTE MGMT. DIST. #10 OF DELAWARE CTY, OK",Municipal Owned,OK,0,0,15,3,5,11,0,0,0,0,0
31637,PANHANDLE NATURAL GAS,Privately Owned,OK,0,0,0,1,3,0,2,0,0,0,0
31597,CITY OF HOOKER,Municipal Owned,OK,0,11,29,20,3,10,9,7,6,14,5
31286,"ONEOK GAS TRANSPORTATION, LLC",Investor Owned,OK,6,4,0,2,5,13,2,1,5,0,0
31159,"KANSAS GAS SERVICE COMPANY, A DIVISION OF ONE GAS, INC.",Investor Owned,OK,312,954,500,400,314,191,240,164,194,145,196
30629,"ONEOK FIELD SERVICES COMPANY, L.L.C.",Investor Owned,OK,0,0,0,0,0,0,0,0,0,0,0
30588,ENERFIN RESOURCES I LIMITED PARTNERSHIP,Privately Owned,OK,0,0,0,0,0,0,0,0,0,0,0
30563,GROVE MUNICIPAL SERVICES AUTHORITY,Municipal Owned,OK,43,38,38,51,27,31,32,43,33,79,31
30527,FAIRLAND GAS CO,Municipal Owned,OK,0,0,4,3,2,2,2,0,0,0,0
30526,OILTON PUBLIC WORKS AUTHORITY,Municipal Owned,OK,2,0,4,14,10,4,2,7,2,5,18
30507,AFTON PUBLIC WORKS AUTHORITY (APWA),Municipal Owned,OK,1,6,28,17,3,8,8,0,0,2,0
26330,"ENABLE OKLAHOMA INTRASTATE TRANSMISSION, LLC",Investor Owned,OK,0,0,0,0,0,0,0,0,0,0,0
24010,YALE WATER & SEWER TRUST,Municipal Owned,OK,0,1,20,43,9,5,50,20,0,10,1
