,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
3,House Heating Fuel: Electric,OR,Baker,1809,1849,1860,1954,2097,2139,2024,1993,1916,1929
4,House Heating Fuel: Fuel Oil,OR,Baker,490,317,234,229,256,202,204,240,238,277
5,House Heating Fuel: Gas,OR,Baker,2691,2827,2792,2808,2749,2787,2731,2845,2760,2856
6,House Heating Fuel: Propane,OR,Baker,617,697,753,681,622,603,496,416,475,550
7,House Heating Fuel: Wood,OR,Baker,1206,1223,1258,1256,1310,1317,1428,1472,1491,1270
3,House Heating Fuel: Electric,OR,Benton,16889,17010,16782,16251,16463,16743,16841,17497,17957,18116
4,House Heating Fuel: Fuel Oil,OR,Benton,282,230,275,274,237,288,314,258,245,230
5,House Heating Fuel: Gas,OR,Benton,13209,13023,13220,13456,13500,13784,14062,14190,14041,14420
6,House Heating Fuel: Propane,OR,Benton,442,464,491,530,408,401,388,409,417,522
7,House Heating Fuel: Wood,OR,Benton,2323,2421,2436,2526,2439,2334,2188,2002,1999,1929
3,House Heating Fuel: Electric,OR,Clackamas,59991,60291,60044,61092,61928,63484,64376,65894,66732,68939
4,House Heating Fuel: Fuel Oil,OR,Clackamas,5074,4558,4309,4415,4151,3737,3303,3353,2937,2674
5,House Heating Fuel: Gas,OR,Clackamas,65672,66804,67481,67146,67830,68410,69699,70936,72726,72218
6,House Heating Fuel: Propane,OR,Clackamas,3102,3222,3147,3308,3220,3278,3107,3177,2756,3117
7,House Heating Fuel: Wood,OR,Clackamas,7865,7982,8528,8972,8894,8915,9066,8643,8442,8261
3,House Heating Fuel: Electric,OR,Clatsop,6559,6539,6498,6250,6078,5929,5853,6074,6159,6116
4,House Heating Fuel: Fuel Oil,OR,Clatsop,1230,1039,873,783,752,789,790,742,730,629
5,House Heating Fuel: Gas,OR,Clatsop,6529,6406,6317,6639,6740,6843,6977,6887,6771,6965
6,House Heating Fuel: Propane,OR,Clatsop,288,255,227,336,334,342,388,440,434,433
7,House Heating Fuel: Wood,OR,Clatsop,1483,1582,1645,1584,1648,1704,1709,1670,1607,1427
3,House Heating Fuel: Electric,OR,Columbia,9438,9683,9678,9668,9571,9884,9705,9975,10090,10368
4,House Heating Fuel: Fuel Oil,OR,Columbia,757,682,583,456,334,436,411,454,414,344
5,House Heating Fuel: Gas,OR,Columbia,6054,5954,5983,6119,6114,5911,6116,6152,6171,6175
6,House Heating Fuel: Propane,OR,Columbia,412,354,349,256,240,229,258,232,266,337
7,House Heating Fuel: Wood,OR,Columbia,2161,2251,2220,2270,2253,2107,2241,2191,2147,2246
3,House Heating Fuel: Electric,OR,Coos,17466,17116,17081,16872,17208,17092,17051,17416,17557,17703
4,House Heating Fuel: Fuel Oil,OR,Coos,1817,1703,1424,1310,1172,1032,1071,1017,1002,969
5,House Heating Fuel: Gas,OR,Coos,774,856,975,1137,1201,1389,1524,1518,1482,1473
6,House Heating Fuel: Propane,OR,Coos,1056,899,835,865,844,768,684,813,786,767
7,House Heating Fuel: Wood,OR,Coos,5085,5401,5155,5030,4751,4878,4737,5029,5034,5346
3,House Heating Fuel: Electric,OR,Crook,4096,4359,4387,4564,4669,4502,4569,4598,4404,4722
4,House Heating Fuel: Fuel Oil,OR,Crook,452,461,312,281,250,186,112,198,173,203
5,House Heating Fuel: Gas,OR,Crook,1990,1882,1932,1809,1840,2025,2051,2005,2208,2226
6,House Heating Fuel: Propane,OR,Crook,493,441,433,446,463,481,569,620,564,504
7,House Heating Fuel: Wood,OR,Crook,1552,1466,1527,1653,1612,1732,1709,1803,1804,1728
3,House Heating Fuel: Electric,OR,Curry,7824,7799,7827,8070,8156,8517,8358,8366,8349,8322
4,House Heating Fuel: Fuel Oil,OR,Curry,205,175,143,108,97,35,57,66,76,49
5,House Heating Fuel: Gas,OR,Curry,82,48,53,70,86,103,142,88,99,96
6,House Heating Fuel: Propane,OR,Curry,234,225,192,229,186,242,327,341,360,402
7,House Heating Fuel: Wood,OR,Curry,1807,1812,1836,1734,1670,1431,1372,1396,1424,1534
3,House Heating Fuel: Electric,OR,Deschutes,29370,29336,29745,30375,30826,30718,31561,32663,34157,35673
4,House Heating Fuel: Fuel Oil,OR,Deschutes,1331,1139,1132,1091,958,866,734,559,617,634
5,House Heating Fuel: Gas,OR,Deschutes,24684,25470,25462,24711,24823,25248,25514,26176,27466,27671
6,House Heating Fuel: Propane,OR,Deschutes,1669,1649,1715,1665,1798,2114,2349,2220,2406,2170
7,House Heating Fuel: Wood,OR,Deschutes,5603,5783,5864,6117,5814,6701,6979,7174,6901,7302
3,House Heating Fuel: Electric,OR,Douglas,22636,22955,23274,23430,23023,23344,23719,24134,24544,25456
4,House Heating Fuel: Fuel Oil,OR,Douglas,1273,1292,1166,1141,1050,920,854,860,865,849
5,House Heating Fuel: Gas,OR,Douglas,10892,10815,10757,10731,10854,11023,10851,11057,11165,11002
6,House Heating Fuel: Propane,OR,Douglas,880,647,637,565,570,492,526,559,558,550
7,House Heating Fuel: Wood,OR,Douglas,7169,7119,6918,6832,6930,6778,6749,6896,6707,6597
3,House Heating Fuel: Electric,OR,Gilliam,393,431,435,453,489,443,430,439,458,438
4,House Heating Fuel: Fuel Oil,OR,Gilliam,199,238,161,150,145,166,142,147,150,169
5,House Heating Fuel: Gas,OR,Gilliam,19,15,30,26,23,23,21,20,29,26
6,House Heating Fuel: Propane,OR,Gilliam,108,106,116,91,98,106,98,113,122,108
7,House Heating Fuel: Wood,OR,Gilliam,114,91,109,124,95,78,83,75,73,85
3,House Heating Fuel: Electric,OR,Grant,751,851,841,904,853,879,968,1077,1037,1044
4,House Heating Fuel: Fuel Oil,OR,Grant,910,855,780,716,681,647,587,576,626,738
5,House Heating Fuel: Gas,OR,Grant,82,64,68,66,73,62,24,48,55,43
6,House Heating Fuel: Propane,OR,Grant,205,238,217,193,166,205,188,195,189,219
7,House Heating Fuel: Wood,OR,Grant,1374,1339,1440,1409,1352,1323,1316,1201,1322,1277
3,House Heating Fuel: Electric,OR,Harney,1091,1367,1367,1330,1367,1231,1200,1188,1261,1492
4,House Heating Fuel: Fuel Oil,OR,Harney,911,686,605,562,473,506,573,586,625,639
5,House Heating Fuel: Gas,OR,Harney,154,120,74,73,55,42,26,35,18,37
6,House Heating Fuel: Propane,OR,Harney,158,110,69,59,76,79,154,194,182,188
7,House Heating Fuel: Wood,OR,Harney,916,905,971,1041,1027,1119,1036,977,967,841
3,House Heating Fuel: Electric,OR,Hood River,4496,4436,4125,4360,4501,4326,4371,4690,4356,4464
4,House Heating Fuel: Fuel Oil,OR,Hood River,418,322,346,385,333,264,311,248,248,244
5,House Heating Fuel: Gas,OR,Hood River,2008,2316,2497,2259,2270,2290,2194,2237,2548,2313
6,House Heating Fuel: Propane,OR,Hood River,235,302,319,310,294,316,242,253,218,315
7,House Heating Fuel: Wood,OR,Hood River,773,766,665,765,775,900,1005,1044,1070,1163
3,House Heating Fuel: Electric,OR,Jackson,41210,42476,42051,42444,42336,43038,43664,45275,46796,48019
4,House Heating Fuel: Fuel Oil,OR,Jackson,1762,1601,1481,1214,1041,953,936,926,954,879
5,House Heating Fuel: Gas,OR,Jackson,31918,31598,31064,30859,31022,30909,30760,31494,31434,31255
6,House Heating Fuel: Propane,OR,Jackson,1635,1313,1549,1251,1216,1205,1258,1044,1105,1038
7,House Heating Fuel: Wood,OR,Jackson,6348,6460,6742,6891,6934,6953,6842,6835,6514,6325
3,House Heating Fuel: Electric,OR,Jefferson,4523,4535,4534,4524,4591,4847,4695,4761,4930,4762
4,House Heating Fuel: Fuel Oil,OR,Jefferson,439,461,513,470,329,208,210,170,154,165
5,House Heating Fuel: Gas,OR,Jefferson,970,1018,1032,803,775,674,702,715,799,984
6,House Heating Fuel: Propane,OR,Jefferson,291,271,266,258,281,248,249,273,326,405
7,House Heating Fuel: Wood,OR,Jefferson,1535,1528,1606,1743,1642,1516,1502,1512,1542,1678
3,House Heating Fuel: Electric,OR,Josephine,17146,17418,17881,18081,17595,17494,17779,18698,19179,19506
4,House Heating Fuel: Fuel Oil,OR,Josephine,1389,1565,1479,1389,1373,1200,1005,942,942,1080
5,House Heating Fuel: Gas,OR,Josephine,8792,8361,8361,8098,8080,8379,8277,8095,7954,8267
6,House Heating Fuel: Propane,OR,Josephine,845,687,598,627,762,759,733,846,869,732
7,House Heating Fuel: Wood,OR,Josephine,5940,6278,5833,6048,6174,6483,6732,6711,6607,6354
3,House Heating Fuel: Electric,OR,Klamath,8453,8181,8385,8679,8506,8500,8837,8838,8963,8900
4,House Heating Fuel: Fuel Oil,OR,Klamath,2234,2070,1885,1951,1692,1552,1564,1431,1302,1470
5,House Heating Fuel: Gas,OR,Klamath,11264,11548,11974,11265,11496,11695,11031,11204,11066,11318
6,House Heating Fuel: Propane,OR,Klamath,770,715,533,585,553,605,640,605,622,659
7,House Heating Fuel: Wood,OR,Klamath,3520,3633,3925,3955,3961,3998,4144,4140,4412,4441
3,House Heating Fuel: Electric,OR,Lake,1022,1019,1019,1011,1186,1131,1249,1368,1369,1256
4,House Heating Fuel: Fuel Oil,OR,Lake,1072,978,927,842,877,756,754,834,851,819
5,House Heating Fuel: Gas,OR,Lake,146,127,117,73,39,14,19,21,78,91
6,House Heating Fuel: Propane,OR,Lake,236,231,272,207,232,260,259,241,219,280
7,House Heating Fuel: Wood,OR,Lake,930,1068,1122,1295,1154,1228,1026,994,910,978
3,House Heating Fuel: Electric,OR,Lane,103103,103679,105063,104358,104550,104739,105744,107574,109767,111666
4,House Heating Fuel: Fuel Oil,OR,Lane,1594,1393,1182,1156,1149,1114,1030,1028,908,800
5,House Heating Fuel: Gas,OR,Lane,24822,25512,25498,25591,25768,25978,25662,25992,26481,26617
6,House Heating Fuel: Propane,OR,Lane,1475,1395,1397,1369,1268,1112,1194,1246,1156,1159
7,House Heating Fuel: Wood,OR,Lane,10767,10912,10584,10572,10752,10831,10647,10419,10015,10121
3,House Heating Fuel: Electric,OR,Lincoln,12803,12943,13400,13285,12947,13064,13012,13133,13182,13314
4,House Heating Fuel: Fuel Oil,OR,Lincoln,325,284,296,177,163,187,154,149,139,141
5,House Heating Fuel: Gas,OR,Lincoln,4470,4408,4319,4561,4661,4522,4563,4668,4801,4903
6,House Heating Fuel: Propane,OR,Lincoln,416,420,353,329,291,339,310,334,377,451
7,House Heating Fuel: Wood,OR,Lincoln,2415,2487,2398,2249,2280,2113,2075,2102,2281,2244
3,House Heating Fuel: Electric,OR,Linn,21276,21489,21556,21976,22430,22499,22772,22959,23390,23347
4,House Heating Fuel: Fuel Oil,OR,Linn,915,764,633,523,376,307,299,356,291,359
5,House Heating Fuel: Gas,OR,Linn,16432,16834,16868,16713,16490,16731,16832,17252,17343,18181
6,House Heating Fuel: Propane,OR,Linn,676,674,651,676,795,620,759,966,938,860
7,House Heating Fuel: Wood,OR,Linn,4485,4481,4339,4349,4177,4267,4062,4029,4264,4202
3,House Heating Fuel: Electric,OR,Malheur,4518,4669,4777,4854,5231,5547,5508,5478,5512,5347
4,House Heating Fuel: Fuel Oil,OR,Malheur,636,659,595,605,563,582,563,520,431,411
5,House Heating Fuel: Gas,OR,Malheur,3622,3516,3378,3329,3134,2808,2789,2831,2809,2914
6,House Heating Fuel: Propane,OR,Malheur,453,403,344,319,272,268,355,356,362,395
7,House Heating Fuel: Wood,OR,Malheur,825,880,916,863,874,912,929,852,856,791
3,House Heating Fuel: Electric,OR,Marion,54155,53757,54099,55153,55637,56218,57981,58624,59468,60629
4,House Heating Fuel: Fuel Oil,OR,Marion,3095,2779,2584,2305,2211,1935,1789,1763,1688,1523
5,House Heating Fuel: Gas,OR,Marion,48074,48807,48981,48449,48355,48373,48352,48767,48851,49120
6,House Heating Fuel: Propane,OR,Marion,1175,1345,1219,1252,1307,1326,1180,1214,1261,1284
7,House Heating Fuel: Wood,OR,Marion,5639,5425,5522,5201,5366,5027,4925,4753,4581,4450
3,House Heating Fuel: Electric,OR,Morrow,2276,2411,2424,2461,2559,2619,2660,2757,2769,2876
4,House Heating Fuel: Fuel Oil,OR,Morrow,342,318,281,284,276,207,194,177,172,138
5,House Heating Fuel: Gas,OR,Morrow,378,350,314,271,266,267,298,301,304,334
6,House Heating Fuel: Propane,OR,Morrow,253,225,256,238,251,313,325,323,394,370
7,House Heating Fuel: Wood,OR,Morrow,604,532,492,462,332,340,355,362,300,355
3,House Heating Fuel: Electric,OR,Multnomah,117439,121470,122363,124323,126813,128067,130193,134784,138686,144179
4,House Heating Fuel: Fuel Oil,OR,Multnomah,22377,21122,19174,17373,15760,14412,13145,11329,10462,9318
