,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,OR,Baker,2.26,2.2,2.17,2.16,2.16,2.2,2.24,2.24,2.26,2.27
1,Avg household size of renter-occupied unit,OR,Baker,2.46,2.33,2.28,2.22,2.15,2.08,2.12,2.09,2.15,2.13
36,Owner-Occupied,OR,Baker,11096,10654,10468,10314,10219,10387,10600,10743,10952,11107
37,Renter-Occupied,OR,Baker,4892,5015,5122,5218,5282,5060,4835,4660,4457,4316
0,Avg household size of owner-occupied unit,OR,Benton,2.53,2.54,2.52,2.53,2.52,2.48,2.47,2.47,2.49,2.5
1,Avg household size of renter-occupied unit,OR,Benton,2.11,2.18,2.24,2.27,2.29,2.3,2.29,2.24,2.28,2.24
36,Owner-Occupied,OR,Benton,48485,48703,48770,48892,48343,48196,48278,48972,49598,51104
37,Renter-Occupied,OR,Benton,30159,31066,31655,31809,32485,33042,33556,33623,34480,34192
0,Avg household size of owner-occupied unit,OR,Clackamas,2.69,2.69,2.7,2.67,2.66,2.68,2.69,2.68,2.7,2.71
1,Avg household size of renter-occupied unit,OR,Clackamas,2.25,2.26,2.31,2.36,2.41,2.39,2.39,2.34,2.33,2.28
36,Owner-Occupied,OR,Clackamas,273003,273759,271905,269686,269504,273207,279740,287273,296038,303334
37,Renter-Occupied,OR,Clackamas,94576,97060,102312,107938,112263,113332,112284,109659,106662,104015
0,Avg household size of owner-occupied unit,OR,Clatsop,2.21,2.27,2.33,2.32,2.32,2.34,2.33,2.35,2.42,2.48
1,Avg household size of renter-occupied unit,OR,Clatsop,2.12,2.21,2.23,2.26,2.29,2.3,2.3,2.29,2.3,2.34
36,Owner-Occupied,OR,Clatsop,22290,22675,22860,22911,22864,22316,22289,22940,23776,24331
37,Renter-Occupied,OR,Clatsop,13144,13260,13228,13282,13437,14199,14520,14259,13984,13984
0,Avg household size of owner-occupied unit,OR,Columbia,2.56,2.56,2.56,2.57,2.61,2.64,2.65,2.63,2.65,2.63
1,Avg household size of renter-occupied unit,OR,Columbia,2.59,2.52,2.59,2.57,2.6,2.5,2.46,2.5,2.5,2.46
36,Owner-Occupied,OR,Columbia,37459,37717,36865,36147,35813,36449,36079,36836,37977,39054
37,Renter-Occupied,OR,Columbia,11465,11231,12095,12802,13091,12481,13138,12968,12469,11903
0,Avg household size of owner-occupied unit,OR,Coos,2.33,2.29,2.32,2.35,2.38,2.37,2.41,2.36,2.36,2.34
1,Avg household size of renter-occupied unit,OR,Coos,2.22,2.26,2.33,2.38,2.38,2.4,2.4,2.29,2.3,2.26
36,Owner-Occupied,OR,Coos,42576,41346,40976,40520,40749,39934,40194,40794,40658,41698
37,Renter-Occupied,OR,Coos,19923,20387,20682,21054,20820,21768,21703,21061,21571,20896
0,Avg household size of owner-occupied unit,OR,Crook,2.41,2.37,2.34,2.26,2.23,2.18,2.22,2.22,2.3,2.37
1,Avg household size of renter-occupied unit,OR,Crook,2.56,2.52,2.51,2.5,2.46,2.54,2.52,2.51,2.57,2.42
36,Owner-Occupied,OR,Crook,15192,15125,14771,14149,13676,13600,14031,13971,15183,16428
37,Renter-Occupied,OR,Crook,6254,5958,6094,6548,6961,7221,7168,7613,7024,6455
0,Avg household size of owner-occupied unit,OR,Curry,2.14,2.17,2.18,2.18,2.2,2.12,2.09,2.1,2.09,2.06
1,Avg household size of renter-occupied unit,OR,Curry,2.13,2.06,2.05,2.05,2.03,2.08,2.2,2.2,2.23,2.28
36,Owner-Occupied,OR,Curry,15887,16031,15619,15279,14839,14532,14327,14684,15207,15470
37,Renter-Occupied,OR,Curry,6490,6089,6469,6821,7231,7525,7761,7413,7022,6899
0,Avg household size of owner-occupied unit,OR,Deschutes,2.47,2.46,2.47,2.45,2.48,2.46,2.49,2.5,2.49,2.51
1,Avg household size of renter-occupied unit,OR,Deschutes,2.34,2.39,2.41,2.51,2.53,2.54,2.52,2.5,2.44,2.43
36,Owner-Occupied,OR,Deschutes,106341,105336,105134,103438,104410,105760,110124,113613,118705,125254
37,Renter-Occupied,OR,Deschutes,47323,50610,52659,55972,57505,59549,59404,60417,60625,59678
0,Avg household size of owner-occupied unit,OR,Douglas,2.42,2.4,2.41,2.38,2.4,2.39,2.4,2.37,2.37,2.36
1,Avg household size of renter-occupied unit,OR,Douglas,2.4,2.45,2.47,2.49,2.45,2.45,2.42,2.35,2.35,2.36
36,Owner-Occupied,OR,Douglas,75057,73765,73051,71708,71956,70479,71205,72080,72939,73073
37,Renter-Occupied,OR,Douglas,30984,32237,32894,34053,33589,35043,34455,33700,33577,34200
0,Avg household size of owner-occupied unit,OR,Gilliam,2.09,2.15,2.18,2.2,2.19,2.15,2.33,2.34,2.21,2.1
1,Avg household size of renter-occupied unit,OR,Gilliam,1.92,1.91,2.01,2.07,2.14,2.38,2.55,2.37,2.25,2.4
36,Owner-Occupied,OR,Gilliam,1185,1222,1225,1231,1189,1086,1166,1207,1185,1190
37,Renter-Occupied,OR,Gilliam,546,636,668,670,719,778,732,688,700,661
0,Avg household size of owner-occupied unit,OR,Grant,2.28,2.27,2.22,2.25,2.29,2.26,2.16,2.13,2.08,2.05
1,Avg household size of renter-occupied unit,OR,Grant,1.96,1.81,1.95,2.0,2.2,2.26,2.45,2.42,2.22,2.13
36,Owner-Occupied,OR,Grant,5554,5423,5256,5244,5330,5140,4949,4959,4824,4928
37,Renter-Occupied,OR,Grant,1795,1787,1962,1972,1841,1971,2099,2066,2170,2077
0,Avg household size of owner-occupied unit,OR,Harney,2.22,2.26,2.28,2.34,2.37,2.39,2.37,2.36,2.3,2.22
1,Avg household size of renter-occupied unit,OR,Harney,2.0,2.04,2.2,2.21,2.14,2.18,2.14,2.08,2.05,2.1
36,Owner-Occupied,OR,Harney,4754,4840,4655,4721,4952,5008,5115,5089,5347,5195
37,Renter-Occupied,OR,Harney,2418,2336,2508,2412,2130,2050,1928,1932,1702,1894
0,Avg household size of owner-occupied unit,OR,Hood River,2.58,2.47,2.58,2.59,2.56,2.64,2.69,2.6,2.63,2.62
1,Avg household size of renter-occupied unit,OR,Hood River,2.69,2.64,2.7,2.68,2.73,2.7,2.62,2.5,2.52,2.5
36,Owner-Occupied,OR,Hood River,14042,13690,14208,13953,13537,14016,14244,14198,14816,15160
37,Renter-Occupied,OR,Hood River,6801,7013,6835,7396,8064,7760,7610,7733,7313,7036
0,Avg household size of owner-occupied unit,OR,Jackson,2.43,2.4,2.41,2.42,2.42,2.42,2.45,2.42,2.43,2.45
1,Avg household size of renter-occupied unit,OR,Jackson,2.26,2.31,2.38,2.42,2.49,2.5,2.5,2.42,2.37,2.35
36,Owner-Occupied,OR,Jackson,128343,124270,124340,125347,125202,125177,129269,131024,133985,136667
37,Renter-Occupied,OR,Jackson,69045,74080,75493,75930,77571,79357,77917,77354,76608,76281
0,Avg household size of owner-occupied unit,OR,Jefferson,2.73,2.67,2.55,2.56,2.57,2.54,2.64,2.74,2.66,2.72
1,Avg household size of renter-occupied unit,OR,Jefferson,2.69,2.73,2.72,2.73,2.94,3.22,3.29,3.16,3.14,2.91
36,Owner-Occupied,OR,Jefferson,14939,14218,13145,13225,13183,13029,13751,14345,14618,14965
37,Renter-Occupied,OR,Jefferson,6242,6875,7738,7432,7822,8221,7780,7546,7541,7524
0,Avg household size of owner-occupied unit,OR,Josephine,2.41,2.36,2.35,2.34,2.36,2.34,2.35,2.37,2.39,2.36
1,Avg household size of renter-occupied unit,OR,Josephine,2.3,2.36,2.4,2.44,2.45,2.46,2.45,2.28,2.26,2.29
36,Owner-Occupied,OR,Josephine,56737,54993,53762,53187,53308,53580,53850,55997,57312,57011
37,Renter-Occupied,OR,Josephine,24741,26285,27652,28363,28476,28606,29019,27342,27003,28080
0,Avg household size of owner-occupied unit,OR,Klamath,2.38,2.38,2.35,2.4,2.4,2.39,2.39,2.4,2.38,2.39
1,Avg household size of renter-occupied unit,OR,Klamath,2.39,2.42,2.35,2.35,2.37,2.39,2.4,2.37,2.38,2.32
36,Owner-Occupied,OR,Klamath,45157,44528,43274,43202,42890,42053,41534,42398,41670,42788
