,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
40,Units in Structure: 1 ATTACHED,OR,Baker,93,125,176,183,233,193,161,112,109,55
41,Units in Structure: 1 DETACHED,OR,Baker,6338,6429,6333,6265,6282,6349,6412,6550,6617,6600
42,Units in Structure: 10-19,OR,Baker,87,67,115,80,106,163,191,130,168,174
43,Units in Structure: 2,OR,Baker,117,175,133,153,103,153,173,206,173,193
44,Units in Structure: 20-49,OR,Baker,163,166,187,205,190,217,192,142,121,139
45,Units in Structure: 3-4,OR,Baker,326,294,322,335,316,162,207,193,187,192
46,Units in Structure: 5-9,OR,Baker,248,247,198,185,196,215,142,130,174,226
47,Units in Structure: 50+,OR,Baker,30,48,68,108,103,111,115,109,68,102
48,"Units in Structure: Boat,RV,Van,Etc.",OR,Baker,0,5,20,19,23,23,32,18,18,13
49,Units in Structure: Mobile Home,OR,Baker,1390,1256,1274,1273,1280,1236,1206,1381,1361,1333
40,Units in Structure: 1 ATTACHED,OR,Benton,1285,1341,1350,1441,1409,1434,1559,1880,1879,2011
41,Units in Structure: 1 DETACHED,OR,Benton,21559,21171,21334,21930,21706,21747,22040,22583,22372,22681
42,Units in Structure: 10-19,OR,Benton,1949,2166,1973,1659,1707,1732,1814,1783,1985,1654
43,Units in Structure: 2,OR,Benton,1425,1360,1412,1400,1364,1363,1324,1225,1261,1058
44,Units in Structure: 20-49,OR,Benton,1347,1540,1643,1456,1487,1433,1275,1300,1278,1424
45,Units in Structure: 3-4,OR,Benton,1832,1779,1868,1855,1970,1920,1896,1984,1992,2173
46,Units in Structure: 5-9,OR,Benton,2476,2367,2275,2260,2409,2698,2854,2821,3176,3280
47,Units in Structure: 50+,OR,Benton,1746,1824,1979,2055,2168,2077,2054,1847,1638,1569
48,"Units in Structure: Boat,RV,Van,Etc.",OR,Benton,51,46,42,57,63,44,53,103,93,116
49,Units in Structure: Mobile Home,OR,Benton,2252,2503,2425,2325,2418,2544,2401,2263,2363,2433
40,Units in Structure: 1 ATTACHED,OR,Clackamas,5863,6133,6393,6563,6578,6394,6731,6834,7066,7313
41,Units in Structure: 1 DETACHED,OR,Clackamas,105846,107999,108371,108892,108969,109940,110795,112736,114069,115307
