,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Total carbon dioxide emissions from all sectors, coal, Oregon (million metric tons CO2)",1.133303,2.420152,1.10735,0.927004,1.108807,0.943262,0.272663,0.344427,0.291617,0.633023,1.489406,3.120469,3.886172,3.524034,4.231487,1.916693,1.925329,1.554285,3.437271,3.677113,3.688864,4.134107,3.60441,4.290828,3.4862,3.407845,2.566048,4.339785,3.953827,3.164818,4.063336,3.354504,2.697794,3.713917,3.268324,2.530677,1.856899,1.787596,1.614214,,
"Total carbon dioxide emissions from all sectors, natural gas, Oregon (million metric tons CO2)",4.36789,4.185428,3.923063,3.703037,4.322686,4.535921,3.848412,4.377016,4.730904,5.932266,5.927862,6.77974,6.746951,7.523382,8.114009,8.070609,9.985795,10.280896,12.694922,13.104891,12.254233,12.502061,10.972861,11.412913,12.630246,12.709088,12.188708,13.80752,14.572438,13.520855,12.888154,10.802709,11.703133,12.959887,12.015849,13.046475,13.255094,13.929391,14.394857,,
"Total carbon dioxide emissions from all sectors, petroleum, Oregon (million metric tons CO2)",22.549101,22.568671,23.55751,20.885424,21.724314,21.24515,21.861299,22.178383,23.734629,23.398867,22.773393,24.112771,24.189912,24.079491,24.376239,24.088115,24.253409,24.02672,24.981807,25.330606,25.010062,24.085582,24.614914,23.975433,24.631836,25.021146,25.568228,25.609975,24.225565,24.168707,23.730542,23.055009,22.508055,22.480406,22.755038,22.529757,22.829073,23.0438,23.546193,,
"Residential carbon dioxide emissions, all fuels, Oregon (million metric tons CO2)",2.012408,2.180211,2.077665,1.861769,2.087598,2.272785,2.009097,1.738274,1.9267,2.13794,2.024965,2.168337,1.880825,2.398098,2.333437,2.201639,2.457337,2.357263,2.442426,2.769044,2.729516,2.739077,2.727023,2.572964,2.498416,2.647963,2.677837,2.70989,2.889661,2.879343,2.536855,2.873576,2.632649,2.776831,2.540727,2.323721,2.502275,3.006729,2.709226,,
"Commercial carbon dioxide emissions, all fuels, Oregon (million metric tons CO2)",2.245722,1.919168,2.252504,1.904394,2.151016,1.857958,1.788252,1.743033,1.896271,1.835799,1.901897,1.882661,1.675,1.824054,1.733494,1.802244,1.916432,1.906896,1.987953,2.056671,2.097785,2.165285,2.083158,1.762383,1.747343,1.861178,1.852277,1.880225,2.029501,2.044973,1.879928,1.980347,1.797718,1.840254,1.78643,1.996857,2.12385,2.526207,2.423599,,
"Industrial carbon dioxide emissions, all fuels, Oregon (million metric tons CO2)",5.991117,5.307936,5.387808,4.254582,5.567322,4.732785,4.610495,4.718763,4.885825,4.49006,4.529559,4.813291,5.184323,5.908338,5.768524,6.255409,6.733495,6.912178,7.420252,7.726771,6.167863,5.643429,5.957742,5.263637,5.660561,5.268586,5.678508,5.361451,5.420444,4.710846,4.573154,5.010461,4.926515,4.802226,4.927553,4.884127,5.101201,5.004154,4.690925,,
"Transportation carbon dioxide emissions, all fuels, Oregon (million metric tons CO2)",16.992255,17.879843,18.024595,16.92454,16.552817,17.207087,17.572846,18.699024,20.047988,20.282352,19.957531,21.575203,21.617368,20.735325,21.48617,21.114847,21.88447,22.00473,23.01313,23.199148,22.475194,21.491851,21.905866,21.856346,22.666763,23.170139,23.708771,24.118322,22.293838,22.340481,21.892578,20.907652,20.600953,20.656028,20.826071,20.31186,20.425659,20.706584,21.355984,,
"Electric power carbon dioxide emissions, natural gas, Oregon (million metric tons CO2)",0.017031,0.010346,0.001698,5.3e-05,0,0,0,0,0,0.705229,0.402488,0.623044,0.792507,0.927908,1.436138,1.046331,1.424943,1.302966,2.859065,2.677823,3.749462,4.470608,3.013247,4.031086,4.803963,4.762419,4.087379,5.564265,6.315282,5.89449,5.90977,3.254867,4.413254,5.548189,4.922598,6.278991,5.927597,5.819733,6.895457,,
"Residential carbon dioxide emissions, natural gas, Oregon (million metric tons CO2)",1.020757,0.950669,1.036515,0.926741,1.071585,1.17372,1.033385,1.022667,1.130001,1.237069,1.268797,1.439587,1.272936,1.643961,1.601515,1.555409,1.840217,1.812628,1.917309,2.169434,2.117332,2.089212,2.11399,1.992968,2.061782,2.18811,2.255545,2.349827,2.449892,2.438697,2.18291,2.52762,2.350623,2.475465,2.247374,2.071332,2.239097,2.715971,2.415352,,
"Commercial carbon dioxide emissions, natural gas, Oregon (million metric tons CO2)",0.842115,0.826517,0.904563,0.836385,0.935071,1.040653,0.913317,0.911832,0.999004,1.113129,1.109574,1.221046,1.078005,1.327637,1.274633,1.242428,1.41725,1.419319,1.447651,1.60385,1.564164,1.522196,1.507711,1.395072,1.402712,1.518853,1.530154,1.589578,1.655474,1.618441,1.456989,1.646561,1.562572,1.635843,1.548459,1.430514,1.515829,1.803237,1.643112,,
"Industrial carbon dioxide emissions, natural gas, Oregon (million metric tons CO2)",2.176013,2.195856,1.791299,1.774003,2.168426,2.070961,1.712298,2.007505,2.164871,2.408348,2.657874,3.013778,3.227119,3.353181,3.478873,3.822149,4.860946,5.038686,5.72508,6.074723,4.175878,3.816313,3.838066,3.609923,3.83727,3.829524,3.853028,3.772223,3.741821,3.12021,2.986772,3.092302,3.121854,3.07283,3.086519,2.999506,3.285481,3.285905,3.076332,,
