,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Oregon (Million cubic feet)",18389,17163,18712,16779,19495,21478,19058,18750,20819,22504,23383,26324,23109,29777,28848,28067,33236,32522,34417,38564,38698,38271,38858,37300,38532,39806,41045,42880,45053,44819,40821,46604,43333,46254,41185,37070,39391,47841,42625,47927,
"Natural gas consumed by (delivered to) the commercial sector, Oregon (Million cubic feet)",15171,14922,16330,15143,17012,19043,16843,16718,18406,20249,20449,22328,19570,24047,22960,22419,25597,25465,25986,28510,28589,27884,27714,26110,26214,27631,27844,29007,30444,29744,27246,30359,28805,30566,28377,25602,26667,31763,28997,32379,
"Natural gas consumed by the industrial sector, Oregon (Million cubic feet)",39202,39643,32338,32119,39450,37896,31578,36806,39886,43811,48983,55109,58587,60735,62664,68970,87794,90403,102770,107984,76322,69908,70550,67562,71714,69666,70115,68836,68811,57344,55853,57016,57550,57416,56564,53681,57799,57880,54293,57028,
"Natural gas consumed by the electric power sector, Oregon (Million cubic feet)",321,186,32,1,0,0,0,0,0,12942,7386,11601,14765,17278,26762,19511,26354,24171,52846,49661,69451,82542,55854,74400,88734,87998,75186,101503,116637,108705,108827,60252,81444,101930,90098,113519,107003,104362,123365,143791,
"Total energy consumption per capita in the residential sector, Oregon (Million Btu)",74.4,72.3,74.9,71.3,75.7,79,72.5,71,73.9,78.7,76.2,77.9,72.3,79.6,77.1,74.3,75.2,73.2,72.7,75.6,75.5,72.4,70.7,70.5,66.7,68.2,69.2,67.5,68.6,68.3,64,68.1,62.9,65.3,61.9,57.7,58.7,63.6,59.1,60.6,
"Electricity consumed by (i.e., sold to) the residential sector, Oregon (Million kilowatthours)",13545,13182,13825,13116,14050,14526,13722,13711,14338,15085,15380,15949,15202,16696,16462,16315,17285,17185,17529,18058,18212,17503,17554,17736,18001,18339,18978,19374,19910,19804,18839,19429,18855,19329,18618,18269,18573,20066,18931,19286,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Oregon (Kilowatthours)",5128,4941,5188,4944,5269,5435,5113,5076,5231,5406,5377,5446,5081,5456,5274,5123,5323,5201,5229,5321,5310,5047,4996,5000,5043,5076,5170,5205,5283,5200,4909,5017,4834,4926,4695,4546,4538,4838,4525,4574,
"Distillate fuel oil consumed by the residential sector, Oregon (Billion Btu)",11762,14766,12295,10749,12602,13447,12089,8621,9986,11132,9271,8624,7095,8951,8405,7427,7017,6237,5562,6337,5719,6126,5650,5241,4421,3623,3767,3227,3847,3150,2475,2335,2125,2047,1686,1692,1771,1958,1488,1314,
"Propane consumed by the residential sector, Oregon (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2392,2425,1843,2292,2570,1929,1881,2217,2854,3296,
"Distillate fuel oil consumed by the commercial sector, Oregon (Billion Btu)",10440,5573,5825,10475,12280,7837,7931,8004,8239,6335,6946,5766,5096,4738,4617,6177,5302,5536,5786,4850,5783,7007,5976,3079,3446,3002,2766,2726,3405,4160,4291,2984,1782,1609,2077,2217,2291,2356,3006,2355,
"Electricity consumed by (i.e., sold to) the commercial sector, Oregon (Million kilowatthours)",10456,9088,9119,9001,9773,10340,10350,10785,11332,11613,12091,12395,12575,12859,13426,13558,14085,14477,14724,15347,15730,15263,15370,15483,15667,15380,16083,16187,16313,15978,15454,15754,15804,16080,16039,16021,16060,16571,16470,16423,
"Total energy consumption per capita in the commercial sector, Oregon (Million Btu)",59.2,50.2,52.4,50.4,53.9,55.1,53.6,54.5,56.8,59,60.1,60.1,58.5,59.3,59.8,59.2,58.5,59.3,58.8,60.9,61.8,58.8,57.2,56.1,52.7,53.4,54.8,52.6,52.4,50.7,48.2,50.5,48.2,48.7,47.9,46.1,46.5,48.7,46.8,46.5,
