,State,Tenure,Year Built,Structure Type,Heating Fuel,Federal Poverty Line,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,OR,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,0-100%,4.163,14754.12,801.55,234.63,440.85,10.01
2,OR,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,100-150%,5.55,14789.53,803.48,235.19,441.91,10.01
3,OR,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,150-200%,0.001,0.0,0.0,0.0,0.0,
4,OR,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,200-400%,0.063,0.0,0.0,0.0,0.0,
5,OR,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,400%+,4.398,130985.73,665.43,514.93,0.0,0.8999999999999999
6,OR,OWNER,1940-59,1 ATTACHED,ELECTRICITY,0-100%,88.684,11336.06,887.19,0.0,19.96,8.0
7,OR,OWNER,1940-59,1 ATTACHED,ELECTRICITY,100-150%,57.08,20953.69,1180.09,39.63,65.83,6.140000000000001
8,OR,OWNER,1940-59,1 ATTACHED,ELECTRICITY,150-200%,75.426,31719.53,3498.73,77.9,4.72,11.29
9,OR,OWNER,1940-59,1 ATTACHED,ELECTRICITY,200-400%,97.245,44242.39,2863.28,218.26,79.36,7.140000000000001
10,OR,OWNER,1940-59,1 ATTACHED,ELECTRICITY,400%+,155.906,135840.69,2312.43,0.0,0.0,1.7000000000000002
11,OR,OWNER,1940-59,1 ATTACHED,OTHER,0-100%,0.027,0.0,0.0,0.0,0.0,
12,OR,OWNER,1940-59,1 ATTACHED,OTHER,100-150%,0.006,0.0,0.0,0.0,0.0,
13,OR,OWNER,1940-59,1 ATTACHED,OTHER,150-200%,0.021,0.0,0.0,0.0,0.0,
14,OR,OWNER,1940-59,1 ATTACHED,OTHER,200-400%,0.018,0.0,0.0,0.0,0.0,
15,OR,OWNER,1940-59,1 ATTACHED,OTHER,400%+,0.028,0.0,0.0,0.0,0.0,
16,OR,OWNER,1940-59,1 ATTACHED,SOLAR,0-100%,0.17,0.0,0.0,0.0,0.0,
17,OR,OWNER,1940-59,1 ATTACHED,SOLAR,100-150%,0.035,0.0,0.0,0.0,0.0,
18,OR,OWNER,1940-59,1 ATTACHED,SOLAR,150-200%,0.059,0.0,0.0,0.0,0.0,
19,OR,OWNER,1940-59,1 ATTACHED,SOLAR,200-400%,0.235,0.0,0.0,0.0,0.0,
20,OR,OWNER,1940-59,1 ATTACHED,SOLAR,400%+,0.089,0.0,0.0,0.0,0.0,
21,OR,OWNER,1940-59,1 ATTACHED,UTILITY GAS,0-100%,63.296,4731.39,939.26,713.42,0.0,34.93
22,OR,OWNER,1940-59,1 ATTACHED,UTILITY GAS,100-150%,97.555,23917.39,992.58,536.73,0.0,6.39
23,OR,OWNER,1940-59,1 ATTACHED,UTILITY GAS,150-200%,39.943,18431.38,773.29,911.11,494.04,11.82
24,OR,OWNER,1940-59,1 ATTACHED,UTILITY GAS,200-400%,200.467,50895.13,590.48,478.26,21.51,2.1399999999999997
25,OR,OWNER,1940-59,1 ATTACHED,UTILITY GAS,400%+,197.36,120578.82,744.24,570.73,0.0,1.09
26,OR,OWNER,1940-59,1 ATTACHED,WOOD,0-100%,9.988,8898.69,1118.17,0.0,249.26,15.370000000000001
27,OR,OWNER,1940-59,1 ATTACHED,WOOD,100-150%,5.033,11755.57,1465.39,0.0,336.23,15.329999999999998
28,OR,OWNER,1940-59,1 ATTACHED,WOOD,150-200%,9.763,32573.6,0.0,1292.53,0.0,3.9699999999999998
29,OR,OWNER,1940-59,1 ATTACHED,WOOD,200-400%,25.676,37619.75,1167.0,126.96,341.2,4.35
30,OR,OWNER,1940-59,1 ATTACHED,WOOD,400%+,13.921,76538.43,852.18,0.0,388.62,1.6199999999999999
31,OR,OWNER,1940-59,1 ATTACHED,COAL,0-100%,0.055,0.0,0.0,0.0,0.0,
32,OR,OWNER,1940-59,1 ATTACHED,COAL,100-150%,0.01,0.0,0.0,0.0,0.0,
33,OR,OWNER,1940-59,1 ATTACHED,COAL,150-200%,0.0,0.0,0.0,0.0,0.0,
34,OR,OWNER,1940-59,1 ATTACHED,COAL,200-400%,0.163,0.0,0.0,0.0,0.0,
35,OR,OWNER,1940-59,1 ATTACHED,COAL,400%+,0.706,0.0,0.0,0.0,0.0,
36,OR,OWNER,1940-59,1 ATTACHED,NONE,0-100%,0.638,0.0,0.0,0.0,0.0,
37,OR,OWNER,1940-59,1 ATTACHED,NONE,100-150%,0.095,0.0,0.0,0.0,0.0,
38,OR,OWNER,1940-59,1 ATTACHED,NONE,150-200%,0.006,0.0,0.0,0.0,0.0,
39,OR,OWNER,1940-59,1 ATTACHED,NONE,200-400%,0.103,0.0,0.0,0.0,0.0,
40,OR,OWNER,1940-59,1 ATTACHED,NONE,400%+,0.29,0.0,0.0,0.0,0.0,
41,OR,OWNER,1940-59,1 ATTACHED,FUEL OIL,0-100%,5.396,11967.26,1755.75,585.81,3034.54,44.92
42,OR,OWNER,1940-59,1 ATTACHED,FUEL OIL,100-150%,11.594,10424.43,1309.12,644.3,2238.93,40.22
43,OR,OWNER,1940-59,1 ATTACHED,FUEL OIL,150-200%,2.986,0.0,0.0,0.0,0.0,
44,OR,OWNER,1940-59,1 ATTACHED,FUEL OIL,200-400%,40.625,73314.72,911.93,0.0,0.0,1.24
45,OR,OWNER,1940-59,1 ATTACHED,FUEL OIL,400%+,10.004,0.0,0.0,0.0,0.0,
46,OR,OWNER,1940-59,1 DETACHED,BOTTLED GAS,0-100%,235.72,9300.69,2110.68,915.32,124.23,33.87
47,OR,OWNER,1940-59,1 DETACHED,BOTTLED GAS,100-150%,263.799,18085.56,1435.45,1376.37,363.9,17.560000000000002
48,OR,OWNER,1940-59,1 DETACHED,BOTTLED GAS,150-200%,296.647,27000.0,1324.38,1250.22,345.29,10.81
49,OR,OWNER,1940-59,1 DETACHED,BOTTLED GAS,200-400%,722.592,51320.47,1443.17,1230.27,336.23,5.86
50,OR,OWNER,1940-59,1 DETACHED,BOTTLED GAS,400%+,833.152,114780.51,1263.64,1341.28,127.0,2.3800000000000003
51,OR,OWNER,1940-59,1 DETACHED,ELECTRICITY,0-100%,3786.525,9877.71,1550.62,142.12,72.29,17.87
52,OR,OWNER,1940-59,1 DETACHED,ELECTRICITY,100-150%,3334.408,23881.48,1671.1,140.53,69.33,7.88
53,OR,OWNER,1940-59,1 DETACHED,ELECTRICITY,150-200%,3607.67,34095.25,1809.49,123.72,99.42,5.96
54,OR,OWNER,1940-59,1 DETACHED,ELECTRICITY,200-400%,13907.367,56235.57,1696.59,94.58,91.46,3.35
55,OR,OWNER,1940-59,1 DETACHED,ELECTRICITY,400%+,15392.914,124287.63,1846.45,158.1,88.12,1.68
56,OR,OWNER,1940-59,1 DETACHED,OTHER,0-100%,109.838,12768.94,1333.9,103.87,404.14,14.42
57,OR,OWNER,1940-59,1 DETACHED,OTHER,100-150%,224.975,16128.91,1386.52,67.52,537.65,12.35
58,OR,OWNER,1940-59,1 DETACHED,OTHER,150-200%,125.151,25882.02,1255.0,0.0,700.03,7.55
59,OR,OWNER,1940-59,1 DETACHED,OTHER,200-400%,478.158,52083.51,1514.5,17.16,803.07,4.4799999999999995
60,OR,OWNER,1940-59,1 DETACHED,OTHER,400%+,517.527,91387.17,1311.63,78.47,640.08,2.22
61,OR,OWNER,1940-59,1 DETACHED,SOLAR,0-100%,5.019,1296.74,474.28,521.84,0.0,76.82
62,OR,OWNER,1940-59,1 DETACHED,SOLAR,100-150%,1.508,0.0,0.0,0.0,0.0,
63,OR,OWNER,1940-59,1 DETACHED,SOLAR,150-200%,48.279,29252.71,1068.58,4.25,23.12,3.75
64,OR,OWNER,1940-59,1 DETACHED,SOLAR,200-400%,34.955,29541.19,1641.23,1.33,7.18,5.58
65,OR,OWNER,1940-59,1 DETACHED,SOLAR,400%+,14.529,55110.02,104.31,0.0,0.0,0.19
66,OR,OWNER,1940-59,1 DETACHED,UTILITY GAS,0-100%,3434.37,10427.15,1060.08,772.39,127.47,18.8
67,OR,OWNER,1940-59,1 DETACHED,UTILITY GAS,100-150%,3773.932,23445.25,1109.89,658.7,86.44,7.91
68,OR,OWNER,1940-59,1 DETACHED,UTILITY GAS,150-200%,4396.996,33225.63,1242.72,698.54,62.69,6.03
69,OR,OWNER,1940-59,1 DETACHED,UTILITY GAS,200-400%,20112.465,58125.83,1121.8,739.64,62.52,3.3099999999999996
70,OR,OWNER,1940-59,1 DETACHED,UTILITY GAS,400%+,36828.712,141156.37,1132.87,771.66,46.63,1.38
71,OR,OWNER,1940-59,1 DETACHED,WOOD,0-100%,1199.636,10030.95,1226.97,90.82,463.37,17.76
72,OR,OWNER,1940-59,1 DETACHED,WOOD,100-150%,1268.302,23950.56,1425.22,141.24,531.5,8.76
73,OR,OWNER,1940-59,1 DETACHED,WOOD,150-200%,1383.591,36717.62,1800.5,83.65,625.97,6.84
74,OR,OWNER,1940-59,1 DETACHED,WOOD,200-400%,4683.596,55474.33,1428.88,138.9,542.0,3.8
75,OR,OWNER,1940-59,1 DETACHED,WOOD,400%+,4522.079,107352.6,1591.86,107.3,559.43,2.1
76,OR,OWNER,1940-59,1 DETACHED,COAL,0-100%,0.937,0.0,0.0,0.0,0.0,
77,OR,OWNER,1940-59,1 DETACHED,COAL,100-150%,0.27,0.0,0.0,0.0,0.0,
78,OR,OWNER,1940-59,1 DETACHED,COAL,150-200%,0.406,0.0,0.0,0.0,0.0,
79,OR,OWNER,1940-59,1 DETACHED,COAL,200-400%,1.599,0.0,0.0,0.0,0.0,
80,OR,OWNER,1940-59,1 DETACHED,COAL,400%+,2.747,0.0,0.0,0.0,0.0,
81,OR,OWNER,1940-59,1 DETACHED,NONE,0-100%,92.543,7793.25,872.56,311.53,151.21,17.130000000000003
82,OR,OWNER,1940-59,1 DETACHED,NONE,100-150%,39.796,14088.55,1095.8,0.0,176.13,9.030000000000001
83,OR,OWNER,1940-59,1 DETACHED,NONE,150-200%,26.672,18815.56,885.61,0.74,126.14,5.38
84,OR,OWNER,1940-59,1 DETACHED,NONE,200-400%,128.77,45304.22,1149.46,7.59,174.51,2.94
85,OR,OWNER,1940-59,1 DETACHED,NONE,400%+,178.722,127139.97,1328.44,16.72,68.45,1.11
86,OR,OWNER,1940-59,1 DETACHED,FUEL OIL,0-100%,527.437,7947.98,940.11,85.66,1114.61,26.93
87,OR,OWNER,1940-59,1 DETACHED,FUEL OIL,100-150%,511.354,18147.05,1142.35,24.6,1135.06,12.690000000000001
88,OR,OWNER,1940-59,1 DETACHED,FUEL OIL,150-200%,866.48,29922.12,1370.6,43.7,1205.62,8.76
89,OR,OWNER,1940-59,1 DETACHED,FUEL OIL,200-400%,2757.503,53665.59,1274.39,29.25,1264.78,4.79
90,OR,OWNER,1940-59,1 DETACHED,FUEL OIL,400%+,3854.741,125323.81,1298.01,69.56,1387.09,2.1999999999999997
91,OR,OWNER,1940-59,MOBILE_TRAILER,BOTTLED GAS,0-100%,8.329,886.4,32.46,15.05,0.0,5.36
92,OR,OWNER,1940-59,MOBILE_TRAILER,BOTTLED GAS,100-150%,19.803,16246.99,715.14,1092.64,0.0,11.129999999999999
93,OR,OWNER,1940-59,MOBILE_TRAILER,BOTTLED GAS,150-200%,5.235,11408.92,715.57,778.35,0.0,13.089999999999998
94,OR,OWNER,1940-59,MOBILE_TRAILER,BOTTLED GAS,200-400%,8.262,0.0,0.0,0.0,0.0,
95,OR,OWNER,1940-59,MOBILE_TRAILER,BOTTLED GAS,400%+,8.163,47767.89,1825.42,2512.67,0.0,9.08
96,OR,OWNER,1940-59,MOBILE_TRAILER,ELECTRICITY,0-100%,87.498,7758.36,1065.57,35.24,22.49,14.48
97,OR,OWNER,1940-59,MOBILE_TRAILER,ELECTRICITY,100-150%,104.336,19425.91,1146.53,9.61,0.0,5.949999999999999
98,OR,OWNER,1940-59,MOBILE_TRAILER,ELECTRICITY,150-200%,74.961,16386.03,927.45,49.1,1.65,5.970000000000001
99,OR,OWNER,1940-59,MOBILE_TRAILER,ELECTRICITY,200-400%,173.545,46889.27,1400.51,39.7,160.11,3.4099999999999997
100,OR,OWNER,1940-59,MOBILE_TRAILER,ELECTRICITY,400%+,154.19,75212.92,1928.96,108.51,0.0,2.71
101,OR,OWNER,1940-59,MOBILE_TRAILER,OTHER,0-100%,0.464,0.0,0.0,0.0,0.0,
102,OR,OWNER,1940-59,MOBILE_TRAILER,OTHER,100-150%,0.354,0.0,0.0,0.0,0.0,
103,OR,OWNER,1940-59,MOBILE_TRAILER,OTHER,150-200%,0.051,0.0,0.0,0.0,0.0,
104,OR,OWNER,1940-59,MOBILE_TRAILER,OTHER,200-400%,1.845,16858.81,614.93,0.0,236.66,5.050000000000001
105,OR,OWNER,1940-59,MOBILE_TRAILER,OTHER,400%+,1.443,12034.58,430.52,0.0,168.76,4.9799999999999995
106,OR,OWNER,1940-59,MOBILE_TRAILER,SOLAR,0-100%,2.581,0.0,0.0,0.0,0.0,
107,OR,OWNER,1940-59,MOBILE_TRAILER,SOLAR,100-150%,0.011,0.0,0.0,0.0,0.0,
108,OR,OWNER,1940-59,MOBILE_TRAILER,SOLAR,150-200%,0.0,0.0,0.0,0.0,0.0,
109,OR,OWNER,1940-59,MOBILE_TRAILER,SOLAR,200-400%,0.587,0.0,0.0,0.0,0.0,
110,OR,OWNER,1940-59,MOBILE_TRAILER,SOLAR,400%+,1.986,0.0,0.0,0.0,0.0,
111,OR,OWNER,1940-59,MOBILE_TRAILER,UTILITY GAS,0-100%,34.421,2123.32,251.91,359.33,0.0,28.79
112,OR,OWNER,1940-59,MOBILE_TRAILER,UTILITY GAS,100-150%,23.397,7417.67,102.26,152.18,0.0,3.4299999999999997
113,OR,OWNER,1940-59,MOBILE_TRAILER,UTILITY GAS,150-200%,18.805,22660.4,480.18,128.54,0.0,2.69
114,OR,OWNER,1940-59,MOBILE_TRAILER,UTILITY GAS,200-400%,66.953,38381.27,1185.12,301.45,0.0,3.8699999999999997
115,OR,OWNER,1940-59,MOBILE_TRAILER,UTILITY GAS,400%+,79.579,311582.26,1156.1,1161.5,0.0,0.74
116,OR,OWNER,1940-59,MOBILE_TRAILER,WOOD,0-100%,22.023,2046.93,398.14,0.0,49.86,21.89
117,OR,OWNER,1940-59,MOBILE_TRAILER,WOOD,100-150%,30.856,20333.7,963.48,0.0,186.73,5.66
118,OR,OWNER,1940-59,MOBILE_TRAILER,WOOD,150-200%,7.957,27646.4,1363.78,174.02,319.92,6.72
119,OR,OWNER,1940-59,MOBILE_TRAILER,WOOD,200-400%,53.975,46103.56,1363.44,166.22,830.45,5.12
120,OR,OWNER,1940-59,MOBILE_TRAILER,WOOD,400%+,22.245,301556.59,1413.48,292.79,1836.75,1.17
121,OR,OWNER,1940-59,MOBILE_TRAILER,COAL,0-100%,0.288,0.0,0.0,0.0,0.0,
122,OR,OWNER,1940-59,MOBILE_TRAILER,COAL,100-150%,0.747,0.0,0.0,0.0,0.0,
123,OR,OWNER,1940-59,MOBILE_TRAILER,COAL,150-200%,0.028,0.0,0.0,0.0,0.0,
124,OR,OWNER,1940-59,MOBILE_TRAILER,COAL,200-400%,0.316,0.0,0.0,0.0,0.0,
125,OR,OWNER,1940-59,MOBILE_TRAILER,COAL,400%+,0.82,0.0,0.0,0.0,0.0,
126,OR,OWNER,1940-59,MOBILE_TRAILER,NONE,0-100%,4.743,-5225.63,0.0,0.0,0.0,-0.0
127,OR,OWNER,1940-59,MOBILE_TRAILER,NONE,100-150%,0.703,0.0,0.0,0.0,0.0,
128,OR,OWNER,1940-59,MOBILE_TRAILER,NONE,150-200%,0.392,0.0,0.0,0.0,0.0,
129,OR,OWNER,1940-59,MOBILE_TRAILER,NONE,200-400%,3.264,0.0,0.0,0.0,0.0,
130,OR,OWNER,1940-59,MOBILE_TRAILER,NONE,400%+,0.0,0.0,0.0,0.0,0.0,
131,OR,OWNER,1940-59,MOBILE_TRAILER,FUEL OIL,0-100%,1.98,9100.41,922.05,0.0,724.47,18.09
132,OR,OWNER,1940-59,MOBILE_TRAILER,FUEL OIL,100-150%,2.174,11076.19,1122.24,0.0,881.76,18.09
133,OR,OWNER,1940-59,MOBILE_TRAILER,FUEL OIL,150-200%,0.336,0.0,0.0,0.0,0.0,
134,OR,OWNER,1940-59,MOBILE_TRAILER,FUEL OIL,200-400%,13.562,25960.56,833.67,0.0,1251.5,8.03
135,OR,OWNER,1940-59,MOBILE_TRAILER,FUEL OIL,400%+,6.073,46622.58,407.42,0.0,178.5,1.26
136,OR,OWNER,1940-59,10-19 UNIT,BOTTLED GAS,0-100%,0.0,0.0,0.0,0.0,0.0,
137,OR,OWNER,1940-59,10-19 UNIT,BOTTLED GAS,100-150%,0.239,0.0,0.0,0.0,0.0,
138,OR,OWNER,1940-59,10-19 UNIT,BOTTLED GAS,150-200%,0.679,0.0,0.0,0.0,0.0,
139,OR,OWNER,1940-59,10-19 UNIT,BOTTLED GAS,200-400%,3.447,0.0,0.0,0.0,0.0,
140,OR,OWNER,1940-59,10-19 UNIT,BOTTLED GAS,400%+,3.651,0.0,0.0,0.0,0.0,
141,OR,OWNER,1940-59,10-19 UNIT,ELECTRICITY,0-100%,0.96,0.0,0.0,0.0,0.0,
142,OR,OWNER,1940-59,10-19 UNIT,ELECTRICITY,100-150%,1.094,0.0,0.0,0.0,0.0,
143,OR,OWNER,1940-59,10-19 UNIT,ELECTRICITY,150-200%,0.293,0.0,0.0,0.0,0.0,
144,OR,OWNER,1940-59,10-19 UNIT,ELECTRICITY,200-400%,2.921,26811.96,266.56,0.0,0.0,0.9900000000000001
145,OR,OWNER,1940-59,10-19 UNIT,ELECTRICITY,400%+,26.208,62767.77,417.68,0.0,0.0,0.67
146,OR,OWNER,1940-59,10-19 UNIT,OTHER,0-100%,0.0,0.0,0.0,0.0,0.0,
147,OR,OWNER,1940-59,10-19 UNIT,OTHER,100-150%,0.0,0.0,0.0,0.0,0.0,
148,OR,OWNER,1940-59,10-19 UNIT,OTHER,150-200%,0.0,0.0,0.0,0.0,0.0,
149,OR,OWNER,1940-59,10-19 UNIT,OTHER,200-400%,0.001,0.0,0.0,0.0,0.0,
150,OR,OWNER,1940-59,10-19 UNIT,OTHER,400%+,0.001,0.0,0.0,0.0,0.0,
151,OR,OWNER,1940-59,10-19 UNIT,SOLAR,0-100%,0.0,0.0,0.0,0.0,0.0,
152,OR,OWNER,1940-59,10-19 UNIT,SOLAR,100-150%,0.0,0.0,0.0,0.0,0.0,
153,OR,OWNER,1940-59,10-19 UNIT,SOLAR,150-200%,0.0,0.0,0.0,0.0,0.0,
154,OR,OWNER,1940-59,10-19 UNIT,SOLAR,200-400%,0.0,0.0,0.0,0.0,0.0,
155,OR,OWNER,1940-59,10-19 UNIT,SOLAR,400%+,0.0,0.0,0.0,0.0,0.0,
156,OR,OWNER,1940-59,10-19 UNIT,UTILITY GAS,0-100%,7.501,4644.32,251.83,49.49,0.0,6.49
157,OR,OWNER,1940-59,10-19 UNIT,UTILITY GAS,100-150%,6.863,6783.93,367.85,72.29,0.0,6.49
158,OR,OWNER,1940-59,10-19 UNIT,UTILITY GAS,150-200%,2.516,0.0,0.0,0.0,0.0,
159,OR,OWNER,1940-59,10-19 UNIT,UTILITY GAS,200-400%,17.829,22128.53,71.66,138.04,0.0,0.95
160,OR,OWNER,1940-59,10-19 UNIT,UTILITY GAS,400%+,29.826,65288.36,289.86,0.0,0.0,0.44
161,OR,OWNER,1940-59,10-19 UNIT,WOOD,0-100%,0.0,0.0,0.0,0.0,0.0,
162,OR,OWNER,1940-59,10-19 UNIT,WOOD,100-150%,0.008,0.0,0.0,0.0,0.0,
163,OR,OWNER,1940-59,10-19 UNIT,WOOD,150-200%,0.004,0.0,0.0,0.0,0.0,
164,OR,OWNER,1940-59,10-19 UNIT,WOOD,200-400%,0.159,0.0,0.0,0.0,0.0,
165,OR,OWNER,1940-59,10-19 UNIT,WOOD,400%+,0.013,0.0,0.0,0.0,0.0,
166,OR,OWNER,1940-59,10-19 UNIT,COAL,0-100%,0,0.0,0.0,0.0,0.0,
167,OR,OWNER,1940-59,10-19 UNIT,COAL,100-150%,0,0.0,0.0,0.0,0.0,
168,OR,OWNER,1940-59,10-19 UNIT,COAL,150-200%,0,0.0,0.0,0.0,0.0,
169,OR,OWNER,1940-59,10-19 UNIT,COAL,200-400%,0,0.0,0.0,0.0,0.0,
170,OR,OWNER,1940-59,10-19 UNIT,COAL,400%+,0,0.0,0.0,0.0,0.0,
171,OR,OWNER,1940-59,10-19 UNIT,NONE,0-100%,0,0.0,0.0,0.0,0.0,
172,OR,OWNER,1940-59,10-19 UNIT,NONE,100-150%,0,0.0,0.0,0.0,0.0,
173,OR,OWNER,1940-59,10-19 UNIT,NONE,150-200%,0,0.0,0.0,0.0,0.0,
174,OR,OWNER,1940-59,10-19 UNIT,NONE,200-400%,0,0.0,0.0,0.0,0.0,
175,OR,OWNER,1940-59,10-19 UNIT,NONE,400%+,0,0.0,0.0,0.0,0.0,
176,OR,OWNER,1940-59,10-19 UNIT,FUEL OIL,0-100%,0.34,0.0,0.0,0.0,0.0,
177,OR,OWNER,1940-59,10-19 UNIT,FUEL OIL,100-150%,0.018,0.0,0.0,0.0,0.0,
178,OR,OWNER,1940-59,10-19 UNIT,FUEL OIL,150-200%,1.367,0.0,0.0,0.0,0.0,
179,OR,OWNER,1940-59,10-19 UNIT,FUEL OIL,200-400%,0.696,0.0,0.0,0.0,0.0,
180,OR,OWNER,1940-59,10-19 UNIT,FUEL OIL,400%+,4.544,0.0,0.0,0.0,0.0,
