,State,County,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,PA,Adams,All Sectors,Ammonia,CAP,819.2792895597105,TON
1,PA,Adams,All Sectors,Carbon Monoxide,CAP,12083.519032198681,TON
2,PA,Adams,All Sectors,Nitrogen Oxides,CAP,11640.574392026823,TON
3,PA,Adams,All Sectors,PM10 Primary (Filt + Cond),CAP,5088.131174548529,TON
4,PA,Adams,All Sectors,PM2.5 Primary (Filt + Cond),CAP,2771.2444640793847,TON
5,PA,Adams,All Sectors,Sulfur Dioxide,CAP,2377.5332202942955,TON
6,PA,Adams,All Sectors,Volatile Organic Compounds,CAP,12535.580995159818,TON
7,PA,Adams,All Sectors,Carbon Dioxide,GHG,4211215.692204078,TON
8,PA,Adams,All Sectors,Methane,GHG,4008.439533189906,TON
9,PA,Adams,All Sectors,Nitrous Oxide,GHG,95.26082843937,TON
10,PA,Allegheny,All Sectors,Ammonia,CAP,819.2792895597105,TON
11,PA,Allegheny,All Sectors,Carbon Monoxide,CAP,12083.519032198681,TON
12,PA,Allegheny,All Sectors,Nitrogen Oxides,CAP,11640.574392026823,TON
13,PA,Allegheny,All Sectors,PM10 Primary (Filt + Cond),CAP,5088.131174548529,TON
14,PA,Allegheny,All Sectors,PM2.5 Primary (Filt + Cond),CAP,2771.2444640793847,TON
15,PA,Allegheny,All Sectors,Sulfur Dioxide,CAP,2377.5332202942955,TON
16,PA,Allegheny,All Sectors,Volatile Organic Compounds,CAP,12535.580995159818,TON
17,PA,Allegheny,All Sectors,Carbon Dioxide,GHG,4211215.692204078,TON
18,PA,Allegheny,All Sectors,Methane,GHG,4008.439533189906,TON
19,PA,Allegheny,All Sectors,Nitrous Oxide,GHG,95.26082843937,TON
20,PA,Armstrong,All Sectors,Ammonia,CAP,819.2792895597105,TON
21,PA,Armstrong,All Sectors,Carbon Monoxide,CAP,12083.519032198681,TON
22,PA,Armstrong,All Sectors,Nitrogen Oxides,CAP,11640.574392026823,TON
23,PA,Armstrong,All Sectors,PM10 Primary (Filt + Cond),CAP,5088.131174548529,TON
24,PA,Armstrong,All Sectors,PM2.5 Primary (Filt + Cond),CAP,2771.2444640793847,TON
25,PA,Armstrong,All Sectors,Sulfur Dioxide,CAP,2377.5332202942955,TON
26,PA,Armstrong,All Sectors,Volatile Organic Compounds,CAP,12535.580995159818,TON
27,PA,Armstrong,All Sectors,Carbon Dioxide,GHG,4211215.692204078,TON
28,PA,Armstrong,All Sectors,Methane,GHG,4008.439533189906,TON
29,PA,Armstrong,All Sectors,Nitrous Oxide,GHG,95.26082843937,TON
30,PA,Beaver,All Sectors,Ammonia,CAP,819.2792895597105,TON
31,PA,Beaver,All Sectors,Carbon Monoxide,CAP,12083.519032198681,TON
32,PA,Beaver,All Sectors,Nitrogen Oxides,CAP,11640.574392026823,TON
33,PA,Beaver,All Sectors,PM10 Primary (Filt + Cond),CAP,5088.131174548529,TON
34,PA,Beaver,All Sectors,PM2.5 Primary (Filt + Cond),CAP,2771.2444640793847,TON
35,PA,Beaver,All Sectors,Sulfur Dioxide,CAP,2377.5332202942955,TON
36,PA,Beaver,All Sectors,Volatile Organic Compounds,CAP,12535.580995159818,TON
37,PA,Beaver,All Sectors,Carbon Dioxide,GHG,4211215.692204078,TON
38,PA,Beaver,All Sectors,Methane,GHG,4008.439533189906,TON
39,PA,Beaver,All Sectors,Nitrous Oxide,GHG,95.26082843937,TON
40,PA,Bedford,All Sectors,Ammonia,CAP,819.2792895597105,TON
41,PA,Bedford,All Sectors,Carbon Monoxide,CAP,12083.519032198681,TON
42,PA,Bedford,All Sectors,Nitrogen Oxides,CAP,11640.574392026823,TON
43,PA,Bedford,All Sectors,PM10 Primary (Filt + Cond),CAP,5088.131174548529,TON
44,PA,Bedford,All Sectors,PM2.5 Primary (Filt + Cond),CAP,2771.2444640793847,TON
45,PA,Bedford,All Sectors,Sulfur Dioxide,CAP,2377.5332202942955,TON
46,PA,Bedford,All Sectors,Volatile Organic Compounds,CAP,12535.580995159818,TON
47,PA,Bedford,All Sectors,Carbon Dioxide,GHG,4211215.692204078,TON
48,PA,Bedford,All Sectors,Methane,GHG,4008.439533189906,TON
49,PA,Bedford,All Sectors,Nitrous Oxide,GHG,95.26082843937,TON
50,PA,Berks,All Sectors,Ammonia,CAP,819.2792895597105,TON
51,PA,Berks,All Sectors,Carbon Monoxide,CAP,12083.519032198681,TON
52,PA,Berks,All Sectors,Nitrogen Oxides,CAP,11640.574392026823,TON
53,PA,Berks,All Sectors,PM10 Primary (Filt + Cond),CAP,5088.131174548529,TON
54,PA,Berks,All Sectors,PM2.5 Primary (Filt + Cond),CAP,2771.2444640793847,TON
55,PA,Berks,All Sectors,Sulfur Dioxide,CAP,2377.5332202942955,TON
56,PA,Berks,All Sectors,Volatile Organic Compounds,CAP,12535.580995159818,TON
57,PA,Blair,All Sectors,Ammonia,CAP,819.2792895597105,TON
58,PA,Blair,All Sectors,Carbon Monoxide,CAP,12083.519032198681,TON
59,PA,Blair,All Sectors,Nitrogen Oxides,CAP,11640.574392026823,TON
60,PA,Blair,All Sectors,PM10 Primary (Filt + Cond),CAP,5088.131174548529,TON
61,PA,Blair,All Sectors,PM2.5 Primary (Filt + Cond),CAP,2771.2444640793847,TON
62,PA,Blair,All Sectors,Sulfur Dioxide,CAP,2377.5332202942955,TON
63,PA,Blair,All Sectors,Volatile Organic Compounds,CAP,12535.580995159818,TON
64,PA,Blair,All Sectors,Carbon Dioxide,GHG,4211215.692204078,TON
65,PA,Blair,All Sectors,Methane,GHG,4008.439533189906,TON
66,PA,Blair,All Sectors,Nitrous Oxide,GHG,95.26082843937,TON
67,PA,Bradford,All Sectors,Ammonia,CAP,819.2792895597105,TON
68,PA,Bradford,All Sectors,Carbon Monoxide,CAP,12083.519032198681,TON
69,PA,Bradford,All Sectors,Nitrogen Oxides,CAP,11640.574392026823,TON
70,PA,Bradford,All Sectors,PM10 Primary (Filt + Cond),CAP,5088.131174548529,TON
71,PA,Bradford,All Sectors,PM2.5 Primary (Filt + Cond),CAP,2771.2444640793847,TON
72,PA,Bradford,All Sectors,Sulfur Dioxide,CAP,2377.5332202942955,TON
73,PA,Bradford,All Sectors,Volatile Organic Compounds,CAP,12535.580995159818,TON
74,PA,Bradford,All Sectors,Carbon Dioxide,GHG,4211215.692204078,TON
75,PA,Bradford,All Sectors,Methane,GHG,4008.439533189906,TON
76,PA,Bradford,All Sectors,Nitrous Oxide,GHG,95.26082843937,TON
77,PA,Bucks,All Sectors,Ammonia,CAP,819.2792895597105,TON
78,PA,Bucks,All Sectors,Carbon Monoxide,CAP,12083.519032198681,TON
79,PA,Bucks,All Sectors,Nitrogen Oxides,CAP,11640.574392026823,TON
80,PA,Bucks,All Sectors,PM10 Primary (Filt + Cond),CAP,5088.131174548529,TON
81,PA,Bucks,All Sectors,PM2.5 Primary (Filt + Cond),CAP,2771.2444640793847,TON
82,PA,Bucks,All Sectors,Sulfur Dioxide,CAP,2377.5332202942955,TON
83,PA,Bucks,All Sectors,Volatile Organic Compounds,CAP,12535.580995159818,TON
84,PA,Bucks,All Sectors,Carbon Dioxide,GHG,4211215.692204078,TON
85,PA,Bucks,All Sectors,Methane,GHG,4008.439533189906,TON
86,PA,Bucks,All Sectors,Nitrous Oxide,GHG,95.26082843937,TON
87,PA,Butler,All Sectors,Ammonia,CAP,819.2792895597105,TON
88,PA,Butler,All Sectors,Carbon Monoxide,CAP,12083.519032198681,TON
89,PA,Butler,All Sectors,Nitrogen Oxides,CAP,11640.574392026823,TON
90,PA,Butler,All Sectors,PM10 Primary (Filt + Cond),CAP,5088.131174548529,TON
91,PA,Butler,All Sectors,PM2.5 Primary (Filt + Cond),CAP,2771.2444640793847,TON
92,PA,Butler,All Sectors,Sulfur Dioxide,CAP,2377.5332202942955,TON
93,PA,Butler,All Sectors,Volatile Organic Compounds,CAP,12535.580995159818,TON
94,PA,Butler,All Sectors,Carbon Dioxide,GHG,4211215.692204078,TON
95,PA,Butler,All Sectors,Methane,GHG,4008.439533189906,TON
96,PA,Butler,All Sectors,Nitrous Oxide,GHG,95.26082843937,TON
97,PA,Cambria,All Sectors,Ammonia,CAP,819.2792895597105,TON
98,PA,Cambria,All Sectors,Carbon Monoxide,CAP,12083.519032198681,TON
99,PA,Cambria,All Sectors,Nitrogen Oxides,CAP,11640.574392026823,TON
100,PA,Cambria,All Sectors,PM10 Primary (Filt + Cond),CAP,5088.131174548529,TON
101,PA,Cambria,All Sectors,PM2.5 Primary (Filt + Cond),CAP,2771.2444640793847,TON
102,PA,Cambria,All Sectors,Sulfur Dioxide,CAP,2377.5332202942955,TON
