,State,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,PA,All Sectors,Ammonia,CAP,819.2792895597105,TON
1,PA,All Sectors,Carbon Monoxide,CAP,12083.519032198681,TON
2,PA,All Sectors,Nitrogen Oxides,CAP,11640.574392026823,TON
3,PA,All Sectors,PM10 Primary (Filt + Cond),CAP,5088.131174548529,TON
4,PA,All Sectors,PM2.5 Primary (Filt + Cond),CAP,2771.2444640793847,TON
5,PA,All Sectors,Sulfur Dioxide,CAP,2377.5332202942955,TON
6,PA,All Sectors,Volatile Organic Compounds,CAP,12535.580995159818,TON
7,PA,All Sectors,Carbon Dioxide,GHG,4211215.692204078,TON
8,PA,All Sectors,Methane,GHG,4008.439533189906,TON
9,PA,All Sectors,Nitrous Oxide,GHG,95.26082843937,TON
10,PA,Agriculture - Crops & Livestock Dust,PM10 Primary (Filt + Cond),CAP,1140.05510928,TON
11,PA,Agriculture - Fertilizer Application,Ammonia,CAP,422.7,TON
12,PA,Agriculture - Livestock Waste,Ammonia,CAP,87.69386467,TON
13,PA,Agriculture - Livestock Waste,Volatile Organic Compounds,CAP,493.36682397600003,TON
14,PA,Biogenics - Vegetation and Soil,Carbon Monoxide,CAP,802.127,TON
15,PA,Biogenics - Vegetation and Soil,Nitrogen Oxides,CAP,265.3387,TON
16,PA,Bulk Gasoline Terminals,Volatile Organic Compounds,CAP,0.99436861,TON
17,PA,Commercial Cooking,Carbon Monoxide,CAP,58.50796048,TON
18,PA,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,730.5962994700001,TON
19,PA,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,9.7482213,TON
20,PA,Commercial Cooking,Volatile Organic Compounds,CAP,33.04963379,TON
21,PA,Dust - Construction Dust,PM10 Primary (Filt + Cond),CAP,425.594351,TON
22,PA,Dust - Construction Dust,PM2.5 Primary (Filt + Cond),CAP,3.476089,TON
23,PA,Dust - Paved Road Dust,PM10 Primary (Filt + Cond),CAP,186.66382000000002,TON
24,PA,Dust - Paved Road Dust,PM2.5 Primary (Filt + Cond),CAP,90.18323,TON
25,PA,Dust - Unpaved Road Dust,PM10 Primary (Filt + Cond),CAP,22.182805000000002,TON
26,PA,Dust - Unpaved Road Dust,PM2.5 Primary (Filt + Cond),CAP,1.03596,TON
27,PA,Fires - Agricultural Field Burning,Ammonia,CAP,1.69,TON
28,PA,Fires - Agricultural Field Burning,Sulfur Dioxide,CAP,0.267,TON
29,PA,Fires - Prescribed Fires,Ammonia,CAP,19.078966,TON
30,PA,Fires - Prescribed Fires,Carbon Monoxide,CAP,2493.560172,TON
31,PA,Fires - Prescribed Fires,PM10 Primary (Filt + Cond),CAP,160.792855,TON
32,PA,Fires - Prescribed Fires,Sulfur Dioxide,CAP,6.765275,TON
33,PA,Fires - Prescribed Fires,Volatile Organic Compounds,CAP,343.839126,TON
34,PA,Fires - Prescribed Fires,Methane,GHG,72.350817,TON
35,PA,Fires - Wildfires,Ammonia,CAP,1.688577,TON
36,PA,Fires - Wildfires,Carbon Monoxide,CAP,146.21216,TON
37,PA,Fires - Wildfires,Nitrogen Oxides,CAP,0.40384,TON
38,PA,Fires - Wildfires,PM10 Primary (Filt + Cond),CAP,4.035591999999999,TON
39,PA,Fires - Wildfires,PM2.5 Primary (Filt + Cond),CAP,6.3796930000000005,TON
40,PA,Fires - Wildfires,Sulfur Dioxide,CAP,0.31331,TON
41,PA,Fires - Wildfires,Methane,GHG,0.941536,TON
42,PA,Fuel Comb - Comm/Institutional - Biomass,Nitrogen Oxides,CAP,39.717272900000005,TON
43,PA,Fuel Comb - Comm/Institutional - Biomass,PM2.5 Primary (Filt + Cond),CAP,78.3333,TON
44,PA,Fuel Comb - Comm/Institutional - Biomass,Sulfur Dioxide,CAP,0.3678651999999999,TON
45,PA,Fuel Comb - Comm/Institutional - Biomass,Volatile Organic Compounds,CAP,1.536302,TON
46,PA,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.0,TON
47,PA,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,19.05253,TON
48,PA,Fuel Comb - Comm/Institutional - Coal,PM2.5 Primary (Filt + Cond),CAP,0.796613,TON
49,PA,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,24.1672,TON
50,PA,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
51,PA,Fuel Comb - Comm/Institutional - Coal,Nitrous Oxide,GHG,0.0687,TON
52,PA,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,1.28511461,TON
53,PA,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,100.58391800000001,TON
54,PA,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,88.19101,TON
55,PA,Fuel Comb - Comm/Institutional - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.60971339,TON
56,PA,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.53691787,TON
57,PA,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,6.9149498750000005,TON
58,PA,Fuel Comb - Comm/Institutional - Natural Gas,Volatile Organic Compounds,CAP,13.600249000000002,TON
59,PA,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Dioxide,GHG,96677.12269999999,TON
60,PA,Fuel Comb - Comm/Institutional - Natural Gas,Methane,GHG,2.3077,TON
61,PA,Fuel Comb - Comm/Institutional - Oil,Ammonia,CAP,0.93500523,TON
62,PA,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,0.818720518,TON
63,PA,Fuel Comb - Comm/Institutional - Oil,PM2.5 Primary (Filt + Cond),CAP,4.1526403631,TON
64,PA,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,0.048275526,TON
65,PA,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,1.3903207967,TON
66,PA,Fuel Comb - Comm/Institutional - Oil,Carbon Dioxide,GHG,333.2972,TON
67,PA,Fuel Comb - Comm/Institutional - Oil,Nitrous Oxide,GHG,0.0003,TON
68,PA,Fuel Comb - Comm/Institutional - Other,Ammonia,CAP,0.07648556,TON
69,PA,Fuel Comb - Comm/Institutional - Other,Nitrogen Oxides,CAP,43.3076363,TON
70,PA,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,0.046597805000000006,TON
71,PA,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,0.003773436,TON
72,PA,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.25756091000000003,TON
73,PA,Fuel Comb - Comm/Institutional - Other,Volatile Organic Compounds,CAP,0.03890078,TON
74,PA,Fuel Comb - Comm/Institutional - Other,Methane,GHG,1.635,TON
75,PA,Fuel Comb - Electric Generation - Biomass,Sulfur Dioxide,CAP,0.0006,TON
76,PA,Fuel Comb - Electric Generation - Coal,Nitrogen Oxides,CAP,1921.7001,TON
77,PA,Fuel Comb - Electric Generation - Coal,Sulfur Dioxide,CAP,1994.998,TON
78,PA,Fuel Comb - Electric Generation - Natural Gas,Ammonia,CAP,31.51,TON
79,PA,Fuel Comb - Electric Generation - Natural Gas,Nitrogen Oxides,CAP,2.89,TON
80,PA,Fuel Comb - Electric Generation - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,159.633523,TON
