,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
26,Median Number of Rooms,PA,Adams,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.2,6.1,6.2
27,Number of Rooms: 1,PA,Adams,217,246,263,223,311,351,478,555,596,671
28,Number of Rooms: 2,PA,Adams,587,489,468,526,499,539,556,515,542,598
29,Number of Rooms: 3,PA,Adams,1626,1608,1583,1607,1825,1991,1992,2048,1991,1991
30,Number of Rooms: 4,PA,Adams,4057,4484,4544,4364,4264,4265,4216,4186,4345,4537
31,Number of Rooms: 5,PA,Adams,8247,8158,8395,8502,7976,7645,7624,7736,7894,7821
32,Number of Rooms: 6,PA,Adams,9154,8844,8696,8863,9175,9072,8967,8874,8827,8460
33,Number of Rooms: 7,PA,Adams,6581,6818,6482,6477,6582,6472,6281,6473,6352,6635
34,Number of Rooms: 8,PA,Adams,4434,4446,4575,4636,4775,4947,4928,4956,5005,4890
35,Number of Rooms: 9+,PA,Adams,5449,5543,5821,5729,5671,5953,6302,6476,6516,6689
26,Median Number of Rooms,PA,Allegheny,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.9
27,Number of Rooms: 1,PA,Allegheny,8198,9498,10268,10243,10791,10755,11306,11641,11992,12140
28,Number of Rooms: 2,PA,Allegheny,13565,12110,11188,11637,11832,12271,12380,13219,13810,14561
29,Number of Rooms: 3,PA,Allegheny,52786,52298,52521,53071,52327,52451,52295,52542,53199,54545
30,Number of Rooms: 4,PA,Allegheny,81760,81249,81894,81793,81829,81459,80852,79765,79468,79913
31,Number of Rooms: 5,PA,Allegheny,102949,100665,98947,99814,101492,100526,99235,99426,96703,94901
32,Number of Rooms: 6,PA,Allegheny,131550,130409,130304,129906,129305,127619,127814,128457,127247,125809
33,Number of Rooms: 7,PA,Allegheny,81680,83286,82156,81214,81037,82043,81353,83362,83279,82922
34,Number of Rooms: 8,PA,Allegheny,57897,57692,58467,57574,56777,57027,58109,59072,61674,62631
35,Number of Rooms: 9+,PA,Allegheny,59310,62181,63426,63392,63821,65530,66806,69020,71052,72977
26,Median Number of Rooms,PA,Armstrong,5.7,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
27,Number of Rooms: 1,PA,Armstrong,184,274,486,657,703,787,705,596,518,590
28,Number of Rooms: 2,PA,Armstrong,317,228,199,194,309,319,383,349,363,255
29,Number of Rooms: 3,PA,Armstrong,1431,1335,1298,1321,1301,1361,1473,1545,1542,1477
30,Number of Rooms: 4,PA,Armstrong,4790,4399,4166,4158,4093,4003,4069,4263,4229,4265
31,Number of Rooms: 5,PA,Armstrong,8017,7753,7527,7102,6935,6991,6959,6970,6976,7152
32,Number of Rooms: 6,PA,Armstrong,8480,8604,8705,8965,8720,8477,8394,8302,7973,7897
33,Number of Rooms: 7,PA,Armstrong,4406,4493,4545,4542,4723,4800,4628,4619,4718,4559
34,Number of Rooms: 8,PA,Armstrong,2670,2841,2883,2617,2599,2633,2751,2828,3236,3537
35,Number of Rooms: 9+,PA,Armstrong,2321,2640,2708,2850,3059,3040,3065,3301,3181,3121
26,Median Number of Rooms,PA,Beaver,5.8,5.8,5.8,5.8,5.8,5.8,5.9,5.9,5.9,5.9
27,Number of Rooms: 1,PA,Beaver,585,815,859,942,902,987,859,799,922,1044
28,Number of Rooms: 2,PA,Beaver,994,861,679,804,690,694,780,914,894,982
29,Number of Rooms: 3,PA,Beaver,4274,4251,4408,4447,4678,4568,4421,4278,4287,4375
30,Number of Rooms: 4,PA,Beaver,11773,11277,11306,11342,11406,10577,10651,10849,10836,10411
31,Number of Rooms: 5,PA,Beaver,16782,16654,16105,15942,15756,16024,15647,15549,15522,15722
32,Number of Rooms: 6,PA,Beaver,18692,18137,18011,17850,17710,18006,18476,18380,18553,18455
33,Number of Rooms: 7,PA,Beaver,11560,11737,12113,11734,11776,11774,12028,12064,12082,12581
34,Number of Rooms: 8,PA,Beaver,7136,7446,7437,7580,7682,7587,7384,7714,7602,7625
35,Number of Rooms: 9+,PA,Beaver,6676,7116,7393,7558,7740,8075,8058,8603,8582,8268
26,Median Number of Rooms,PA,Bedford,5.8,5.8,5.8,5.9,5.9,5.9,5.8,5.8,5.8,5.9
27,Number of Rooms: 1,PA,Bedford,315,355,305,258,275,345,424,525,521,498
28,Number of Rooms: 2,PA,Bedford,383,394,331,372,385,504,504,537,483,510
29,Number of Rooms: 3,PA,Bedford,1264,1181,1189,1193,1222,1197,1204,1168,1211,1229
30,Number of Rooms: 4,PA,Bedford,3324,3221,3102,3021,2866,2970,3140,3198,3264,3227
31,Number of Rooms: 5,PA,Bedford,5290,5165,5126,4950,4946,5023,4909,4992,4874,4884
32,Number of Rooms: 6,PA,Bedford,5660,5817,5845,5888,5723,5499,5432,5222,5416,5176
33,Number of Rooms: 7,PA,Bedford,3389,3373,3350,3159,3339,3417,3246,3410,3406,3433
34,Number of Rooms: 8,PA,Bedford,2391,2336,2418,2371,2361,2232,2213,2233,2192,2322
35,Number of Rooms: 9+,PA,Bedford,1983,2124,2328,2741,2867,2825,2957,2992,2935,3081
26,Median Number of Rooms,PA,Berks,6.1,6.2,6.1,6.1,6.2,6.2,6.2,6.3,6.2,6.2
27,Number of Rooms: 1,PA,Berks,2117,2615,2672,2542,2443,2386,2313,2423,2743,2799
28,Number of Rooms: 2,PA,Berks,2503,2204,2105,2291,2133,2044,2088,2172,2017,2144
29,Number of Rooms: 3,PA,Berks,10692,10545,10746,10325,10637,10745,10749,10745,10905,10645
30,Number of Rooms: 4,PA,Berks,18502,18654,18862,18803,18759,18292,17633,17407,17946,18075
31,Number of Rooms: 5,PA,Berks,26239,25636,25798,26175,25065,24452,23773,24143,23834,24323
32,Number of Rooms: 6,PA,Berks,34951,34490,34549,34629,34900,35239,34794,35007,34857,34501
33,Number of Rooms: 7,PA,Berks,26732,26608,25260,25091,25467,25684,25889,26252,26658,26651
34,Number of Rooms: 8,PA,Berks,20609,21077,20858,20968,21144,21229,21970,21957,21795,21644
35,Number of Rooms: 9+,PA,Berks,21229,22397,23733,23793,24274,24782,25644,26244,26013,26323
26,Median Number of Rooms,PA,Blair,6.0,6.0,6.1,6.1,6.1,6.1,6.0,6.0,6.0,6.0
27,Number of Rooms: 1,PA,Blair,394,472,580,707,809,921,1024,1206,1035,1019
28,Number of Rooms: 2,PA,Blair,904,705,545,629,687,686,758,716,748,751
29,Number of Rooms: 3,PA,Blair,2969,2935,3111,3236,3212,3188,3092,3043,2919,2819
30,Number of Rooms: 4,PA,Blair,7075,6936,6980,6375,6461,6406,6505,6528,6997,7439
31,Number of Rooms: 5,PA,Blair,10069,10057,9660,9626,9707,9772,9940,10062,9980,9654
32,Number of Rooms: 6,PA,Blair,13344,13088,12654,12728,12529,12748,12489,12593,12918,12980
33,Number of Rooms: 7,PA,Blair,9047,9253,9445,9324,9003,8727,8631,8794,8840,9049
34,Number of Rooms: 8,PA,Blair,5989,6130,6140,6260,6331,6377,6307,6478,6223,6270
35,Number of Rooms: 9+,PA,Blair,6450,6687,7147,7237,7472,7284,7313,7226,7107,6866
26,Median Number of Rooms,PA,Bradford,6.1,6.2,6.2,6.2,6.1,6.1,6.0,6.0,6.0,6.0
27,Number of Rooms: 1,PA,Bradford,684,883,1031,908,885,880,762,657,649,750
28,Number of Rooms: 2,PA,Bradford,467,390,455,426,405,443,501,501,612,681
29,Number of Rooms: 3,PA,Bradford,1672,1487,1422,1422,1505,1670,1707,1750,1751,1883
30,Number of Rooms: 4,PA,Bradford,3303,3349,3423,3705,3931,4002,4027,4127,4081,3763
31,Number of Rooms: 5,PA,Bradford,5147,4997,4851,4883,5015,4937,5095,5290,5316,5373
32,Number of Rooms: 6,PA,Bradford,5827,5713,5379,5406,5441,5368,5402,5588,5654,5602
33,Number of Rooms: 7,PA,Bradford,4918,5058,5325,5336,5212,5094,5013,4904,4772,4805
