,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,PA,Adams,2.6,2.59,2.59,2.6,2.6,2.6,2.57,2.53,2.54,2.55
1,Avg household size of renter-occupied unit,PA,Adams,2.28,2.3,2.35,2.38,2.46,2.41,2.47,2.44,2.36,2.32
36,Owner-Occupied,PA,Adams,77514,76541,76042,76074,75827,76752,76607,76426,76810,78196
37,Renter-Occupied,PA,Adams,19409,20329,21051,21168,21540,20825,21025,21036,21054,20082
0,Avg household size of owner-occupied unit,PA,Allegheny,2.45,2.45,2.45,2.44,2.44,2.44,2.43,2.4,2.39,2.37
1,Avg household size of renter-occupied unit,PA,Allegheny,1.9,1.92,1.92,1.92,1.93,1.93,1.92,1.91,1.89,1.87
36,Owner-Occupied,PA,Allegheny,858742,851064,844838,842417,841367,836249,834415,834871,831909,825047
37,Renter-Occupied,PA,Allegheny,328054,336732,344345,348866,352084,359544,360337,359096,358475,362078
0,Avg household size of owner-occupied unit,PA,Armstrong,2.47,2.45,2.45,2.45,2.43,2.44,2.46,2.43,2.45,2.43
1,Avg household size of renter-occupied unit,PA,Armstrong,2.06,2.09,2.08,2.1,2.12,2.12,2.08,2.06,2.01,1.94
36,Owner-Occupied,PA,Armstrong,54363,54354,54182,53583,53044,52145,52481,51963,52194,51929
37,Renter-Occupied,PA,Armstrong,14009,13722,13723,14085,14439,15077,14295,14026,13382,13154
0,Avg household size of owner-occupied unit,PA,Beaver,2.47,2.47,2.45,2.45,2.47,2.47,2.47,2.45,2.41,2.4
1,Avg household size of renter-occupied unit,PA,Beaver,2.11,2.1,2.11,2.09,2.12,2.13,2.11,2.07,2.05,1.99
36,Owner-Occupied,PA,Beaver,130552,129205,127574,127413,126367,126427,126584,126317,125061,124717
37,Renter-Occupied,PA,Beaver,36949,37717,39186,39393,40524,40407,39602,38874,38881,38151
0,Avg household size of owner-occupied unit,PA,Bedford,2.56,2.55,2.52,2.5,2.49,2.52,2.52,2.55,2.52,2.49
1,Avg household size of renter-occupied unit,PA,Bedford,2.21,2.14,2.1,2.09,2.13,2.07,2.13,2.12,2.16,2.09
36,Owner-Occupied,PA,Bedford,40600,40503,40311,40365,40051,40069,39793,39836,39516,39127
37,Renter-Occupied,PA,Bedford,8928,8754,8764,8513,8676,8434,8500,8524,8592,8711
0,Avg household size of owner-occupied unit,PA,Berks,2.65,2.67,2.67,2.66,2.65,2.66,2.68,2.67,2.67,2.68
1,Avg household size of renter-occupied unit,PA,Berks,2.33,2.34,2.37,2.42,2.46,2.48,2.5,2.47,2.46,2.44
36,Owner-Occupied,PA,Berks,296584,299635,296666,294836,292771,293515,293006,296256,295558,296984
37,Renter-Occupied,PA,Berks,96066,97325,101704,104268,107017,106974,107580,105655,107601,107638
0,Avg household size of owner-occupied unit,PA,Blair,2.52,2.5,2.53,2.52,2.55,2.54,2.55,2.51,2.48,2.43
1,Avg household size of renter-occupied unit,PA,Blair,2.05,2.08,2.06,2.08,2.1,2.11,2.06,1.99,2.0,2.01
