,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
40,Units in Structure: 1 ATTACHED,PA,Adams,3429,3499,3428,3358,3127,3050,3058,2997,3269,3448
41,Units in Structure: 1 DETACHED,PA,Adams,29939,30118,30356,30231,30774,30974,31100,31676,31503,31377
42,Units in Structure: 10-19,PA,Adams,236,178,218,190,217,220,282,235,357,359
43,Units in Structure: 2,PA,Adams,1310,1395,1383,1472,1343,1339,1304,1222,1159,1196
44,Units in Structure: 20-49,PA,Adams,456,357,372,440,479,415,427,449,392,386
45,Units in Structure: 3-4,PA,Adams,1099,1037,981,1147,1088,1135,1210,1359,1426,1399
46,Units in Structure: 5-9,PA,Adams,692,731,694,683,803,916,1008,1014,1067,1071
47,Units in Structure: 50+,PA,Adams,188,199,238,222,140,171,183,172,145,170
48,"Units in Structure: Boat,RV,Van,Etc.",PA,Adams,0,0,0,0,0,0,0,0,0,0
49,Units in Structure: Mobile Home,PA,Adams,3003,3122,3157,3184,3107,3015,2772,2695,2750,2886
40,Units in Structure: 1 ATTACHED,PA,Allegheny,60442,61045,60510,59732,60451,60796,61191,62950,63283,62885
41,Units in Structure: 1 DETACHED,PA,Allegheny,363701,364397,365594,366619,367343,367287,367822,371526,371580,369834
42,Units in Structure: 10-19,PA,Allegheny,24745,23795,23090,23388,22711,22786,23168,23440,22953,24059
43,Units in Structure: 2,PA,Allegheny,30981,30406,29868,30091,29959,30180,29759,29893,29969,29749
44,Units in Structure: 20-49,PA,Allegheny,18708,18302,17820,17180,17687,18327,18531,19174,19789,20304
45,Units in Structure: 3-4,PA,Allegheny,27881,27289,27354,26590,25516,25414,25245,24476,24900,26258
46,Units in Structure: 5-9,PA,Allegheny,28264,28877,28977,28390,27945,27093,25851,26284,25878,26008
47,Units in Structure: 50+,PA,Allegheny,30446,30703,31584,32118,32853,33269,34160,34400,35843,37170
48,"Units in Structure: Boat,RV,Van,Etc.",PA,Allegheny,26,32,39,25,25,7,9,4,23,43
49,Units in Structure: Mobile Home,PA,Allegheny,4501,4542,4335,4511,4721,4522,4414,4357,4206,4089
40,Units in Structure: 1 ATTACHED,PA,Armstrong,1060,1015,1200,1197,1144,1216,1192,1142,1109,1149
41,Units in Structure: 1 DETACHED,PA,Armstrong,24328,24624,24391,24287,24520,24468,24555,24904,24845,24785
42,Units in Structure: 10-19,PA,Armstrong,71,125,196,233,276,300,265,216,201,328
43,Units in Structure: 2,PA,Armstrong,1123,940,841,787,773,820,833,916,975,1050
44,Units in Structure: 20-49,PA,Armstrong,292,349,380,321,349,414,353,377,387,343
45,Units in Structure: 3-4,PA,Armstrong,714,674,689,767,792,834,891,828,729,744
46,Units in Structure: 5-9,PA,Armstrong,705,734,689,770,755,685,592,596,603,549
47,Units in Structure: 50+,PA,Armstrong,412,327,331,374,346,386,441,470,433,480
48,"Units in Structure: Boat,RV,Van,Etc.",PA,Armstrong,0,0,0,0,1,1,2,1,1,0
49,Units in Structure: Mobile Home,PA,Armstrong,3911,3779,3800,3670,3486,3287,3303,3323,3453,3425
40,Units in Structure: 1 ATTACHED,PA,Beaver,3593,3638,3641,3515,3639,3603,3945,4500,4593,4605
41,Units in Structure: 1 DETACHED,PA,Beaver,57439,57249,57514,57659,57714,57779,58091,58530,58541,58857
42,Units in Structure: 10-19,PA,Beaver,1418,1397,1260,1213,1276,1045,1058,1110,1122,1286
43,Units in Structure: 2,PA,Beaver,3156,3118,3132,3014,3159,3110,3120,3078,3142,3080
44,Units in Structure: 20-49,PA,Beaver,1193,1092,1265,1361,1421,1431,1449,1479,1543,1400
45,Units in Structure: 3-4,PA,Beaver,4019,3543,3522,3590,3329,3339,3263,3193,3025,3018
46,Units in Structure: 5-9,PA,Beaver,2817,3050,2826,2755,2474,2428,2147,2092,2097,2218
47,Units in Structure: 50+,PA,Beaver,977,1215,1274,1339,1473,1718,1645,1675,1716,1714
48,"Units in Structure: Boat,RV,Van,Etc.",PA,Beaver,12,6,6,7,5,0,0,0,1,2
49,Units in Structure: Mobile Home,PA,Beaver,3848,3986,3871,3746,3850,3839,3586,3493,3500,3283
40,Units in Structure: 1 ATTACHED,PA,Bedford,417,443,435,383,380,412,298,321,372,325
41,Units in Structure: 1 DETACHED,PA,Bedford,17887,17776,17816,17863,17868,18015,18271,18382,18561,18553
42,Units in Structure: 10-19,PA,Bedford,306,307,289,292,299,319,333,309,256,306
43,Units in Structure: 2,PA,Bedford,535,459,382,356,396,343,382,434,562,602
44,Units in Structure: 20-49,PA,Bedford,188,178,161,203,178,166,182,185,184,188
45,Units in Structure: 3-4,PA,Bedford,522,546,554,579,520,507,451,491,393,383
46,Units in Structure: 5-9,PA,Bedford,199,169,177,182,199,240,302,319,281,291
47,Units in Structure: 50+,PA,Bedford,141,204,229,220,244,240,186,154,150,100
48,"Units in Structure: Boat,RV,Van,Etc.",PA,Bedford,2,3,2,5,6,5,10,10,3,3
49,Units in Structure: Mobile Home,PA,Bedford,3802,3881,3949,3870,3894,3765,3614,3672,3540,3609
40,Units in Structure: 1 ATTACHED,PA,Berks,38359,38945,38424,38177,38597,38940,39035,39595,39037,38796
41,Units in Structure: 1 DETACHED,PA,Berks,89698,89911,90289,90776,91144,91248,91832,92727,93130,93638
42,Units in Structure: 10-19,PA,Berks,3921,4180,4240,4251,3985,3964,3663,3614,3723,3832
43,Units in Structure: 2,PA,Berks,6064,5766,6175,6157,6680,6408,6467,6572,6676,6566
44,Units in Structure: 20-49,PA,Berks,2350,2271,2320,2637,2461,2424,2455,2185,2060,2057
45,Units in Structure: 3-4,PA,Berks,7708,7571,7641,7500,7046,7013,6599,6464,7076,7138
46,Units in Structure: 5-9,PA,Berks,6033,5755,5642,5282,5291,5318,5425,5479,5451,5316
47,Units in Structure: 50+,PA,Berks,4037,4357,4271,4241,4289,4213,4393,4650,4727,4698
48,"Units in Structure: Boat,RV,Van,Etc.",PA,Berks,23,0,0,30,28,36,44,45,27,25
49,Units in Structure: Mobile Home,PA,Berks,5381,5470,5581,5566,5301,5289,4940,5019,4861,5039
40,Units in Structure: 1 ATTACHED,PA,Blair,2422,2559,2436,2644,2469,2336,2319,2365,2541,2607
41,Units in Structure: 1 DETACHED,PA,Blair,40087,39684,39633,39646,39827,39922,40089,40806,40697,40602
42,Units in Structure: 10-19,PA,Blair,1254,1312,1389,1449,1318,1221,1271,1249,1046,1068
43,Units in Structure: 2,PA,Blair,2930,2639,2633,2303,2348,2189,2294,2368,2274,2080
44,Units in Structure: 20-49,PA,Blair,633,813,741,667,781,808,713,745,822,754
45,Units in Structure: 3-4,PA,Blair,1968,2082,2200,2106,2128,2134,2062,1987,2096,2363
46,Units in Structure: 5-9,PA,Blair,1585,1806,1926,1930,1954,1832,1846,1787,1793,1640
47,Units in Structure: 50+,PA,Blair,1537,1490,1532,1620,1653,1841,1881,1865,1827,1826
48,"Units in Structure: Boat,RV,Van,Etc.",PA,Blair,0,0,0,0,0,3,3,3,3,2
49,Units in Structure: Mobile Home,PA,Blair,3825,3878,3772,3757,3733,3823,3581,3471,3668,3905
