,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,PA,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
26,Number of Rooms: 1,PA,95241,102842,95116,97231,99568,101118,116015,130647,113339,112875
27,Number of Rooms: 2,PA,100990,92587,97388,96806,99038,105136,123190,122162,112594,121880
28,Number of Rooms: 3,PA,384705,413703,411460,406310,404066,399659,401384,408800,422195,431035
29,Number of Rooms: 4,PA,702197,688998,701731,678939,689858,692587,697245,696163,717373,690319
30,Number of Rooms: 5,PA,923209,925094,911300,908985,923544,896804,903783,903925,887343,904707
31,Number of Rooms: 6,PA,1222024,1239027,1214022,1212202,1204990,1212597,1187376,1218759,1204109,1205338
32,Number of Rooms: 7,PA,828719,819069,837945,817052,822362,815484,818304,820597,826682,831791
33,Number of Rooms: 8,PA,599192,591647,585110,590579,601691,614627,598951,614781,614732,617709
34,Number of Rooms: 9+,PA,712543,706427,718693,757250,745595,765039,765747,778568,814769,816926
