,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,PA,471075,466490,441181,460931,442888,441846,420605,413699,409940,404166
50,Year Built: 1950-1959,PA,773711,763303,781818,764698,772910,776002,757750,771516,765516,776501
51,Year Built: 1960-1969,PA,556928,554370,574813,578451,581345,565257,574429,577201,568773,579742
52,Year Built: 1970-1979,PA,703812,721041,700652,709071,701139,693916,688786,688091,733495,717365
53,Year Built: 1980-1989,PA,544996,543230,541599,534052,534502,542150,529592,534462,552334,554398
54,Year Built: 1990-1999,PA,515380,512990,514812,535541,529240,529028,543836,544414,540662,538561
55,Year Built: 2000-2009,PA,277750,280543,473972,467345,462747,463110,484855,495632,447739,450113
56,Year Built: 2010-2013,PA,190108,211121,28948,49562,69621,82092,94408,97450,92658,83586
57,Year Built: 2014 or later,PA,,,,,,13765.0,44665.0,73420.0,101852.0,141920.0
58,Year Built: before 1940,PA,1535060,1526306,1514970,1465703,1496320,1495885,1473069,1498517,1500167,1486228
