,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",PA,298360,294878,280596,271582,261749,242383,232847,225094,222113,208953
8,"Household Income: $100,000 to $124,999",PA,366978,371491,385256,395525,407707,421025,430798,443136,470594,481120
9,"Household Income: $125,000 to $149,999",PA,196892,206690,216578,227386,234831,246256,271382,280173,293297,310544
10,"Household Income: $15,000 to $19,999",PA,282685,287415,276652,273257,266704,259657,246866,234138,236265,214745
11,"Household Income: $150,000 to $199,999",PA,189901,198065,208306,223993,238151,256610,271744,291842,313969,341460
12,"Household Income: $20,000 to $24,999",PA,296314,286757,285122,266710,258858,250019,253987,245062,236328,224684
13,"Household Income: $200,000 or more",PA,167498,184700,196166,217655,225947,253189,265441,304410,330057,371674
14,"Household Income: $25,000 to $29,999",PA,270945,268450,264215,253644,242249,242821,235516,230004,231346,220173
15,"Household Income: $30,000 to $34,999",PA,276768,255357,262611,262475,255705,248180,240897,230583,238866,232076
16,"Household Income: $35,000 to $39,999",PA,243548,243713,236012,234884,236097,224787,223903,210767,215296,218197
17,"Household Income: $40,000 to $44,999",PA,236767,243043,242665,232906,234631,229380,224617,215378,206570,212889
18,"Household Income: $45,000 to $49,999",PA,215383,211310,206240,209477,209075,203384,198180,193032,199994,196703
19,"Household Income: $50,000 to $59,999",PA,415753,417056,413101,407465,396388,398035,396893,384089,383925,384490
20,"Household Income: $60,000 to $74,999",PA,513313,512229,507832,502764,512595,514226,508245,514097,521111,514142
21,"Household Income: $75,000 to $99,999",PA,590446,589712,617796,603286,614821,636154,619424,645417,647732,680462
22,"Household Income: Less than $10,000",PA,374479,366467,359101,355885,350464,329931,317031,361529,323468,306937
23,Household Income: Total:,PA,4936030,4937333,4958249,4938894,4945972,4956037,4937771,5008751,5070931,5119249
24,Median Household Income,PA,49288.0,50228.0,51230.0,52007.0,53234.0,55702.0,56907.0,59195.0,60905.0,63463.0
