,State,Tenure,Year Built,Structure Type,Heating Fuel,Federal Poverty Line,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,PA,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,0-100%,335.163,9103.4,1283.48,795.79,134.19,24.310000000000002
2,PA,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,100-150%,177.866,21936.37,1348.29,628.14,0.0,9.01
3,PA,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,150-200%,177.884,23169.69,856.91,768.39,38.52,7.180000000000001
4,PA,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,200-400%,495.93,48871.65,964.26,987.15,191.64,4.390000000000001
5,PA,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,400%+,452.496,125008.0,875.01,1062.46,54.7,1.59
6,PA,OWNER,1940-59,1 ATTACHED,ELECTRICITY,0-100%,1490.259,11909.57,1648.54,496.7,165.54,19.400000000000002
7,PA,OWNER,1940-59,1 ATTACHED,ELECTRICITY,100-150%,1454.879,25221.47,1446.53,364.05,57.01,7.3999999999999995
8,PA,OWNER,1940-59,1 ATTACHED,ELECTRICITY,150-200%,1252.552,32726.01,1663.72,440.17,48.98,6.58
9,PA,OWNER,1940-59,1 ATTACHED,ELECTRICITY,200-400%,3099.485,54877.04,1737.3,561.32,29.69,4.24
10,PA,OWNER,1940-59,1 ATTACHED,ELECTRICITY,400%+,2798.914,98546.23,2004.35,337.31,95.43,2.4699999999999998
11,PA,OWNER,1940-59,1 ATTACHED,OTHER,0-100%,63.023,16.84,938.97,452.59,1.1,8269.95
12,PA,OWNER,1940-59,1 ATTACHED,OTHER,100-150%,27.015,19877.18,874.04,514.76,1134.3,12.690000000000001
13,PA,OWNER,1940-59,1 ATTACHED,OTHER,150-200%,29.846,22325.42,713.1,289.24,1823.8,12.659999999999998
14,PA,OWNER,1940-59,1 ATTACHED,OTHER,200-400%,111.393,50551.79,1119.25,443.99,1093.47,5.26
15,PA,OWNER,1940-59,1 ATTACHED,OTHER,400%+,62.76,65875.93,766.31,312.82,1284.15,3.5900000000000003
16,PA,OWNER,1940-59,1 ATTACHED,SOLAR,0-100%,0.8,0.0,0.0,0.0,0.0,
17,PA,OWNER,1940-59,1 ATTACHED,SOLAR,100-150%,0.683,0.0,0.0,0.0,0.0,
18,PA,OWNER,1940-59,1 ATTACHED,SOLAR,150-200%,0.803,0.0,0.0,0.0,0.0,
19,PA,OWNER,1940-59,1 ATTACHED,SOLAR,200-400%,1.44,0.0,0.0,0.0,0.0,
20,PA,OWNER,1940-59,1 ATTACHED,SOLAR,400%+,0.835,0.0,0.0,0.0,0.0,
