,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Pennsylvania (Million cubic feet)",297022,304327,305492,292531,271877,272634,290439,277340,286163,288582,288326,285789,272433,252280,265274,244889,254863,251175,268038,270742,240016,242728,266528,268996,268405,262126,278606,262494,217929,241468,262788,238849,239123,265020,247788,245099,205813,231305,229254,227714,223642,219446,197313,231861,254816,235669,215512,218734,252722,236631,
"Natural gas consumed by (delivered to) the commercial sector, Pennsylvania (Million cubic feet)",99339,110014,122518,116265,102495,98991,124517,111885,110620,111498,118462,128561,125557,115222,126211,115329,114442,114800,127382,132421,125673,125546,134254,131776,138473,143735,154642,144084,130996,143256,145319,136468,136202,149458,142608,144970,130328,145852,144603,144092,141699,141173,126936,149114,159636,152091,142724,145912,165119,161624,
"Natural gas consumed by the industrial sector, Pennsylvania (Million cubic feet)",340007,350126,367922,349579,312432,263207,276508,255552,252087,312649,336576,333317,263915,245590,248123,230874,206896,232148,233602,247090,241378,234877,240089,245628,239627,252480,246180,239858,232082,235766,235327,203417,212439,200201,200021,189828,194937,196131,197502,185675,220702,247341,282481,340236,399377,386292,400851,414786,457048,496696,
"Natural gas consumed by the electric power sector, Pennsylvania (Million cubic feet)",9354,9747,5474,2537,7825,1213,480,323,439,1862,2865,3267,1568,1654,2615,1570,724,1993,2649,11873,14945,7324,12923,22937,28903,39436,25629,20430,30240,31353,20597,22632,50251,41238,76186,80640,100946,143954,141011,210542,245559,306266,393775,362349,388056,437976,501116,526521,538527,672506,
"Residential carbon dioxide emissions, natural gas, Pennsylvania (million metric tons CO2)",,,,,,,,,,,15.634314,15.497056,14.859687,13.774253,14.554929,13.435911,14.009135,13.806512,14.733147,14.948185,13.235887,13.329957,14.651864,14.800794,14.754157,14.3982,15.285573,14.41799,11.982636,13.272444,14.431095,13.36646,13.16564,14.62438,13.662675,13.531466,11.342136,12.745856,12.637727,12.562864,12.3014,12.103234,10.929196,12.918821,14.205816,13.108127,11.925229,12.107001,13.936235,,
"Commercial carbon dioxide emissions, natural gas, Pennsylvania (million metric tons CO2)",,,,,,,,,,,6.423518,6.971275,6.848448,6.291035,6.924903,6.327591,6.290558,6.310295,7.001782,7.311209,6.930368,6.894661,7.380342,7.250618,7.611828,7.89515,8.484345,7.914092,7.202708,7.87414,7.980253,7.63703,7.499029,8.247394,7.86321,8.003545,7.182228,8.037077,7.971287,7.94948,7.79413,7.786172,7.031016,8.308356,8.899619,8.459461,7.897538,8.076286,9.105373,,
"Industrial carbon dioxide emissions, natural gas, Pennsylvania (million metric tons CO2)",,,,,,,,,,,18.250644,18.074284,14.39507,13.408958,13.613863,12.666961,11.372484,12.760659,12.84035,13.642302,13.311016,12.898818,13.198429,13.515072,13.172219,13.868323,13.50653,13.17466,12.760818,12.959038,12.923065,11.383626,11.696448,11.047512,11.028889,10.480018,10.742755,10.807643,10.887387,10.243598,12.139684,13.641718,15.646676,18.957253,22.264965,21.485881,22.18087,22.958522,25.0593,,
"Natural Gas Citygate Price in Pennsylvania, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.1,4.02,3.54,3.07,3.15,3.26,3.47,3.27,3.29,3.41,3.46,3.09,2.68,4.09,4.12,3.65,5.09,6.68,5.2,6.48,7.56,9.98,10.3,9.35,10.39,7.81,7.04,6.28,5.52,5.26,5.59,4.38,3.72,4.26,4.49,4.53,
"Pennsylvania Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.24,1.28,1.36,1.48,1.66,1.93,2.14,2.51,2.63,3.19,3.8,4.51,5.42,6.44,6.56,6.72,6.39,6.03,5.79,6.14,6.61,6.76,6.6,6.84,7.44,7.16,7.38,8.33,8.45,8.3,8.49,11.51,9.46,10.87,12.27,14.21,16.45,14.66,16.22,14.74,12.9,12.46,11.99,11.63,11.77,11.04,10.18,11.4,11.25,11.7,11.49
"Pennsylvania Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.96,1.01,1.09,1.15,1.28,1.71,1.72,2.31,2.39,2.95,3.57,4.22,5.04,6.07,6.2,6.2,5.82,5.42,5.09,5.35,6.0,6.0,5.87,5.99,6.5,6.28,6.44,7.35,7.43,7.29,7.72,10.67,7.7,9.26,10.6,13.04,14.3,12.77,14.29,11.83,10.47,10.42,10.24,10.11,10.13,9.32,8.15,9.16,9.37,9.49,
