Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,PA,2893812,6013,125583,38512,98578,209716,342115,466251,563619,495832,492288,55305
Statewide Total,,Cooperative,PA,6260,3011,210,204,224,67,90,264,403,857,853,77
Statewide Total,,Privately Owned,PA,6381,259,364,101,162,242,538,1596,842,857,1338,82
Statewide Total,,Investor Owned,PA,2400565,2743,89533,23233,77803,188599,297375,385430,474603,393666,419068,48512
Statewide Total,,Municipal Owned,PA,480606,0,35476,14974,20389,20808,44112,78961,87771,100452,71029,6634
LEATHERSTOCKING GAS COMPANY,39218,Privately Owned,PA,445,0,0,0,0,0,0,0,0,0,445,0
"LEATHERSTOCKING PIPELINE, LLC",39217,Privately Owned,PA,1,0,0,0,0,0,0,0,0,0,1,0
PENN VALLEY GAS INC,32660,Privately Owned,PA,1298,0,0,0,0,0,0,945,0,0,313,40
SHARPGAS INC DBA SHARP ENERGY,32347,Investor Owned,PA,390,0,0,0,0,0,0,0,0,261,116,13
"KEYSTONE COOPERATIVE ASSOCIATION, INC.",32324,Cooperative,PA,1045,0,0,0,0,0,0,0,0,516,469,60
"GRANGER ENERGY  OF HONEY BROOK, LLC",32136,Privately Owned,PA,6,0,0,0,0,0,0,0,0,6,0,0
"SAR GAS, INC.",32122,Privately Owned,PA,193,0,0,0,0,0,25,67,15,41,30,15
"KNOX ENERGY COOPERATIVE ASSOCIATION, INC. C/O UTILITY PIPELINE, LTD.",32086,Cooperative,PA,5215,3011,210,204,224,67,90,264,403,341,384,17
AMERIGAS PROPANE LP,32013,Privately Owned,PA,342,0,0,0,0,0,0,0,0,212,130,0
SIGEL GAS,30069,Investor Owned,PA,240,42,0,0,0,0,0,0,80,60,55,3
WALLY GAS CO INC,22091,Privately Owned,PA,194,0,0,0,0,10,36,48,46,42,11,1
"VALLEY ENERGY, INC.",21030,Investor Owned,PA,7013,0,0,0,0,574,306,955,2120,1159,1716,183
"UGI UTILITIES, INC",20010,Investor Owned,PA,66,0,0,0,0,3,7,6,22,17,10,1
"UGI UTILITIES, INC",20010,Investor Owned,PA,604161,2527,4861,2141,6901,32908,69499,100738,138281,121158,114212,10935
"UGI UTILITIES, INC",20010,Investor Owned,PA,0,0,0,0,0,0,0,0,0,0,0,0
HERMAN RIEMER GAS CO,17405,Privately Owned,PA,566,198,0,0,0,0,0,25,168,97,73,5
PIKE COUNTY LIGHT & POWER CO,15540,Investor Owned,PA,1037,1,146,33,230,128,40,109,84,128,106,32
PEOPLES GAS COMPANY LLC,15476,Investor Owned,PA,62569,0,1095,2191,3056,1095,12878,12850,13200,7800,6802,1602
PHILADELPHIA GAS WORKS,15469,Municipal Owned,PA,476370,0,35369,14943,20211,20506,43932,78670,87399,99491,69335,6514
PECO ENERGY CO,15462,Investor Owned,PA,462730,0,2513,1460,3592,33026,67044,87719,104135,66716,86357,10168
PEOPLES NATURAL GAS COMPANY LLC,15350,Investor Owned,PA,633318,69,59231,7766,32523,62139,98814,90436,105562,91515,73950,11313
PAPCO INC,15132,Privately Owned,PA,1,0,0,0,0,0,0,1,0,0,0,0
NORTH EAST HEAT & LIGHT CO,13620,Privately Owned,PA,2505,0,364,101,152,202,437,303,410,291,232,13
NATIONAL FUEL GAS SUPPLY CORP,13063,Investor Owned,PA,0,0,0,0,0,0,0,0,0,0,0,0
NATIONAL FUEL GAS DISTRIBUTION CORP,13061,Investor Owned,PA,193667,13,6364,1903,5127,8061,27441,35418,41218,34815,30323,2984
HERMAN OIL & GAS CO INC,7242,Privately Owned,PA,454,0,0,0,0,0,0,147,133,78,88,8
ELIZABETHTOWN GAS CO,4350,Investor Owned,PA,0,0,0,0,0,0,0,0,0,0,0,0
COLUMBIA GAS OF PENNSYLVANIA,2600,Investor Owned,PA,435106,0,15323,7739,26374,50665,21346,57183,69901,70037,105260,11278
CHARTIERS NATURAL GAS CO INC,2272,Investor Owned,PA,268,91,0,0,0,0,0,16,0,0,161,0
CHAMBERSBURG GAS DEPT,2236,Municipal Owned,PA,4236,0,107,31,178,302,180,291,372,961,1694,120
ANDREASSI GAS COMPANY,504,Privately Owned,PA,376,61,0,0,10,30,40,60,70,90,15,0
