Operator ID,Operator Name,Operator Type,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Statewide Total,Total,PA,7942,7269,7116,7036,7712,6691,5186,3998,4622,3955,3281
,Statewide Total,Cooperative,PA,52,2,14,21,37,13,20,12,11,20,35
,Statewide Total,Privately Owned,PA,0,1,4,7,13,15,9,0,4,6,10
,Statewide Total,Investor Owned,PA,3580,3989,3481,3880,4208,3958,3032,2083,2286,1877,1523
,Statewide Total,Municipal Owned,PA,4310,3277,3617,3128,3454,2705,2125,1903,2321,2052,1713
39218,LEATHERSTOCKING GAS COMPANY,Privately Owned,PA,0,0,0,0,0,0,0,0,0,0,0
39217,"LEATHERSTOCKING PIPELINE, LLC",Privately Owned,PA,0,0,0,0,0,0,0,0,0,0,0
32660,PENN VALLEY GAS INC,Privately Owned,PA,0,0,0,0,0,0,0,0,0,0,2
32347,SHARPGAS INC DBA SHARP ENERGY,Investor Owned,PA,0,0,0,0,0,0,0,0,1,0,0
32324,"KEYSTONE COOPERATIVE ASSOCIATION, INC.",Cooperative,PA,0,0,0,1,1,0,3,1,0,0,5
32136,"GRANGER ENERGY  OF HONEY BROOK, LLC",Privately Owned,PA,0,0,0,0,0,0,0,0,0,0,0
32122,"SAR GAS, INC.",Privately Owned,PA,0,0,0,0,0,0,0,0,0,0,0
32086,"KNOX ENERGY COOPERATIVE ASSOCIATION, INC. C/O UTILITY PIPELINE, LTD.",Cooperative,PA,52,2,14,20,36,13,17,11,11,20,30
30069,SIGEL GAS,Investor Owned,PA,0,0,0,0,0,0,0,0,0,0,0
22091,WALLY GAS CO INC,Privately Owned,PA,0,0,0,0,0,0,0,0,0,0,0
21030,"VALLEY ENERGY, INC.",Investor Owned,PA,15,14,19,46,44,21,24,20,17,10,17
20010,"UGI UTILITIES, INC",Investor Owned,PA,694,946,825,963,1156,1093,771,0,0,1,0
17405,HERMAN RIEMER GAS CO,Privately Owned,PA,0,0,0,7,13,12,9,0,3,6,7
15540,PIKE COUNTY LIGHT & POWER CO,Investor Owned,PA,1,2,1,2,2,1,2,2,0,0,0
15476,PEOPLES GAS COMPANY LLC,Investor Owned,PA,0,219,220,250,248,173,81,67,103,105,91
15469,PHILADELPHIA GAS WORKS,Municipal Owned,PA,4304,3271,3613,3122,3448,2700,2120,1899,2312,2049,1709
15462,PECO ENERGY CO,Investor Owned,PA,1356,1207,1079,1056,1071,1233,939,933,897,668,389
15132,PAPCO INC,Privately Owned,PA,0,0,0,0,0,0,0,0,0,0,0
13620,NORTH EAST HEAT & LIGHT CO,Privately Owned,PA,0,1,4,0,0,3,0,0,0,0,0
13063,NATIONAL FUEL GAS SUPPLY CORP,Investor Owned,PA,0,0,0,0,0,0,0,0,0,0,0
13061,NATIONAL FUEL GAS DISTRIBUTION CORP,Investor Owned,PA,574,580,518,534,660,615,516,461,556,463,420
7242,HERMAN OIL & GAS CO INC,Privately Owned,PA,0,0,0,0,0,0,0,0,1,0,1
4350,ELIZABETHTOWN GAS CO,Investor Owned,PA,0,0,0,0,0,0,0,0,0,0,0
2600,COLUMBIA GAS OF PENNSYLVANIA,Investor Owned,PA,935,1021,819,1029,1027,822,699,600,712,630,606
2272,CHARTIERS NATURAL GAS CO INC,Investor Owned,PA,5,0,0,0,0,0,0,0,0,0,0
2236,CHAMBERSBURG GAS DEPT,Municipal Owned,PA,6,6,4,6,6,5,5,4,9,3,4
504,ANDREASSI GAS COMPANY,Privately Owned,PA,0,0,0,0,0,0,0,0,0,0,0
