,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,RI,Bristol,2.74,2.7,2.65,2.62,2.58,2.53,2.53,2.51,2.51,2.55
1,Avg household size of renter-occupied unit,RI,Bristol,1.89,1.84,1.86,1.9,1.99,2.0,1.98,1.92,1.85,1.83
2,FIPS Code,RI,Bristol,44001,44001,44001,44001,44001,44001,44001,44001,44001,44001
3,House Heating Fuel: Electric,RI,Bristol,1584,1484,1566,1585,1647,1732,1723,1730,1516,1479
4,House Heating Fuel: Fuel Oil,RI,Bristol,8554,8366,8165,7620,7411,7098,6900,6705,6766,6550
5,House Heating Fuel: Gas,RI,Bristol,8631,8956,9073,9510,9575,9946,10074,10460,10610,10465
6,House Heating Fuel: Propane,RI,Bristol,252,257,185,185,173,125,225,304,328,402
7,House Heating Fuel: Wood,RI,Bristol,152,157,232,181,192,191,190,141,168,182
26,Median Number of Rooms,RI,Bristol,6.1,6.1,6.0,6.0,6.0,5.9,5.9,5.9,5.9,5.9
27,Number of Rooms: 1,RI,Bristol,375,409,509,614,591,455,485,405,310,330
28,Number of Rooms: 2,RI,Bristol,363,376,393,392,395,420,396,396,263,295
29,Number of Rooms: 3,RI,Bristol,1269,1328,1433,1509,1431,1456,1453,1569,1575,1622
30,Number of Rooms: 4,RI,Bristol,2567,2242,2252,2197,2645,2794,2745,3137,3244,3163
31,Number of Rooms: 5,RI,Bristol,3444,3608,3603,3470,3485,3505,3612,3628,3652,3620
32,Number of Rooms: 6,RI,Bristol,4077,4305,4249,4067,3847,3949,3928,3804,4002,4244
33,Number of Rooms: 7,RI,Bristol,3343,3184,3081,3239,3021,3199,3137,3048,2881,2881
34,Number of Rooms: 8,RI,Bristol,2697,2687,2439,2309,2307,2229,2187,2333,2448,2453
35,Number of Rooms: 9+,RI,Bristol,2569,2668,2826,3009,3101,2794,2843,2644,2616,2445
36,Owner-Occupied,RI,Bristol,38036,37717,36776,36415,35423,34648,34360,33775,34133,34621
37,Renter-Occupied,RI,Bristol,10129,9828,10147,10044,10800,11197,11355,11614,10965,10309
38,Total Housing Units,RI,Bristol,20704,20807,20785,20806,20823,20801,20786,20964,20991,21053
39,Total Population,RI,Bristol,50501,50264,49796,49426,49338,49176,49228,49028,48900,48764
40,Units in Structure: 1 ATTACHED,RI,Bristol,510,546,497,494,477,605,584,615,652,707
41,Units in Structure: 1 DETACHED,RI,Bristol,14007,14176,14082,14213,14216,14063,13954,13508,13736,13898
42,Units in Structure: 10-19,RI,Bristol,481,504,494,483,467,434,495,725,671,740
43,Units in Structure: 2,RI,Bristol,2194,2139,2122,2283,2267,2471,2548,2817,2609,2482
44,Units in Structure: 20-49,RI,Bristol,448,364,363,332,314,254,261,236,270,246
45,Units in Structure: 3-4,RI,Bristol,1986,2002,1957,1782,1837,1637,1614,1693,1751,1585
46,Units in Structure: 5-9,RI,Bristol,696,721,826,783,759,870,929,910,860,917
47,Units in Structure: 50+,RI,Bristol,368,355,444,436,486,459,394,452,434,470
48,"Units in Structure: Boat,RV,Van,Etc.",RI,Bristol,0,0,0,0,0,0,0,0,0,0
49,Units in Structure: Mobile Home,RI,Bristol,14,0,0,0,0,8,7,8,8,8
50,Year Built: 1940-1949,RI,Bristol,1618,1632,1551,1485,1372,3383,3301,3338,3286,3127
51,Year Built: 1950-1959,RI,Bristol,3185,3250,3194,3243,3480,2679,2781,2790,2706,2893
52,Year Built: 1960-1969,RI,Bristol,2412,2473,2426,2741,2713,2110,2055,2082,2020,2162
53,Year Built: 1970-1979,RI,Bristol,2035,2059,2157,2075,2219,2021,2025,2220,2355,2549
54,Year Built: 1980-1989,RI,Bristol,2266,2141,2131,2066,1921,1622,1758,1641,1481,1544
55,Year Built: 1990-1999,RI,Bristol,1375,1219,1288,1662,1672,1082,1165,1197,992,1071
56,Year Built: 2000-2009,RI,Bristol,602,641,997,1006,1110,124,116,228,297,290
57,Year Built: 2010-2013,RI,Bristol,325,388,23,47,83,12,11,21,79,92
58,Year Built: before 1940,RI,Bristol,6886,7004,7018,6481,6253,1343,1296,1370,1409,1396
0,Avg household size of owner-occupied unit,RI,Kent,2.57,2.57,2.57,2.55,2.57,2.57,2.57,2.54,2.54,2.52
1,Avg household size of renter-occupied unit,RI,Kent,1.89,1.94,1.95,1.97,1.96,1.93,1.94,1.91,1.94,1.93
2,FIPS Code,RI,Kent,44003,44003,44003,44003,44003,44003,44003,44003,44003,44003
3,House Heating Fuel: Electric,RI,Kent,5255,5246,5337,5615,5878,6366,6943,6877,6599,6560
4,House Heating Fuel: Fuel Oil,RI,Kent,28697,28561,28702,27685,26354,25767,25084,24290,23629,22933
5,House Heating Fuel: Gas,RI,Kent,32896,32750,32391,32718,33068,33158,33344,34363,35424,36794
