,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,RI,2.68,2.59,2.59,2.61,2.63,2.66,2.66,2.65,2.63,2.69
1,Avg household size of renter-occupied unit,RI,2.25,2.23,2.22,2.3,2.25,2.25,2.24,2.24,2.29,2.2
2,House Heating Fuel: Electric,RI,35706,34511,38606,39215,39832,43085,43722,43380,41491,41783
3,House Heating Fuel: Fuel Oil,RI,151847,151784,144208,132486,129877,124029,122343,126191,117880,116413
4,House Heating Fuel: Gas,RI,197703,209106,208173,212545,217810,216129,221544,216466,226173,225120
5,House Heating Fuel: Propane,RI,7793,7816,10361,10035,11457,11955,10488,12165,11618,14493
6,House Heating Fuel: Wood,RI,7084,5860,7592,8547,7318,7228,6219,5952,4634,5906
25,Median Number of Rooms,RI,5.3,5.3,5.3,5.3,5.3,5.3,5.2,5.3,5.3,5.3
26,Number of Rooms: 1,RI,10345,10147,10552,9899,9581,11627,13042,11364,12017,11726
27,Number of Rooms: 2,RI,14715,13094,13944,14800,11555,13032,15073,13022,12794,13379
28,Number of Rooms: 3,RI,45904,46173,45386,44131,49080,46125,50521,51855,54826,54271
29,Number of Rooms: 4,RI,86219,78370,82885,78656,78998,84487,79737,81553,76690,83502
30,Number of Rooms: 5,RI,96210,102118,95758,98914,98811,97198,98698,98625,94976,91664
31,Number of Rooms: 6,RI,81907,89700,92013,86813,88545,85493,84063,84067,86746,87153
32,Number of Rooms: 7,RI,54360,54360,49287,52922,51583,51378,50531,55147,52510,55144
33,Number of Rooms: 8,RI,34450,35937,34925,37138,33765,36130,32191,35499,38481,33320
34,Number of Rooms: 9+,RI,39306,34842,37868,38385,40712,37085,38742,37134,40113,40018
35,Owner-Occupied,RI,655366,646021,641267,639894,634633,638854,630113,659052,661036,674908
36,Renter-Occupied,RI,354857,362618,367615,370775,379006,375806,383561,358663,355048,343552
37,Total Housing Units,RI,463416,464741,462618,461658,462630,462555,462598,468266,469153,470177
38,Total Population,RI,1052886,1051302,1050292,1051511,1055173,1056298,1056426,1059639,1057315,1059361
39,Units in Structure: 1 ATTACHED,RI,13807,17000,16885,15972,14284,16847,15443,13933,15483,16484
40,Units in Structure: 1 DETACHED,RI,252187,251987,254889,257543,252545,249761,246822,258438,259639,253203
41,Units in Structure: 10-19,RI,18839,16762,16803,15826,17676,17124,19700,18432,17457,16629
42,Units in Structure: 2,RI,54673,55281,49740,53493,52753,49852,53414,54576,49447,53827
43,Units in Structure: 20-49,RI,10730,13125,13220,13773,12865,14294,12639,15606,13550,15547
44,Units in Structure: 3-4,RI,60606,57234,59437,57164,62000,57932,55663,56054,61514,59242
45,Units in Structure: 5-9,RI,26224,24654,22248,21922,23696,25407,28802,21729,20972,21731
46,Units in Structure: 50+,RI,22621,24126,24725,20275,22242,25993,25540,24355,25978,29486
47,"Units in Structure: Boat,RV,Van,Etc.",RI,71,46,149,476,634,269,94,238,240,89
48,Units in Structure: Mobile Home,RI,3658,4526,4522,5214,3935,5076,4481,4905,4873,3939
49,Year Built: 1940-1949,RI,31411,34599,32149,34055,28472,36642,34218,32238,29961,32141
50,Year Built: 1950-1959,RI,58969,58323,54774,58772,63200,57431,55684,54386,58962,59191
51,Year Built: 1960-1969,RI,47607,51481,50928,52665,48472,50938,53810,56373,50971,57287
52,Year Built: 1970-1979,RI,54128,53839,59719,59235,58500,53949,56055,58658,56502,56028
53,Year Built: 1980-1989,RI,45960,46341,50080,47839,47810,52111,51599,51184,54762,55171
54,Year Built: 1990-1999,RI,31163,30697,33165,37704,34449,32398,35460,35646,36407,34690
55,Year Built: 2000-2009,RI,18259,18439,28886,30410,27165,30940,30327,27243,25689,24977
56,Year Built: 2010-2013,RI,11291,12789,1945,2529,3485,4799,3123,5438,4575,3138
57,Year Built: 2014 or later,RI,,,,,,940.0,1120.0,4267.0,4242.0,5162.0
58,Year Built: before 1940,RI,164628,158233,150972,138449,151077,142407,141202,142833,147082,142392
