,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,SC,Abbeville,2.6,2.58,2.51,2.49,2.49,2.52,2.55,2.55,2.51,2.51
1,Avg household size of renter-occupied unit,SC,Abbeville,2.12,2.33,2.44,2.47,2.48,2.51,2.49,2.52,2.52,2.31
2,FIPS Code,SC,Abbeville,45001,45001,45001,45001,45001,45001,45001,45001,45001,45001
3,House Heating Fuel: Electric,SC,Abbeville,5131,5375,5578,5656,5760,5768,5725,5815,6012,6019
4,House Heating Fuel: Fuel Oil,SC,Abbeville,224,162,168,139,179,143,91,86,91,113
5,House Heating Fuel: Gas,SC,Abbeville,2992,2934,2800,2667,2478,2312,2286,2118,2079,2355
6,House Heating Fuel: Propane,SC,Abbeville,1040,877,831,864,862,838,845,867,789,690
7,House Heating Fuel: Wood,SC,Abbeville,416,382,431,416,408,442,480,478,461,435
26,Median Number of Rooms,SC,Abbeville,5.3,5.3,5.4,5.4,5.5,5.4,5.5,5.5,5.5,5.4
27,Number of Rooms: 1,SC,Abbeville,0,18,18,35,46,87,81,97,119,133
28,Number of Rooms: 2,SC,Abbeville,45,93,75,130,115,121,63,105,81,158
29,Number of Rooms: 3,SC,Abbeville,722,696,637,628,528,673,697,761,680,648
30,Number of Rooms: 4,SC,Abbeville,2539,2522,2523,2501,2533,2282,2305,2067,2107,2021
31,Number of Rooms: 5,SC,Abbeville,3256,3275,3071,2955,2882,3037,2983,3032,3135,3368
32,Number of Rooms: 6,SC,Abbeville,2648,2517,2442,2599,2664,2535,2490,2502,2397,2300
33,Number of Rooms: 7,SC,Abbeville,1586,1640,1742,1704,1671,1605,1691,1760,1799,1766
34,Number of Rooms: 8,SC,Abbeville,727,782,933,854,921,882,974,1029,978,957
35,Number of Rooms: 9+,SC,Abbeville,553,539,625,623,671,786,730,773,826,840
36,Owner-Occupied,SC,Abbeville,19872,19732,19246,18687,18960,19078,18769,18465,18120,18172
37,Renter-Occupied,SC,Abbeville,4725,5061,5376,5721,5284,5031,5286,5427,5649,5575
38,Total Housing Units,SC,Abbeville,12076,12082,12066,12029,12031,12008,12014,12126,12122,12191
39,Total Population,SC,Abbeville,25643,25515,25387,25233,25100,24997,24951,24788,24657,24627
40,Units in Structure: 1 ATTACHED,SC,Abbeville,49,29,33,44,110,110,123,142,115,42
41,Units in Structure: 1 DETACHED,SC,Abbeville,7509,7719,8068,8184,8031,8081,7979,8016,7832,8058
42,Units in Structure: 10-19,SC,Abbeville,0,0,21,22,19,24,22,0,2,1
43,Units in Structure: 2,SC,Abbeville,317,247,236,92,114,75,79,95,226,231
