,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,SC,Abbeville,2.6,2.58,2.51,2.49,2.49,2.52,2.55,2.55,2.51,2.51
1,Avg household size of renter-occupied unit,SC,Abbeville,2.12,2.33,2.44,2.47,2.48,2.51,2.49,2.52,2.52,2.31
36,Owner-Occupied,SC,Abbeville,19872,19732,19246,18687,18960,19078,18769,18465,18120,18172
37,Renter-Occupied,SC,Abbeville,4725,5061,5376,5721,5284,5031,5286,5427,5649,5575
0,Avg household size of owner-occupied unit,SC,Aiken,2.55,2.49,2.5,2.51,2.52,2.52,2.5,2.45,2.43,2.44
1,Avg household size of renter-occupied unit,SC,Aiken,2.32,2.34,2.45,2.5,2.51,2.55,2.57,2.56,2.55,2.48
36,Owner-Occupied,SC,Aiken,115817,115180,115671,116532,117874,118603,117784,116387,115996,119571
37,Renter-Occupied,SC,Aiken,38495,40216,41522,42225,42233,42374,44601,46584,48188,46003
0,Avg household size of owner-occupied unit,SC,Allendale,2.65,2.66,2.65,2.6,2.55,2.55,2.46,2.45,2.39,2.33
1,Avg household size of renter-occupied unit,SC,Allendale,2.58,2.97,2.69,2.67,2.56,2.63,2.54,2.6,2.41,2.39
36,Owner-Occupied,SC,Allendale,5421,5463,5833,5649,5714,5454,5347,5317,5398,5348
37,Renter-Occupied,SC,Allendale,3660,3852,3333,3344,3111,3177,3015,2892,2644,2553
0,Avg household size of owner-occupied unit,SC,Anderson,2.56,2.57,2.57,2.59,2.58,2.6,2.59,2.55,2.59,2.6
1,Avg household size of renter-occupied unit,SC,Anderson,2.33,2.38,2.38,2.37,2.43,2.43,2.43,2.42,2.38,2.42
36,Owner-Occupied,SC,Anderson,136221,136697,138419,138534,137755,138295,137149,137436,139046,143102
37,Renter-Occupied,SC,Anderson,43532,45877,45834,47157,49418,50489,53051,54226,54445,52486
0,Avg household size of owner-occupied unit,SC,Bamberg,2.57,2.69,2.65,2.55,2.55,2.45,2.45,2.49,2.49,2.43
1,Avg household size of renter-occupied unit,SC,Bamberg,2.56,2.31,2.3,2.23,2.32,2.28,2.34,2.33,2.49,2.63
36,Owner-Occupied,SC,Bamberg,10604,11390,11268,11392,11625,10957,10464,10568,9661,9170
37,Renter-Occupied,SC,Bamberg,3927,3462,3459,3165,2811,3287,3434,3127,3829,4112
0,Avg household size of owner-occupied unit,SC,Barnwell,2.67,2.65,2.72,2.63,2.6,2.58,2.63,2.52,2.53,2.54
1,Avg household size of renter-occupied unit,SC,Barnwell,2.74,2.69,2.69,2.61,2.63,2.69,2.64,2.6,2.6,2.47
