,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,SC,5.5,5.5,5.5,5.5,5.6,5.6,5.6,5.6,5.6,5.7
26,Number of Rooms: 1,SC,37721,42959,24301,22213,25328,29353,29129,33318,41554,39707
27,Number of Rooms: 2,SC,24689,29042,26675,28494,28146,27303,32587,30800,34148,35859
28,Number of Rooms: 3,SC,130562,134312,137850,132858,125638,117916,124250,141410,140748,135420
29,Number of Rooms: 4,SC,374579,355955,364897,368307,375779,359930,368169,371621,367681,348839
30,Number of Rooms: 5,SC,500199,514235,518985,520806,514844,534919,523742,533969,526228,516225
31,Number of Rooms: 6,SC,431340,424108,423299,412025,435965,432417,434787,439648,438028,466889
32,Number of Rooms: 7,SC,273894,278250,282097,287920,287820,290404,284856,300119,308984,324948
33,Number of Rooms: 8,SC,174623,181248,182253,178270,183217,187701,202644,202239,207938,219068
34,Number of Rooms: 9+,SC,192730,196954,196411,207891,211521,230207,236098,231696,252982,264409
