,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,SC,69226,72215,71946,69157,69546,69628,70138,65929,65331,67801
50,Year Built: 1950-1959,SC,159017,164633,156270,148848,152937,153658,151017,153102,152513,149095
51,Year Built: 1960-1969,SC,202886,209820,207600,204016,209394,207519,209212,200756,205690,208692
52,Year Built: 1970-1979,SC,341579,340566,337157,340169,346117,340755,337101,336744,331740,326190
53,Year Built: 1980-1989,SC,355845,357133,373983,367861,377469,370407,358592,380542,376261,371206
54,Year Built: 1990-1999,SC,449492,436873,428167,424231,427477,431219,434928,435564,435950,433396
55,Year Built: 2000-2009,SC,254330,260105,446597,456143,446564,439158,444749,435842,429500,429382
56,Year Built: 2010-2013,SC,203482,209727,30715,44797,62099,82835,90243,91350,93235,92178
57,Year Built: 2014 or later,SC,,,,,,16344.0,49446.0,90990.0,130494.0,181754.0
58,Year Built: before 1940,SC,104480,105991,104333,103562,96655,98627,90836,94001,97577,91670
