,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",SC,123016,126149,121208,113556,120133,116010,106392,99344,98335,85070
8,"Household Income: $100,000 to $124,999",SC,104293,112965,112921,121930,117788,131671,144530,146519,151985,162778
9,"Household Income: $125,000 to $149,999",SC,52095,59441,57017,60462,71036,67938,74673,80756,83136,106491
10,"Household Income: $15,000 to $19,999",SC,121152,118904,115997,111637,110690,107167,97731,99758,98970,97622
11,"Household Income: $150,000 to $199,999",SC,44342,49613,55132,55736,60486,65643,75894,81969,89476,111249
12,"Household Income: $20,000 to $24,999",SC,124184,114098,116575,114531,120291,113576,106097,112719,105352,92835
13,"Household Income: $200,000 or more",SC,37724,39988,47510,46604,53875,60068,69854,80271,87888,106764
14,"Household Income: $25,000 to $29,999",SC,100404,108796,106339,109098,108453,102288,102722,104445,98060,91318
15,"Household Income: $30,000 to $34,999",SC,108214,100622,102352,109684,103724,105924,105611,107655,106616,97230
16,"Household Income: $35,000 to $39,999",SC,91386,97580,96464,94142,100291,97454,91373,88949,89956,93669
17,"Household Income: $40,000 to $44,999",SC,93206,89640,94536,85816,90701,97867,94963,91468,89166,98268
18,"Household Income: $45,000 to $49,999",SC,82004,76224,81102,81183,83504,75650,87555,82640,84302,83655
19,"Household Income: $50,000 to $59,999",SC,142741,150086,147361,141309,147031,151818,156557,153322,153639,157376
20,"Household Income: $60,000 to $74,999",SC,177686,171303,174961,180375,179525,195842,186920,197621,204249,201429
21,"Household Income: $75,000 to $99,999",SC,188967,181831,188429,198462,204463,216533,222541,223616,240687,248230
22,"Household Income: Less than $10,000",SC,169979,171594,169436,170464,154923,152319,154474,154048,146174,141931
23,Household Income: Total:,SC,1761393,1768834,1787340,1794989,1826914,1857768,1877887,1905100,1927991,1975915
24,Median Household Income,SC,42018.0,42367.0,43107.0,44163.0,45238.0,47238.0,49501.0,50570.0,52306.0,56227.0
