,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, South Carolina (Million cubic feet)",18866,18980,17548,18741,19246,16434,17440,20200,20790,20472,18396,19612,22392,24345,23486,25164,29406,25741,25430,25669,29057,27485,27621,29154,29314,28537,24928,25158,27100,27160,32430,26851,22834,28642,31904,28414,27562,25538,31994,28871,
"Natural gas consumed by (delivered to) the commercial sector, South Carolina (Million cubic feet)",22885,19436,15560,16548,16635,15270,15894,17195,17472,16525,15394,15796,16644,17014,17870,18868,20328,19560,19828,20566,22105,20743,21029,22365,22255,22048,20691,20927,22283,21953,24119,22113,21416,23862,25398,23752,23734,23128,25551,24926,
"Natural gas consumed by the industrial sector, South Carolina (Million cubic feet)",92046,95304,61595,62767,69526,63038,61455,65340,69177,74534,86831,85790,94327,95557,97362,98332,95493,102929,102324,102635,97295,79674,96268,78807,78421,74002,77171,76286,71924,64655,73397,76973,81165,83730,83443,84898,88148,92198,96485,94907,
"Natural gas consumed by the electric power sector, South Carolina (Million cubic feet)",5417,5008,517,942,435,483,1386,538,2378,2705,6975,9823,1795,1851,3005,6615,1206,2731,8703,10453,8501,10944,36710,13483,31266,45011,49716,50710,46154,74302,86830,100144,116010,93516,87330,136111,133646,135543,173518,182861,
"Total energy consumption per capita in the residential sector, South Carolina (Million Btu)",63.4,61.2,63,62.8,66.3,65.5,68.6,70.8,71,72.6,70.1,70.7,70.4,76.7,72.2,77.1,80.7,75.2,79,78.7,82.8,79.2,82.2,82.1,85.5,84.9,81.5,81.6,81.2,78.6,87,79.2,72,73.7,78.1,74.4,74.2,70,74.6,70.8,
"Electricity consumed by (i.e., sold to) the residential sector, South Carolina (Million kilowatthours)",12580,13067,13493,13819,14568,14661,16122,16913,17172,17464,18258,18707,18940,20687,19903,21392,22514,21611,23558,23699,25270,24875,26787,26422,27910,28676,28539,29569,29727,29556,32852,30802,28366,28813,30716,30059,30616,29225,31852,31160,
"Electricity consumed by (i.e., sold to) the residential sector per capita, South Carolina (Kilowatthours)",4013,4110,4207,4273,4453,4438,4823,5003,5033,5052,5215,5239,5231,5647,5371,5707,5931,5599,6011,5962,6280,6119,6521,6366,6628,6715,6549,6654,6564,6439,7087,6592,6011,6045,6364,6140,6169,5813,6256,6041,
"Distillate fuel oil consumed by the residential sector, South Carolina (Billion Btu)",9205,8322,6598,6840,8045,7498,7633,9317,7469,8299,6987,6730,4671,5174,4325,4026,4143,3112,2766,2926,2807,2440,2248,2590,1674,1401,1225,992,885,910,859,639,623,444,239,512,488,462,436,424,
"Propane consumed by the residential sector, South Carolina (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6204,4946,3649,4081,4817,3972,3805,4065,4485,3918,
"Distillate fuel oil consumed by the commercial sector, South Carolina (Billion Btu)",2803,2522,2352,4846,5699,5471,4559,5776,7032,5992,4199,3523,4545,5275,4217,5833,5609,6106,8741,6068,4414,4476,3893,3512,3215,3615,4028,4004,3705,2954,3489,3201,3036,2868,3070,3200,3561,3532,3472,3288,
"Electricity consumed by (i.e., sold to) the commercial sector, South Carolina (Million kilowatthours)",8705,8404,9156,9294,9205,9778,10506,11018,11524,12092,12693,13002,13156,13979,14195,14863,15388,15645,17290,17488,18434,18430,19107,19336,20113,20498,20923,21746,21676,21440,22320,21593,21251,21120,21656,21927,22275,21758,22233,22168,
"Total energy consumption per capita in the commercial sector, South Carolina (Million Btu)",43.2,39.3,40.5,42.2,40.6,41.6,43.7,44.9,46.5,47.9,48.5,48.3,48.7,51.4,51,53.4,54.6,54.3,58.9,59.5,60,58.5,58.4,59.6,61.2,60.8,60.8,60.7,59.9,57.2,59.3,56,54.9,54.4,55.6,56.3,56.3,54.5,54.2,52.7,
