Operator ID,Operator Name,Operator Type,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Statewide Total,Total,SC,2842,2572,2568,2227,2770,2903,2787,2514,2595,3072,2456
,Statewide Total,Cooperative,SC,0,0,0,0,0,0,0,0,0,0,0
,Statewide Total,Privately Owned,SC,0,0,0,0,0,0,0,0,0,0,0
,Statewide Total,Investor Owned,SC,2367,1972,1953,1854,2261,2120,2076,1930,1969,2473,1926
,Statewide Total,Municipal Owned,SC,475,600,615,373,509,783,711,584,626,599,530
32134,PATRIOTS ENERGY GROUP,Municipal Owned,SC,0,0,0,0,0,0,0,0,0,0,0
24030,YORK COUNTY NATURAL GAS AUTH,Municipal Owned,SC,209,208,269,75,218,238,348,336,335,299,224
22735,"WINNSBORO MUNICIPAL GAS SYSTEM, TOWN OF",Municipal Owned,SC,0,0,0,0,0,0,0,0,0,0,0
20170,"UNION UTILITY DEPT, CITY OF",Municipal Owned,SC,19,27,36,38,24,28,46,37,33,37,32
18408,"DOMINION ENERGY SOUTH CAROLINA, INC.",Investor Owned,SC,2367,1972,1953,1854,2261,2120,2076,1930,1969,2473,1926
14340,ORANGEBURG PUBLIC UTILITIES,Municipal Owned,SC,34,30,28,0,16,0,0,0,0,0,0
11264,LAURENS COMMISSION OF PUBLIC WORKS,Municipal Owned,SC,0,0,0,52,0,42,58,51,35,40,40
11192,LANCASTER COUNTY NATURAL GAS AUTH,Municipal Owned,SC,0,0,0,0,0,48,0,0,0,0,0
6820,GREER COMMISSION OF PUBLIC WORKS,Municipal Owned,SC,0,67,61,52,67,68,98,88,93,100,84
6810,GREENWOOD COMMISSION OF PUBLIC WORKS,Municipal Owned,SC,0,208,147,131,173,344,151,71,125,118,83
5510,FOUNTAIN INN NATURAL GAS SYSTEM,Municipal Owned,SC,4,3,4,3,0,0,0,0,2,0,0
5410,FORT HILL NATURAL GAS AUTH,Municipal Owned,SC,192,42,27,14,0,0,0,0,0,0,0
2512,CLINTON - NEWBERRY NATURAL GAS AUTH,Municipal Owned,SC,0,0,0,0,0,0,0,0,0,0,65
2312,CHESTER COUNTY NATURAL GAS AUTH,Municipal Owned,SC,0,0,0,0,0,0,0,0,0,0,0
1304,"BENNETTSVILLE ELECTRIC & GAS, CITY OF",Municipal Owned,SC,17,15,43,5,11,11,10,1,3,4,2
1096,BAMBERG BOARD OF PUBLIC WORKS,Municipal Owned,SC,0,0,0,3,0,4,0,0,0,1,0
