,Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Main Miles Built Pre-1940,Main Miles Built 1940-49,Main Miles Built 1950-59,Main Miles Built 1960-69,Main Miles Built 1970-79,Main Miles Built 1980-89,Main Miles Built 1990-99,Main Miles Built 2000-09,Main Miles Built 2010-19,Main Miles Built 2020-29
0,Statewide Total,,Total,SC,23623.722,28.235294117647058,3696,2338.0,0.0,0.0,1135.0,2356.0,1410.0,2966.0,4734.0,4613.0,3789.0,279.0
1,Statewide Total,,Cooperative,SC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Statewide Total,,Privately Owned,SC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Statewide Total,,Investor Owned,SC,13946.71,28.0,2370,1685.0,0.0,0.0,425.0,1792.0,1018.0,1915.0,2185.0,2773.0,2031.0,118.0
4,Statewide Total,,Municipal Owned,SC,9677.011999999999,28.266666666666666,1326,652.0,0.0,0.0,709.0,563.0,391.0,1051.0,2548.0,1839.0,1758.0,160.0
5,PATRIOTS ENERGY GROUP,32134,Municipal Owned,SC,16.97,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,6.44,6.29,4.228
6,YORK COUNTY NATURAL GAS AUTH,24030,Municipal Owned,SC,1816.35,23.0,93,28.33,0.0,0.0,27.88,53.24,80.76,259.69,565.95,486.96,279.71,33.83
7,"WINNSBORO MUNICIPAL GAS SYSTEM, TOWN OF",22735,Municipal Owned,SC,140.0,37.0,41,0.0,0.0,0.0,0.0,40.0,12.0,43.0,27.0,10.0,8.0,0.0
8,"UNION UTILITY DEPT, CITY OF",20170,Municipal Owned,SC,427.125,34.0,126,0.0,0.0,0.0,82.0,44.0,5.0,38.0,142.0,74.125,42.0,0.0
9,"DOMINION ENERGY SOUTH CAROLINA, INC.",18408,Investor Owned,SC,10066.0,29.0,1945,16.0,0.0,0.0,374.0,1429.0,952.0,1728.0,1557.0,2181.0,1750.0,79.0
10,PIEDMONT NATURAL GAS CO INC,15518,Investor Owned,SC,3880.71,27.0,425,1669.711,0.0,0.0,51.401,363.648,66.36,187.123,628.911,592.511,281.418,39.622
11,ORANGEBURG PUBLIC UTILITIES,14340,Municipal Owned,SC,394.0,37.0,179,0.0,0.0,0.0,97.0,81.0,9.0,16.0,63.0,43.0,83.0,2.0
12,LAURENS COMMISSION OF PUBLIC WORKS,11264,Municipal Owned,SC,423.0,32.0,83,0.0,0.0,0.0,73.0,9.0,11.0,73.0,189.0,13.0,46.0,9.0
13,LANCASTER COUNTY NATURAL GAS AUTH,11192,Municipal Owned,SC,1047.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,587.0,63.0
14,GREER COMMISSION OF PUBLIC WORKS,6820,Municipal Owned,SC,793.0,27.0,98,0.0,0.0,0.0,81.0,16.0,13.0,101.0,324.0,175.0,79.0,4.0
15,GREENWOOD COMMISSION OF PUBLIC WORKS,6810,Municipal Owned,SC,763.52,15.0,0,624.0,0.0,0.0,0.0,0.0,0.0,0.0,54.49,30.0,49.5,5.73
16,FOUNTAIN INN NATURAL GAS SYSTEM,5510,Municipal Owned,SC,333.0,25.0,36,0.0,0.0,0.0,17.0,19.0,3.0,36.0,130.0,59.0,63.0,6.0
17,FORT HILL NATURAL GAS AUTH,5410,Municipal Owned,SC,1973.0,26.0,264,0.0,0.0,0.0,113.0,135.0,110.0,242.0,612.0,387.0,348.0,26.0
18,CLINTON - NEWBERRY NATURAL GAS AUTH,2512,Municipal Owned,SC,778.0,38.0,265,0.0,0.0,0.0,184.0,62.0,129.0,136.0,61.0,67.0,132.0,7.0
19,CHESTER COUNTY NATURAL GAS AUTH,2312,Municipal Owned,SC,602.82,28.0,74,0.0,0.0,0.0,9.0,65.75,1.0,64.0,350.0,80.0,32.49,0.0
20,"BENNETTSVILLE ELECTRIC & GAS, CITY OF",1304,Municipal Owned,SC,86.0,45.0,41,0.0,0.0,0.0,26.0,15.0,4.0,19.0,12.0,10.0,0.0,0.0
21,BAMBERG BOARD OF PUBLIC WORKS,1096,Municipal Owned,SC,83.227,40.0,26,0.0,0.0,0.0,0.0,23.972,14.0,24.0,18.0,1.0,2.255,0.0
