,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,SD,Aurora,2.64,2.45,2.44,2.36,2.38,2.25,2.29,2.24,2.33,2.37
1,Avg household size of renter-occupied unit,SD,Aurora,2.38,2.51,2.58,2.35,2.32,2.19,2.15,2.01,1.96,1.66
2,FIPS Code,SD,Aurora,46003,46003,46003,46003,46003,46003,46003,46003,46003,46003
3,House Heating Fuel: Electric,SD,Aurora,357,374,417,436,486,521,548,547,548,586
4,House Heating Fuel: Fuel Oil,SD,Aurora,126,148,125,129,130,125,97,114,91,88
5,House Heating Fuel: Gas,SD,Aurora,24,27,21,25,19,18,14,10,6,6
6,House Heating Fuel: Propane,SD,Aurora,467,451,410,405,371,388,386,423,436,425
7,House Heating Fuel: Wood,SD,Aurora,25,33,37,35,33,45,38,41,39,31
26,Median Number of Rooms,SD,Aurora,6.0,6.0,6.2,6.2,6.3,6.5,6.6,6.6,6.4,6.3
27,Number of Rooms: 1,SD,Aurora,4,0,0,0,1,4,32,40,36,35
28,Number of Rooms: 2,SD,Aurora,12,12,12,13,15,19,20,22,18,20
29,Number of Rooms: 3,SD,Aurora,65,58,54,55,69,46,38,44,53,54
30,Number of Rooms: 4,SD,Aurora,178,199,189,171,173,153,125,116,137,131
31,Number of Rooms: 5,SD,Aurora,247,252,220,265,241,211,181,222,232,254
32,Number of Rooms: 6,SD,Aurora,231,220,220,219,204,239,232,231,228,220
33,Number of Rooms: 7,SD,Aurora,195,230,224,236,211,253,237,234,204,210
34,Number of Rooms: 8,SD,Aurora,164,134,142,160,193,196,201,196,182,151
35,Number of Rooms: 9+,SD,Aurora,129,162,187,185,197,240,261,270,259,273
36,Owner-Occupied,SD,Aurora,2058,2056,2052,2099,2091,2045,2063,2051,2027,2106
37,Renter-Occupied,SD,Aurora,589,553,558,503,507,548,518,530,567,486
38,Total Housing Units,SD,Aurora,1225,1267,1248,1304,1304,1361,1327,1375,1349,1348
39,Total Population,SD,Aurora,2739,2722,2726,2722,2729,2729,2732,2739,2759,2763
40,Units in Structure: 1 ATTACHED,SD,Aurora,7,9,6,7,5,11,8,4,5,7
41,Units in Structure: 1 DETACHED,SD,Aurora,1058,1109,1097,1132,1124,1170,1128,1166,1139,1151
42,Units in Structure: 10-19,SD,Aurora,0,0,0,0,0,1,2,1,8,8
43,Units in Structure: 2,SD,Aurora,16,25,20,8,17,30,29,28,33,28
44,Units in Structure: 20-49,SD,Aurora,0,0,0,0,3,4,6,7,11,6
45,Units in Structure: 3-4,SD,Aurora,38,18,20,27,29,20,23,34,31,32
46,Units in Structure: 5-9,SD,Aurora,9,10,10,13,10,13,11,14,12,10
47,Units in Structure: 50+,SD,Aurora,0,0,0,0,0,0,0,0,0,2
48,"Units in Structure: Boat,RV,Van,Etc.",SD,Aurora,4,3,2,3,3,0,0,0,0,0
49,Units in Structure: Mobile Home,SD,Aurora,93,93,93,114,113,112,120,121,110,104
50,Year Built: 1940-1949,SD,Aurora,110,98,85,95,80,122,81,77,71,77
51,Year Built: 1950-1959,SD,Aurora,63,119,104,92,101,111,114,122,104,107
52,Year Built: 1960-1969,SD,Aurora,71,96,83,97,106,112,108,121,115,115
53,Year Built: 1970-1979,SD,Aurora,152,127,127,137,131,68,74,75,76,73
54,Year Built: 1980-1989,SD,Aurora,72,77,81,79,76,86,89,111,99,99
55,Year Built: 1990-1999,SD,Aurora,146,140,119,111,92,153,129,117,153,147
56,Year Built: 2000-2009,SD,Aurora,30,33,98,118,134,19,22,19,17,18
57,Year Built: 2010-2013,SD,Aurora,10,33,2,8,22,0,4,23,34,44
58,Year Built: before 1940,SD,Aurora,571,544,549,567,562,56,59,35,26,27
0,Avg household size of owner-occupied unit,SD,Beadle,2.41,2.44,2.4,2.35,2.36,2.35,2.34,2.31,2.35,2.39
1,Avg household size of renter-occupied unit,SD,Beadle,1.97,1.95,2.12,2.28,2.23,2.24,2.29,2.23,2.14,2.28
2,FIPS Code,SD,Beadle,46005,46005,46005,46005,46005,46005,46005,46005,46005,46005
3,House Heating Fuel: Electric,SD,Beadle,1617,1795,1852,2012,2267,2324,2508,2650,2607,2633
4,House Heating Fuel: Fuel Oil,SD,Beadle,203,197,158,130,102,68,51,71,73,61
5,House Heating Fuel: Gas,SD,Beadle,3868,3754,3728,3622,3490,3643,3624,3671,3807,3587
6,House Heating Fuel: Propane,SD,Beadle,1010,1122,1142,1170,1236,1142,992,957,974,1024
7,House Heating Fuel: Wood,SD,Beadle,95,57,58,77,72,79,80,94,114,112
26,Median Number of Rooms,SD,Beadle,5.4,5.4,5.5,5.4,5.5,5.5,5.6,5.5,5.6,5.6
27,Number of Rooms: 1,SD,Beadle,113,194,120,109,158,152,114,106,142,147
28,Number of Rooms: 2,SD,Beadle,256,222,161,225,199,193,231,209,149,271
29,Number of Rooms: 3,SD,Beadle,947,941,844,862,787,756,699,747,920,1213
30,Number of Rooms: 4,SD,Beadle,1441,1406,1599,1567,1596,1543,1481,1401,1269,1190
31,Number of Rooms: 5,SD,Beadle,1521,1531,1395,1623,1494,1596,1585,1792,1579,1331
32,Number of Rooms: 6,SD,Beadle,1396,1327,1225,1025,1145,1111,1123,1263,1368,1266
33,Number of Rooms: 7,SD,Beadle,960,1013,1018,1023,1009,992,1018,967,1044,1114
34,Number of Rooms: 8,SD,Beadle,588,516,599,520,582,607,685,587,654,625
35,Number of Rooms: 9+,SD,Beadle,1066,1153,1340,1366,1369,1408,1440,1384,1357,1343
36,Owner-Occupied,SD,Beadle,11294,11713,11673,11162,11474,11586,11500,11852,12242,11856
37,Renter-Occupied,SD,Beadle,4934,4867,5140,5880,5778,5901,5973,5630,5498,5906
38,Total Housing Units,SD,Beadle,8288,8303,8301,8320,8339,8358,8376,8456,8482,8500
39,Total Population,SD,Beadle,16829,17111,17372,17663,17922,18168,18155,18163,18374,18346
40,Units in Structure: 1 ATTACHED,SD,Beadle,112,102,164,163,126,165,218,215,195,216
41,Units in Structure: 1 DETACHED,SD,Beadle,6000,5756,6024,5795,6011,6171,6298,6309,6350,5944
42,Units in Structure: 10-19,SD,Beadle,422,473,430,526,528,445,404,447,366,379
43,Units in Structure: 2,SD,Beadle,331,297,303,161,143,119,117,71,91,83
44,Units in Structure: 20-49,SD,Beadle,338,361,229,215,215,192,186,161,197,325
45,Units in Structure: 3-4,SD,Beadle,242,292,290,397,341,394,379,380,309,591
46,Units in Structure: 5-9,SD,Beadle,272,414,389,496,444,413,349,421,530,476
47,Units in Structure: 50+,SD,Beadle,95,130,104,112,135,128,80,86,70,38
48,"Units in Structure: Boat,RV,Van,Etc.",SD,Beadle,0,0,2,2,3,3,4,0,0,0
49,Units in Structure: Mobile Home,SD,Beadle,476,478,366,453,393,328,341,366,374,448
50,Year Built: 1940-1949,SD,Beadle,730,629,682,701,743,1169,1022,1101,994,890
51,Year Built: 1950-1959,SD,Beadle,1183,1381,1275,1133,1143,904,1076,921,987,970
52,Year Built: 1960-1969,SD,Beadle,722,691,897,803,854,1323,1311,1226,1114,1177
53,Year Built: 1970-1979,SD,Beadle,1007,1157,1243,1339,1320,521,525,476,561,568
54,Year Built: 1980-1989,SD,Beadle,589,576,501,545,572,671,729,825,820,1046
55,Year Built: 1990-1999,SD,Beadle,659,567,496,674,632,675,727,742,740,815
56,Year Built: 2000-2009,SD,Beadle,419,355,744,758,636,72,87,168,181,271
57,Year Built: 2010-2013,SD,Beadle,296,373,39,46,46,7,9,20,37,59
58,Year Built: before 1940,SD,Beadle,2683,2574,2424,2321,2393,677,662,626,606,518
0,Avg household size of owner-occupied unit,SD,Bennett,2.61,2.33,2.44,2.5,2.47,2.47,2.57,2.61,2.62,2.52
1,Avg household size of renter-occupied unit,SD,Bennett,3.77,3.86,3.82,3.93,4.0,4.37,4.95,5.03,4.89,4.85
2,FIPS Code,SD,Bennett,46007,46007,46007,46007,46007,46007,46007,46007,46007,46007
3,House Heating Fuel: Electric,SD,Bennett,334,316,294,292,298,276,273,284,313,312
4,House Heating Fuel: Fuel Oil,SD,Bennett,14,22,21,12,15,6,1,7,10,8
5,House Heating Fuel: Gas,SD,Bennett,101,98,80,59,25,45,45,45,35,40
6,House Heating Fuel: Propane,SD,Bennett,581,673,650,636,687,650,586,558,554,557
7,House Heating Fuel: Wood,SD,Bennett,12,13,40,39,44,47,48,44,49,47
26,Median Number of Rooms,SD,Bennett,5.5,5.6,5.5,5.3,5.4,5.5,5.5,5.4,5.5,5.5
27,Number of Rooms: 1,SD,Bennett,17,26,18,24,16,10,11,6,11,11
28,Number of Rooms: 2,SD,Bennett,29,34,37,26,17,17,19,29,31,30
29,Number of Rooms: 3,SD,Bennett,107,108,92,106,107,91,81,66,68,49
30,Number of Rooms: 4,SD,Bennett,182,152,159,145,215,188,199,209,214,205
31,Number of Rooms: 5,SD,Bennett,302,309,314,360,302,300,280,278,270,304
32,Number of Rooms: 6,SD,Bennett,244,322,271,241,267,253,226,249,286,306
33,Number of Rooms: 7,SD,Bennett,158,162,197,144,177,173,142,114,132,113
34,Number of Rooms: 8,SD,Bennett,96,90,84,75,54,84,87,60,68,65
35,Number of Rooms: 9+,SD,Bennett,132,103,94,87,74,101,112,125,123,109
36,Owner-Occupied,SD,Bennett,1645,1569,1524,1385,1553,1552,1535,1519,1633,1501
37,Renter-Occupied,SD,Bennett,1593,1793,1840,1983,1834,1846,1871,1881,1764,1886
38,Total Housing Units,SD,Bennett,1267,1306,1266,1208,1229,1217,1157,1136,1203,1192
39,Total Population,SD,Bennett,3441,3435,3432,3431,3440,3438,3445,3440,3437,3425
40,Units in Structure: 1 ATTACHED,SD,Bennett,9,18,27,27,27,28,17,9,16,15
41,Units in Structure: 1 DETACHED,SD,Bennett,942,1015,944,881,888,921,900,913,997,1007
42,Units in Structure: 10-19,SD,Bennett,0,0,12,19,19,14,13,1,0,0
43,Units in Structure: 2,SD,Bennett,24,24,40,34,38,17,14,13,9,11
44,Units in Structure: 20-49,SD,Bennett,28,32,23,22,12,0,0,0,3,4
45,Units in Structure: 3-4,SD,Bennett,29,19,32,31,35,37,36,25,17,16
46,Units in Structure: 5-9,SD,Bennett,42,42,19,19,20,20,14,16,15,13
47,Units in Structure: 50+,SD,Bennett,0,0,0,0,0,0,0,0,0,0
48,"Units in Structure: Boat,RV,Van,Etc.",SD,Bennett,0,0,0,0,0,0,0,0,0,0
49,Units in Structure: Mobile Home,SD,Bennett,193,156,169,175,190,180,163,159,146,126
50,Year Built: 1940-1949,SD,Bennett,110,122,105,83,99,148,151,141,104,93
51,Year Built: 1950-1959,SD,Bennett,138,114,132,132,137,138,133,156,171,153
52,Year Built: 1960-1969,SD,Bennett,133,167,124,134,162,299,279,283,279,273
53,Year Built: 1970-1979,SD,Bennett,258,274,256,272,303,90,96,119,131,142
54,Year Built: 1980-1989,SD,Bennett,160,144,170,154,91,138,147,136,151,159
55,Year Built: 1990-1999,SD,Bennett,191,153,159,142,160,123,94,65,59,44
56,Year Built: 2000-2009,SD,Bennett,34,54,98,101,97,19,19,9,19,16
57,Year Built: 2010-2013,SD,Bennett,0,0,11,8,11,0,0,0,4,5
58,Year Built: before 1940,SD,Bennett,243,278,211,182,169,88,85,84,114,144
0,Avg household size of owner-occupied unit,SD,Bon Homme,2.36,2.31,2.35,2.33,2.32,2.34,2.32,2.25,2.24,2.19
1,Avg household size of renter-occupied unit,SD,Bon Homme,2.42,2.14,1.97,2.15,2.01,1.81,1.97,1.95,2.04,2.06
