,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,SD,Aurora,2.64,2.45,2.44,2.36,2.38,2.25,2.29,2.24,2.33,2.37
1,Avg household size of renter-occupied unit,SD,Aurora,2.38,2.51,2.58,2.35,2.32,2.19,2.15,2.01,1.96,1.66
36,Owner-Occupied,SD,Aurora,2058,2056,2052,2099,2091,2045,2063,2051,2027,2106
37,Renter-Occupied,SD,Aurora,589,553,558,503,507,548,518,530,567,486
0,Avg household size of owner-occupied unit,SD,Beadle,2.41,2.44,2.4,2.35,2.36,2.35,2.34,2.31,2.35,2.39
1,Avg household size of renter-occupied unit,SD,Beadle,1.97,1.95,2.12,2.28,2.23,2.24,2.29,2.23,2.14,2.28
36,Owner-Occupied,SD,Beadle,11294,11713,11673,11162,11474,11586,11500,11852,12242,11856
37,Renter-Occupied,SD,Beadle,4934,4867,5140,5880,5778,5901,5973,5630,5498,5906
0,Avg household size of owner-occupied unit,SD,Bennett,2.61,2.33,2.44,2.5,2.47,2.47,2.57,2.61,2.62,2.52
1,Avg household size of renter-occupied unit,SD,Bennett,3.77,3.86,3.82,3.93,4.0,4.37,4.95,5.03,4.89,4.85
36,Owner-Occupied,SD,Bennett,1645,1569,1524,1385,1553,1552,1535,1519,1633,1501
37,Renter-Occupied,SD,Bennett,1593,1793,1840,1983,1834,1846,1871,1881,1764,1886
0,Avg household size of owner-occupied unit,SD,Bon Homme,2.36,2.31,2.35,2.33,2.32,2.34,2.32,2.25,2.24,2.19
1,Avg household size of renter-occupied unit,SD,Bon Homme,2.42,2.14,1.97,2.15,2.01,1.81,1.97,1.95,2.04,2.06
36,Owner-Occupied,SD,Bon Homme,5072,4751,4796,4517,4622,4545,4371,4332,4222,4086
37,Renter-Occupied,SD,Bon Homme,1054,1047,957,1205,1026,973,1233,1225,1323,1382
0,Avg household size of owner-occupied unit,SD,Brookings,2.63,2.6,2.6,2.56,2.54,2.55,2.59,2.57,2.58,2.54
1,Avg household size of renter-occupied unit,SD,Brookings,2.22,2.12,2.16,2.13,2.07,2.12,2.12,2.1,2.12,2.19
36,Owner-Occupied,SD,Brookings,17726,17941,17846,17812,18461,18708,19013,19293,19472,19337
37,Renter-Occupied,SD,Brookings,10372,9945,10365,10703,10410,10574,10633,10674,11072,11549
0,Avg household size of owner-occupied unit,SD,Brown,2.56,2.5,2.49,2.44,2.42,2.47,2.48,2.48,2.51,2.54
1,Avg household size of renter-occupied unit,SD,Brown,1.73,1.76,1.78,1.87,1.94,1.9,1.91,1.89,1.93,1.9
36,Owner-Occupied,SD,Brown,26478,26522,26994,26730,26899,27076,26942,26724,26803,26461
37,Renter-Occupied,SD,Brown,7976,8080,7950,8689,9123,9540,10077,10495,10662,11139
0,Avg household size of owner-occupied unit,SD,Brule,2.45,2.34,2.36,2.44,2.46,2.48,2.42,2.35,2.25,2.19
1,Avg household size of renter-occupied unit,SD,Brule,1.81,1.98,1.95,2.02,2.32,2.43,2.45,2.2,2.2,2.25
36,Owner-Occupied,SD,Brule,3678,3376,3431,3582,3601,3743,3505,3474,3148,3015
37,Renter-Occupied,SD,Brule,1038,1152,1249,1266,1404,1361,1552,1525,1806,1926
0,Avg household size of owner-occupied unit,SD,Buffalo,3.62,3.12,3.45,3.58,3.35,3.55,3.9,3.28,3.19,3.13
1,Avg household size of renter-occupied unit,SD,Buffalo,3.93,3.68,3.43,3.64,3.94,3.86,4.31,4.27,4.01,3.97
36,Owner-Occupied,SD,Buffalo,521,527,794,724,740,852,842,728,827,818
37,Renter-Occupied,SD,Buffalo,1411,1407,1154,1239,1269,1182,1206,1316,1222,1204
0,Avg household size of owner-occupied unit,SD,Butte,2.52,2.61,2.6,2.56,2.58,2.6,2.52,2.54,2.5,2.54
1,Avg household size of renter-occupied unit,SD,Butte,2.38,2.11,2.18,2.38,2.22,2.19,2.15,2.03,2.1,2.03
36,Owner-Occupied,SD,Butte,7602,7795,7756,7398,7749,7912,7799,7900,7860,8148
37,Renter-Occupied,SD,Butte,2276,2121,2245,2679,2389,2258,2341,2161,2180,1939
0,Avg household size of owner-occupied unit,SD,Campbell,2.41,2.24,2.18,2.17,2.17,2.39,2.4,2.22,2.23,2.27
1,Avg household size of renter-occupied unit,SD,Campbell,1.95,1.97,1.97,1.8,1.89,1.76,1.73,1.31,1.74,1.74
36,Owner-Occupied,SD,Campbell,1250,1196,1168,1163,1211,1314,1333,1305,1293,1321
37,Renter-Occupied,SD,Campbell,181,175,226,258,223,234,218,134,136,158
0,Avg household size of owner-occupied unit,SD,Charles Mix,2.69,2.6,2.59,2.64,2.56,2.6,2.65,2.7,2.73,2.75
1,Avg household size of renter-occupied unit,SD,Charles Mix,2.92,2.98,3.12,2.98,3.22,3.19,3.01,3.07,3.23,3.13
36,Owner-Occupied,SD,Charles Mix,5981,5959,5886,5966,5800,5789,5910,5831,6030,6163
37,Renter-Occupied,SD,Charles Mix,2951,2833,2879,2778,2980,3024,2971,3138,3031,2888
0,Avg household size of owner-occupied unit,SD,Clark,2.71,2.55,2.52,2.31,2.32,2.26,2.29,2.33,2.35,2.42
1,Avg household size of renter-occupied unit,SD,Clark,2.45,2.56,2.36,2.44,2.1,2.05,2.08,2.12,2.12,1.99
36,Owner-Occupied,SD,Clark,3066,2761,2735,2603,2621,2561,2650,2739,2804,2974
37,Renter-Occupied,SD,Clark,626,748,669,738,677,729,717,710,733,635
0,Avg household size of owner-occupied unit,SD,Clay,2.53,2.49,2.5,2.53,2.53,2.42,2.46,2.4,2.45,2.38
1,Avg household size of renter-occupied unit,SD,Clay,1.8,1.97,1.89,1.89,1.96,1.99,1.95,1.98,2.02,2.07
36,Owner-Occupied,SD,Clay,7314,7010,7167,7265,6811,6649,6740,6571,6528,6688
37,Renter-Occupied,SD,Clay,3690,4316,4299,4304,4866,5138,5027,5091,5152,5007
0,Avg household size of owner-occupied unit,SD,Codington,2.48,2.46,2.46,2.51,2.51,2.5,2.52,2.51,2.49,2.5
1,Avg household size of renter-occupied unit,SD,Codington,2.05,1.99,1.92,1.91,1.92,1.83,1.89,1.84,1.88,1.84
36,Owner-Occupied,SD,Codington,19536,20266,20425,20179,20115,20185,19672,19674,19697,19688
37,Renter-Occupied,SD,Codington,7047,6342,6327,6749,6979,7051,7662,7698,7678,7699
0,Avg household size of owner-occupied unit,SD,Corson,3.34,3.1,2.95,2.87,2.97,2.88,2.98,2.9,2.99,2.9
1,Avg household size of renter-occupied unit,SD,Corson,4.01,4.12,4.11,4.07,3.84,3.9,3.78,3.9,4.09,4.14
36,Owner-Occupied,SD,Corson,2065,2030,1888,1801,1837,1826,1826,1923,1863,1864
37,Renter-Occupied,SD,Corson,1988,2011,2152,2272,2280,2318,2339,2249,2301,2283
0,Avg household size of owner-occupied unit,SD,Custer,2.17,2.11,2.21,2.15,2.15,2.14,2.13,2.09,2.12,2.18
1,Avg household size of renter-occupied unit,SD,Custer,1.86,1.95,2.03,1.99,2.17,2.03,1.83,1.97,1.83,1.97
36,Owner-Occupied,SD,Custer,6222,6151,6136,6414,6439,6541,6781,6754,6882,7112
37,Renter-Occupied,SD,Custer,1469,1592,1680,1485,1497,1425,1222,1321,1269,1220
0,Avg household size of owner-occupied unit,SD,Davison,2.48,2.5,2.45,2.4,2.41,2.33,2.35,2.28,2.36,2.34
1,Avg household size of renter-occupied unit,SD,Davison,1.86,1.86,1.79,1.89,1.85,1.98,1.95,1.97,1.9,1.93
36,Owner-Occupied,SD,Davison,12663,12814,13273,12706,13095,12560,12111,12064,12192,12083
37,Renter-Occupied,SD,Davison,5553,5759,5341,5998,5714,6296,6749,6710,6698,6738
0,Avg household size of owner-occupied unit,SD,Day,2.2,2.26,2.23,2.16,2.19,2.17,2.15,2.13,2.09,2.05
1,Avg household size of renter-occupied unit,SD,Day,2.1,2.21,2.24,2.26,2.02,2.11,2.03,1.99,1.97,2.15
36,Owner-Occupied,SD,Day,3808,3962,3919,3831,4093,4008,4008,3981,3993,3980
37,Renter-Occupied,SD,Day,1620,1567,1584,1672,1405,1450,1417,1383,1360,1367
0,Avg household size of owner-occupied unit,SD,Deuel,2.47,2.47,2.5,2.48,2.41,2.35,2.44,2.42,2.48,2.46
1,Avg household size of renter-occupied unit,SD,Deuel,2.01,2.03,1.93,2.0,1.94,1.74,1.73,1.75,1.88,2.03
36,Owner-Occupied,SD,Deuel,3640,3679,3765,3771,3704,3709,3740,3645,3561,3494
37,Renter-Occupied,SD,Deuel,658,632,555,536,575,564,502,571,679,766
0,Avg household size of owner-occupied unit,SD,Dewey,2.84,2.85,2.83,3.03,3.0,3.26,3.18,3.16,3.11,3.09
1,Avg household size of renter-occupied unit,SD,Dewey,3.5,3.31,3.33,3.38,3.63,3.51,3.69,3.8,3.86,4.14
36,Owner-Occupied,SD,Dewey,2747,2842,2789,2968,3019,3128,3131,3045,2999,3115
37,Renter-Occupied,SD,Dewey,2559,2399,2490,2384,2427,2389,2457,2600,2714,2660
0,Avg household size of owner-occupied unit,SD,Douglas,2.45,2.41,2.31,2.33,2.32,2.34,2.39,2.44,2.46,2.52
1,Avg household size of renter-occupied unit,SD,Douglas,2.19,2.23,2.33,2.23,1.98,1.76,1.61,1.54,1.48,1.51
36,Owner-Occupied,SD,Douglas,2309,2304,2253,2299,2343,2383,2453,2386,2435,2453
37,Renter-Occupied,SD,Douglas,614,606,636,601,547,489,405,450,389,371
0,Avg household size of owner-occupied unit,SD,Edmunds,2.56,2.45,2.51,2.45,2.36,2.34,2.37,2.4,2.49,2.51
1,Avg household size of renter-occupied unit,SD,Edmunds,2.41,1.99,1.77,1.84,2.07,2.1,2.2,2.42,2.24,2.27
36,Owner-Occupied,SD,Edmunds,3275,3126,3138,3044,3023,3038,3145,3174,3219,3173
37,Renter-Occupied,SD,Edmunds,738,678,595,640,642,608,585,614,606,631
0,Avg household size of owner-occupied unit,SD,Fall River,2.1,2.2,2.25,2.23,2.18,2.16,2.17,2.14,2.15,2.26
1,Avg household size of renter-occupied unit,SD,Fall River,1.58,1.75,1.85,1.86,1.92,2.1,2.04,1.9,1.81,1.83
36,Owner-Occupied,SD,Fall River,4106,4821,4824,4688,4630,4734,4736,4853,5132,5263
37,Renter-Occupied,SD,Fall River,1672,1764,1779,1924,1997,1873,1825,1618,1333,1201
0,Avg household size of owner-occupied unit,SD,Faulk,2.6,2.48,2.43,2.4,2.25,2.1,2.12,2.2,2.23,2.33
1,Avg household size of renter-occupied unit,SD,Faulk,2.6,2.13,1.95,1.95,2.09,2.35,2.06,1.83,2.03,1.92
36,Owner-Occupied,SD,Faulk,1902,1787,1798,1751,1644,1536,1584,1604,1615,1674
37,Renter-Occupied,SD,Faulk,474,445,390,389,454,514,468,396,363,338
0,Avg household size of owner-occupied unit,SD,Grant,2.36,2.39,2.39,2.35,2.35,2.3,2.23,2.22,2.23,2.25
1,Avg household size of renter-occupied unit,SD,Grant,1.83,1.74,1.73,1.91,1.95,1.85,1.99,2.0,2.04,1.84
36,Owner-Occupied,SD,Grant,5619,5635,5764,5682,5808,5802,5789,5958,6018,5877
37,Renter-Occupied,SD,Grant,1469,1435,1298,1408,1283,1268,1253,1043,1058,1117
0,Avg household size of owner-occupied unit,SD,Gregory,2.11,2.08,2.13,2.09,2.07,2.12,2.2,2.08,2.24,2.26
1,Avg household size of renter-occupied unit,SD,Gregory,2.11,2.2,2.19,2.18,2.2,2.13,2.13,2.28,2.29,2.24
36,Owner-Occupied,SD,Gregory,3228,3154,3127,2950,2888,2873,2925,2817,2984,2973
