,State,Tenure,Year Built,Structure Type,Heating Fuel,Federal Poverty Line,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,SD,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,0-100%,2.191,0.0,1770.96,1796.72,0.0,inf
2,SD,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,100-150%,0.001,0.0,0.0,0.0,0.0,
3,SD,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,150-200%,6.108,24945.35,1119.43,3020.55,0.0,16.6
4,SD,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,200-400%,3.204,8012.36,359.55,970.08,0.0,16.59
5,SD,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,400%+,9.422,136997.34,890.2,1431.05,160.02,1.81
6,SD,OWNER,1940-59,1 ATTACHED,ELECTRICITY,0-100%,1.806,0.0,0.0,0.0,0.0,
7,SD,OWNER,1940-59,1 ATTACHED,ELECTRICITY,100-150%,0.002,0.0,0.0,0.0,0.0,
8,SD,OWNER,1940-59,1 ATTACHED,ELECTRICITY,150-200%,5.119,0.0,0.0,0.0,0.0,
9,SD,OWNER,1940-59,1 ATTACHED,ELECTRICITY,200-400%,15.53,41598.92,6042.42,0.0,0.0,14.530000000000001
10,SD,OWNER,1940-59,1 ATTACHED,ELECTRICITY,400%+,31.836,120706.77,3038.48,0.0,476.19,2.91
11,SD,OWNER,1940-59,1 ATTACHED,OTHER,0-100%,0.0,0.0,0.0,0.0,0.0,
12,SD,OWNER,1940-59,1 ATTACHED,OTHER,100-150%,0.0,0.0,0.0,0.0,0.0,
13,SD,OWNER,1940-59,1 ATTACHED,OTHER,150-200%,0.0,0.0,0.0,0.0,0.0,
14,SD,OWNER,1940-59,1 ATTACHED,OTHER,200-400%,0.0,0.0,0.0,0.0,0.0,
15,SD,OWNER,1940-59,1 ATTACHED,OTHER,400%+,0.0,0.0,0.0,0.0,0.0,
16,SD,OWNER,1940-59,1 ATTACHED,SOLAR,0-100%,0.032,0.0,0.0,0.0,0.0,
17,SD,OWNER,1940-59,1 ATTACHED,SOLAR,100-150%,0.032,0.0,0.0,0.0,0.0,
18,SD,OWNER,1940-59,1 ATTACHED,SOLAR,150-200%,0.0,0.0,0.0,0.0,0.0,
19,SD,OWNER,1940-59,1 ATTACHED,SOLAR,200-400%,0.009,0.0,0.0,0.0,0.0,
20,SD,OWNER,1940-59,1 ATTACHED,SOLAR,400%+,0.044,0.0,0.0,0.0,0.0,
21,SD,OWNER,1940-59,1 ATTACHED,UTILITY GAS,0-100%,21.567,23206.04,921.47,570.22,0.0,6.43
22,SD,OWNER,1940-59,1 ATTACHED,UTILITY GAS,100-150%,24.574,25289.3,1007.24,621.76,0.0,6.4399999999999995
23,SD,OWNER,1940-59,1 ATTACHED,UTILITY GAS,150-200%,0.091,0.0,0.0,0.0,0.0,
24,SD,OWNER,1940-59,1 ATTACHED,UTILITY GAS,200-400%,68.345,61377.75,1067.66,1089.83,0.0,3.52
25,SD,OWNER,1940-59,1 ATTACHED,UTILITY GAS,400%+,22.713,60153.13,993.82,1004.87,0.0,3.32
26,SD,OWNER,1940-59,1 ATTACHED,WOOD,0-100%,0.001,0.0,0.0,0.0,0.0,
27,SD,OWNER,1940-59,1 ATTACHED,WOOD,100-150%,0.0,0.0,0.0,0.0,0.0,
28,SD,OWNER,1940-59,1 ATTACHED,WOOD,150-200%,0.0,0.0,0.0,0.0,0.0,
29,SD,OWNER,1940-59,1 ATTACHED,WOOD,200-400%,0.0,0.0,0.0,0.0,0.0,
30,SD,OWNER,1940-59,1 ATTACHED,WOOD,400%+,0.0,0.0,0.0,0.0,0.0,
31,SD,OWNER,1940-59,1 ATTACHED,COAL,0-100%,0.001,0.0,0.0,0.0,0.0,
32,SD,OWNER,1940-59,1 ATTACHED,COAL,100-150%,0.0,0.0,0.0,0.0,0.0,
33,SD,OWNER,1940-59,1 ATTACHED,COAL,150-200%,0.0,0.0,0.0,0.0,0.0,
34,SD,OWNER,1940-59,1 ATTACHED,COAL,200-400%,0.0,0.0,0.0,0.0,0.0,
35,SD,OWNER,1940-59,1 ATTACHED,COAL,400%+,0.0,0.0,0.0,0.0,0.0,
