,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, South Dakota (Million cubic feet)",13784,12436,13182,11190,11338,11969,14510,14141,14874,11830,10558,9758,11584,10648,10994,11357,10557,9288,10687,11342,10204,11218,10791,12431,12056,12610,14085,13203,11646,11766,12608,12335,12897,13175,12281,12212,11514,12402,13566,13595,12815,12961,10742,13920,14213,11751,11663,12146,14280,14809,
"Natural gas consumed by (delivered to) the commercial sector, South Dakota (Million cubic feet)",11361,10592,11204,10568,11671,11488,15344,14786,13547,9951,8507,8188,9384,8651,9128,9987,9166,8199,8396,8826,8555,9473,9122,10696,10274,10685,11598,10422,9264,9564,10119,9711,10258,10375,9958,9819,9525,10337,11362,11563,11025,11101,9330,12151,12310,10434,10439,10813,12573,13405,
"Natural gas consumed by the industrial sector, South Dakota (Million cubic feet)",6800,5480,6155,5391,5418,5813,8078,6961,6946,3416,4678,3989,3975,3855,4314,3604,3421,3398,4791,5074,5951,5051,4939,5428,5944,7338,7606,7839,6455,5906,5326,4749,11079,11734,11529,11206,10934,21274,33011,36869,41317,41262,41298,44955,45004,44914,44595,45667,46997,46037,
"Natural gas consumed by the electric power sector, South Dakota (Million cubic feet)",4364,3319,3526,4060,3633,3232,1244,182,24,129,259,55,30,45,52,26,41,77,223,132,235,177,48,186,159,931,725,1731,2865,2527,3607,4496,1265,2264,1676,3567,3345,4235,2632,918,1600,1589,2465,4071,3865,6128,7410,5713,9099,9099,
"Residential carbon dioxide emissions, natural gas, South Dakota (million metric tons CO2)",,,,,,,,,,,0.559111,0.518788,0.614025,0.571155,0.589725,0.608613,0.562931,0.49921,0.578371,0.612009,0.549985,0.60596,0.58113,0.66809,0.646071,0.678329,0.757702,0.713082,0.623363,0.627395,0.67122,0.651324,0.684007,0.70125,0.653393,0.652385,0.612592,0.6596,0.721836,0.722844,0.683264,0.691169,0.580069,0.761469,0.785079,0.657001,0.653234,0.67955,0.808265,,
"Commercial carbon dioxide emissions, natural gas, South Dakota (million metric tons CO2)",,,,,,,,,,,0.450504,0.43533,0.497406,0.464034,0.489607,0.535183,0.488758,0.440689,0.454377,0.476237,0.461062,0.511678,0.491252,0.574869,0.550569,0.574816,0.623946,0.562878,0.495868,0.509981,0.538737,0.51274,0.544043,0.552214,0.529824,0.524518,0.506797,0.549773,0.604581,0.614768,0.587868,0.591953,0.503826,0.664694,0.679974,0.583358,0.584684,0.605005,0.711649,,
"Industrial carbon dioxide emissions, natural gas, South Dakota (million metric tons CO2)",,,,,,,,,,,0.247722,0.212067,0.210688,0.206762,0.23138,0.193126,0.182409,0.182621,0.259288,0.273772,0.320781,0.272817,0.265973,0.291706,0.318552,0.394742,0.409226,0.423392,0.345558,0.314944,0.283535,0.250746,0.587603,0.624583,0.613388,0.598638,0.581713,1.131433,1.756494,1.960285,2.203019,2.200366,2.230025,2.459177,2.485811,2.511225,2.497696,2.55505,2.659996,,
"Natural Gas Citygate Price in South Dakota, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.32,4.06,3.61,3.17,3.18,3.04,3.12,3.11,3.1,3.35,3.35,2.88,3.19,3.65,3.24,3.52,4.81,6.21,4.21,6.07,6.59,8.48,8.01,7.35,8.06,5.21,5.54,5.21,4.67,4.83,6.14,4.16,3.65,4.39,3.87,3.51,3.33
"South Dakota Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.04,1.1,1.13,1.19,1.29,1.4,1.5,1.83,2.1,2.61,3.13,3.91,4.71,5.59,6.16,5.75,5.26,4.87,4.91,4.85,5.14,4.94,5.15,5.3,5.27,5.05,5.25,5.75,5.59,5.83,7.34,8.57,6.93,8.49,9.52,11.68,11.11,10.49,11.32,9.14,8.77,8.59,8.39,8.23,9.27,8.3,7.6,8.18,7.66,7.29,7.11
"South Dakota Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.64,0.67,0.69,0.77,1.13,0.99,1.13,1.44,1.72,2.23,2.72,3.41,4.09,4.88,5.35,4.6,4.35,4.22,4.1,3.99,4.2,4.04,4.19,4.37,4.35,3.99,4.2,4.71,4.43,4.52,6.05,7.16,5.26,7.12,8.09,10.34,9.46,8.81,9.76,7.42,7.13,6.98,6.45,6.59,7.65,6.22,5.64,6.26,5.91,5.5,5.28
