Operator ID,Operator Name,Operator Type,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Statewide Total,Total,SD,521,447,337,301,284,289,268,278,306,350,404
,Statewide Total,Cooperative,SD,0,0,0,0,0,0,0,0,0,0,0
,Statewide Total,Privately Owned,SD,0,0,0,0,0,0,0,0,0,0,0
,Statewide Total,Investor Owned,SD,516,437,330,298,269,277,266,269,300,333,389
,Statewide Total,Municipal Owned,SD,5,10,7,3,15,12,2,9,6,17,15
31632,NORTHWESTERN CORPORATION,Investor Owned,SD,255,164,55,45,47,51,48,64,59,104,118
31094,"GARRETSON GAS UTILITY, CITY OF",Municipal Owned,SD,0,0,1,0,0,1,0,0,0,1,0
31090,"CROOKS MUNICIPAL GAS, CITY OF",Municipal Owned,SD,4,2,0,1,0,0,0,1,0,6,7
30964,"HUMBOLDT MUNICIPAL GAS, CITY OF",Municipal Owned,SD,0,0,0,2,1,3,0,0,0,0,0
30750,MIDAMERICAN ENERGY COMPANY,Investor Owned,SD,261,273,275,253,222,226,218,205,241,229,271
22231,WATERTOWN MUNICIPAL GAS DEPT,Municipal Owned,SD,1,8,6,0,14,8,2,8,6,10,8
