,State,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,TN,All Sectors,Ammonia,CAP,764.3986693368029,TON
1,TN,All Sectors,Carbon Monoxide,CAP,55436.37728600429,TON
2,TN,All Sectors,Nitrogen Oxides,CAP,3842.4614814759166,TON
3,TN,All Sectors,PM10 Primary (Filt + Cond),CAP,7038.26307161164,TON
4,TN,All Sectors,PM2.5 Primary (Filt + Cond),CAP,6946.64868612191,TON
5,TN,All Sectors,Sulfur Dioxide,CAP,249.18129773324793,TON
6,TN,All Sectors,Volatile Organic Compounds,CAP,24717.9178888588,TON
7,TN,All Sectors,Carbon Dioxide,GHG,716483.600323119,TON
8,TN,All Sectors,Methane,GHG,335.8699224269091,TON
9,TN,All Sectors,Nitrous Oxide,GHG,119.56358124065999,TON
10,TN,Agriculture - Crops & Livestock Dust,PM10 Primary (Filt + Cond),CAP,4567.147235276901,TON
11,TN,Agriculture - Crops & Livestock Dust,PM2.5 Primary (Filt + Cond),CAP,431.9325162618,TON
12,TN,Agriculture - Fertilizer Application,Ammonia,CAP,93.6,TON
13,TN,Agriculture - Livestock Waste,Ammonia,CAP,162.893934531,TON
14,TN,Agriculture - Livestock Waste,Volatile Organic Compounds,CAP,24.286493599,TON
15,TN,Biogenics - Vegetation and Soil,Carbon Monoxide,CAP,913.2454,TON
16,TN,Biogenics - Vegetation and Soil,Nitrogen Oxides,CAP,322.4558,TON
17,TN,Biogenics - Vegetation and Soil,Volatile Organic Compounds,CAP,17664.581,TON
18,TN,Bulk Gasoline Terminals,PM10 Primary (Filt + Cond),CAP,0.121,TON
19,TN,Commercial Cooking,Carbon Monoxide,CAP,95.640815,TON
20,TN,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,53.86052276,TON
21,TN,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,28.7757283,TON
22,TN,Commercial Cooking,Volatile Organic Compounds,CAP,3.11968206,TON
23,TN,Dust - Construction Dust,PM10 Primary (Filt + Cond),CAP,108.77978569999999,TON
24,TN,Dust - Construction Dust,PM2.5 Primary (Filt + Cond),CAP,2.2633723,TON
25,TN,Dust - Paved Road Dust,PM10 Primary (Filt + Cond),CAP,443.38062,TON
26,TN,Dust - Paved Road Dust,PM2.5 Primary (Filt + Cond),CAP,690.809318,TON
27,TN,Dust - Unpaved Road Dust,PM10 Primary (Filt + Cond),CAP,82.96046,TON
