,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,TN,Anderson,2.47,2.43,2.45,2.46,2.47,2.43,2.44,2.47,2.47,2.48
1,Avg household size of renter-occupied unit,TN,Anderson,2.16,2.22,2.27,2.35,2.38,2.41,2.4,2.37,2.39,2.37
36,Owner-Occupied,TN,Anderson,54779,53876,52414,51539,51965,50874,50145,50787,51289,51494
37,Renter-Occupied,TN,Anderson,18868,19797,21581,22645,22263,23392,24243,23575,23290,23255
0,Avg household size of owner-occupied unit,TN,Bedford,2.62,2.68,2.72,2.68,2.7,2.71,2.66,2.65,2.73,2.75
1,Avg household size of renter-occupied unit,TN,Bedford,2.84,2.92,2.83,2.85,2.76,2.73,2.74,2.85,2.91,2.92
36,Owner-Occupied,TN,Bedford,28766,30537,30407,30770,31098,30895,30458,30800,31413,32109
37,Renter-Occupied,TN,Bedford,14280,13624,14099,14009,14010,14520,15309,15493,15604,15647
0,Avg household size of owner-occupied unit,TN,Benton,2.37,2.34,2.32,2.39,2.37,2.4,2.39,2.44,2.41,2.36
1,Avg household size of renter-occupied unit,TN,Benton,2.18,2.2,2.24,2.21,2.32,2.26,2.23,2.23,2.16,2.36
36,Owner-Occupied,TN,Benton,13766,13198,13018,12951,12556,12431,12469,12343,12398,12304
37,Renter-Occupied,TN,Benton,2561,3021,3184,3244,3598,3643,3515,3627,3532,3653
0,Avg household size of owner-occupied unit,TN,Bledsoe,2.64,2.69,2.62,2.63,2.7,2.81,2.74,2.75,2.78,2.82
1,Avg household size of renter-occupied unit,TN,Bledsoe,2.14,2.25,2.29,2.23,2.61,2.56,2.9,3.11,2.75,2.69
36,Owner-Occupied,TN,Bledsoe,8988,9531,9415,9552,9394,9771,9533,9715,9995,10193
37,Renter-Occupied,TN,Bledsoe,2204,2149,2233,2056,2607,2689,3351,3520,3442,3449
0,Avg household size of owner-occupied unit,TN,Blount,2.49,2.5,2.49,2.51,2.52,2.52,2.52,2.53,2.54,2.57
1,Avg household size of renter-occupied unit,TN,Blount,2.4,2.42,2.47,2.48,2.5,2.49,2.49,2.44,2.45,2.42
36,Owner-Occupied,TN,Blount,91405,90690,89978,89446,90029,91171,93136,94513,95857,97866
37,Renter-Occupied,TN,Blount,27658,29553,31062,32253,32409,32003,31036,30637,30588,30028
0,Avg household size of owner-occupied unit,TN,Bradley,2.6,2.63,2.65,2.66,2.68,2.67,2.64,2.62,2.62,2.63
1,Avg household size of renter-occupied unit,TN,Bradley,2.39,2.42,2.43,2.44,2.43,2.41,2.39,2.38,2.41,2.4
36,Owner-Occupied,TN,Bradley,65825,65970,66228,66927,67783,66925,67453,68516,68538,69341
37,Renter-Occupied,TN,Bradley,28934,29516,30201,30294,30337,32243,32467,32136,32932,33224
0,Avg household size of owner-occupied unit,TN,Campbell,2.58,2.53,2.53,2.55,2.57,2.53,2.53,2.5,2.45,2.45
1,Avg household size of renter-occupied unit,TN,Campbell,2.43,2.42,2.44,2.42,2.36,2.35,2.37,2.42,2.34,2.36
36,Owner-Occupied,TN,Campbell,29287,29337,28329,28158,28901,28330,27852,27504,27866,26963
37,Renter-Occupied,TN,Campbell,10773,10786,11795,11889,10938,11313,11636,11772,11245,12178
0,Avg household size of owner-occupied unit,TN,Cannon,2.46,2.52,2.53,2.54,2.51,2.56,2.57,2.48,2.51,2.56
1,Avg household size of renter-occupied unit,TN,Cannon,2.73,2.54,2.65,2.5,2.54,2.4,2.45,2.56,2.47,2.54
36,Owner-Occupied,TN,Cannon,9992,10304,10480,10541,10233,10413,10046,9969,10159,10487
37,Renter-Occupied,TN,Cannon,3452,3240,3131,3064,3369,3193,3626,3686,3637,3511
0,Avg household size of owner-occupied unit,TN,Carroll,2.52,2.57,2.63,2.59,2.56,2.5,2.46,2.39,2.39,2.38
1,Avg household size of renter-occupied unit,TN,Carroll,2.44,2.38,2.23,2.22,2.25,2.32,2.32,2.43,2.62,2.67
36,Owner-Occupied,TN,Carroll,21621,21931,22079,21638,21335,20714,20263,19637,19240,19069
37,Renter-Occupied,TN,Carroll,6142,5742,5488,5932,6213,6680,7212,7568,7862,7888
0,Avg household size of owner-occupied unit,TN,Carter,2.39,2.36,2.38,2.36,2.33,2.33,2.32,2.31,2.32,2.31
1,Avg household size of renter-occupied unit,TN,Carter,2.23,2.18,2.2,2.21,2.25,2.27,2.3,2.28,2.31,2.28
36,Owner-Occupied,TN,Carter,41896,41660,41767,41088,39737,39393,39198,38518,38299,38932
37,Renter-Occupied,TN,Carter,14220,14264,14137,14724,15911,15893,15852,16312,16429,15840
0,Avg household size of owner-occupied unit,TN,Cheatham,2.69,2.7,2.66,2.68,2.64,2.68,2.68,2.65,2.65,2.64
1,Avg household size of renter-occupied unit,TN,Cheatham,2.55,2.68,2.72,2.78,2.86,2.77,2.79,2.81,2.64,2.64
36,Owner-Occupied,TN,Cheatham,30944,31364,31401,31276,30964,30818,30776,30764,30573,30639
37,Renter-Occupied,TN,Cheatham,6923,7300,7383,7599,8016,8285,8480,8620,9015,9175
0,Avg household size of owner-occupied unit,TN,Chester,2.67,2.6,2.62,2.63,2.6,2.53,2.68,2.63,2.62,2.64
