,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
50,Year Built: 1940-1949,TN,Anderson,5856,5810,5993,6135,6227,4328,4262,3866,3542,3570
51,Year Built: 1950-1959,TN,Anderson,5059,5154,5420,5158,4772,3773,3911,3818,4125,3947
52,Year Built: 1960-1969,TN,Anderson,3774,3653,3724,3632,3763,5259,5469,5354,5545,5801
53,Year Built: 1970-1979,TN,Anderson,5092,4836,4817,4844,4872,4587,4723,4658,4549,4791
54,Year Built: 1980-1989,TN,Anderson,4812,4721,4647,4745,4516,4499,4264,4694,4705,4755
55,Year Built: 1990-1999,TN,Anderson,4656,4912,4671,4459,4519,3644,3379,3560,3663,3428
56,Year Built: 2000-2009,TN,Anderson,2067,2067,3524,3585,3828,560,734,708,622,679
57,Year Built: 2010-2013,TN,Anderson,1167,1592,239,418,498,16,67,109,316,484
58,Year Built: before 1940,TN,Anderson,2026,1881,1678,1679,1742,6108,6098,6237,5968,5591
50,Year Built: 1940-1949,TN,Bedford,517,582,595,532,624,1920,1835,1781,1618,1423
51,Year Built: 1950-1959,TN,Bedford,1602,1708,1464,1705,2147,2360,2309,2119,2012,2050
52,Year Built: 1960-1969,TN,Bedford,2352,2397,2503,2446,2298,2493,2545,2297,2194,2094
53,Year Built: 1970-1979,TN,Bedford,2007,2062,2332,2315,2471,2556,2880,2849,3046,3098
54,Year Built: 1980-1989,TN,Bedford,2547,2581,2796,2615,2609,3401,3221,3290,3371,3740
55,Year Built: 1990-1999,TN,Bedford,3801,3845,3511,3430,3281,3478,3468,3736,3770,3772
56,Year Built: 2000-2009,TN,Bedford,2543,2189,3516,3771,3441,473,530,643,616,488
57,Year Built: 2010-2013,TN,Bedford,877,1232,75,117,300,31,72,185,236,406
58,Year Built: before 1940,TN,Bedford,1700,1594,1519,1451,1328,608,618,741,811,771
50,Year Built: 1940-1949,TN,Benton,282,317,273,285,289,830,912,856,793,786
51,Year Built: 1950-1959,TN,Benton,910,932,767,789,800,1176,1155,1119,1124,1058
52,Year Built: 1960-1969,TN,Benton,1062,1044,1243,1280,1294,1576,1539,1521,1416,1352
53,Year Built: 1970-1979,TN,Benton,1769,1693,1638,1605,1662,1502,1341,1405,1488,1293
54,Year Built: 1980-1989,TN,Benton,1376,1628,1599,1398,1527,1991,2046,2086,2085,2254
55,Year Built: 1990-1999,TN,Benton,2134,1977,1987,2000,1795,1062,1167,1195,1202,1311
56,Year Built: 2000-2009,TN,Benton,821,743,1081,1114,1088,114,133,175,164,217
57,Year Built: 2010-2013,TN,Benton,256,270,19,67,86,9,7,14,84,157
58,Year Built: before 1940,TN,Benton,377,383,373,412,432,317,345,313,319,284
