,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,TN,2.58,2.58,2.59,2.59,2.59,2.58,2.59,2.59,2.61,2.59
1,Avg household size of renter-occupied unit,TN,2.46,2.43,2.44,2.47,2.48,2.49,2.46,2.43,2.41,2.36
2,House Heating Fuel: Electric,TN,1427914,1455110,1485761,1503502,1508176,1533971,1570459,1608010,1627963,1660360
3,House Heating Fuel: Fuel Oil,TN,15335,11216,9931,10849,10761,9813,9798,9740,10401,8693
4,House Heating Fuel: Gas,TN,826781,824727,813213,803897,822736,825190,818768,819872,825532,830737
5,House Heating Fuel: Propane,TN,112833,111139,110486,105832,99108,99323,99337,97227,88075,98977
6,House Heating Fuel: Wood,TN,49790,55810,51767,53113,54661,49845,47265,41106,38979,42520
25,Median Number of Rooms,TN,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
26,Number of Rooms: 1,TN,28498,31461,28344,34150,31277,40020,44940,41165,47267,43060
27,Number of Rooms: 2,TN,36592,41172,40590,43667,42671,38171,46035,52148,54309,54394
28,Number of Rooms: 3,TN,188185,200148,184929,195843,194991,191814,186340,205753,215191,220357
29,Number of Rooms: 4,TN,461494,468038,468557,464910,474799,474637,477025,478783,472871,470495
30,Number of Rooms: 5,TN,636829,632146,641119,629216,636307,637859,630775,635051,639363,639565
31,Number of Rooms: 6,TN,560230,547043,549458,537491,548586,554863,572458,553624,562807,576656
32,Number of Rooms: 7,TN,359116,358391,368500,375006,372958,368385,373741,381013,379547,379280
33,Number of Rooms: 8,TN,244426,245423,241143,240404,245420,248979,249856,265583,263202,269747
34,Number of Rooms: 9+,TN,299717,305303,312168,320311,322410,337679,338528,345679,357855,374883
35,Owner-Occupied,TN,4291927,4287343,4287203,4275403,4290665,4297469,4307160,4382736,4491983,4575587
36,Renter-Occupied,TN,1911498,1962538,2015680,2066651,2104090,2149104,2191055,2178524,2121435,2095510
37,Total Housing Units,TN,2815087,2829125,2834808,2840998,2869419,2892407,2919698,2958799,2992412,3028437
38,Total Population,TN,6356897,6403353,6456243,6495978,6549352,6600299,6651194,6715984,6770010,6829174
39,Units in Structure: 1 ATTACHED,TN,90472,90541,84262,89474,83436,81874,89256,84502,99893,105410
40,Units in Structure: 1 DETACHED,TN,1923801,1931708,1946359,1956074,1967481,1991021,1991646,2025192,2038944,2070329
41,Units in Structure: 10-19,TN,101337,104578,106003,106202,100585,112785,112949,120188,110442,119293
42,Units in Structure: 2,TN,85236,83188,86499,85989,92699,85027,91690,81170,78505,77928
43,Units in Structure: 20-49,TN,63064,60790,58424,54005,62847,56148,62141,63218,65275,70426
44,Units in Structure: 3-4,TN,84521,86591,90680,97319,91133,95975,93383,95049,100159,92093
45,Units in Structure: 5-9,TN,127089,126101,131860,129795,139873,135259,143063,141497,136971,130558
46,Units in Structure: 50+,TN,58812,58930,54972,55725,59868,60053,65277,72611,83998,91831
47,"Units in Structure: Boat,RV,Van,Etc.",TN,2085,1510,2304,2096,2639,2514,1894,2664,3179,3604
48,Units in Structure: Mobile Home,TN,278670,285188,273445,264319,268858,271751,268399,272708,275046,266965
49,Year Built: 1940-1949,TN,130164,136004,132276,135190,141549,141844,138201,141148,126933,130713
50,Year Built: 1950-1959,TN,256145,253535,259993,266393,277381,259093,257982,262147,262034,256101
51,Year Built: 1960-1969,TN,318149,316557,319704,310785,311825,316518,302294,300309,307343,305096
52,Year Built: 1970-1979,TN,483958,471386,470261,459538,463646,462886,452442,455881,447871,455941
53,Year Built: 1980-1989,TN,426073,414807,432551,410507,408771,414418,420961,408999,426206,419675
54,Year Built: 1990-1999,TN,520350,525991,512311,519373,517402,523359,530899,538282,522758,530337
55,Year Built: 2000-2009,TN,276481,289447,486332,503287,484020,488819,489691,477566,471556,475721
56,Year Built: 2010-2013,TN,206633,237399,35373,57366,83564,91900,98032,102596,101791,96275
57,Year Built: 2014 or later,TN,,,,,,16954.0,52366.0,100539.0,144997.0,188051.0
58,Year Built: before 1940,TN,197134,183999,186007,178559,181261,176616,176830,171332,180923,170527
