,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,TN,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
26,Number of Rooms: 1,TN,28498,31461,28344,34150,31277,40020,44940,41165,47267,43060
27,Number of Rooms: 2,TN,36592,41172,40590,43667,42671,38171,46035,52148,54309,54394
28,Number of Rooms: 3,TN,188185,200148,184929,195843,194991,191814,186340,205753,215191,220357
29,Number of Rooms: 4,TN,461494,468038,468557,464910,474799,474637,477025,478783,472871,470495
30,Number of Rooms: 5,TN,636829,632146,641119,629216,636307,637859,630775,635051,639363,639565
31,Number of Rooms: 6,TN,560230,547043,549458,537491,548586,554863,572458,553624,562807,576656
32,Number of Rooms: 7,TN,359116,358391,368500,375006,372958,368385,373741,381013,379547,379280
33,Number of Rooms: 8,TN,244426,245423,241143,240404,245420,248979,249856,265583,263202,269747
34,Number of Rooms: 9+,TN,299717,305303,312168,320311,322410,337679,338528,345679,357855,374883
