,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,TN,130164,136004,132276,135190,141549,141844,138201,141148,126933,130713
50,Year Built: 1950-1959,TN,256145,253535,259993,266393,277381,259093,257982,262147,262034,256101
51,Year Built: 1960-1969,TN,318149,316557,319704,310785,311825,316518,302294,300309,307343,305096
52,Year Built: 1970-1979,TN,483958,471386,470261,459538,463646,462886,452442,455881,447871,455941
53,Year Built: 1980-1989,TN,426073,414807,432551,410507,408771,414418,420961,408999,426206,419675
54,Year Built: 1990-1999,TN,520350,525991,512311,519373,517402,523359,530899,538282,522758,530337
55,Year Built: 2000-2009,TN,276481,289447,486332,503287,484020,488819,489691,477566,471556,475721
56,Year Built: 2010-2013,TN,206633,237399,35373,57366,83564,91900,98032,102596,101791,96275
57,Year Built: 2014 or later,TN,,,,,,16954.0,52366.0,100539.0,144997.0,188051.0
58,Year Built: before 1940,TN,197134,183999,186007,178559,181261,176616,176830,171332,180923,170527
