,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Natural Gas Citygate Price in Tennessee, Annual (Dollars per Thousand Cubic Feet)",4.72,6.11,4.13,5.96,6.68,9.08,9.0,8.87,9.43,6.57,5.78,5.23,4.35,4.73,5.37,4.06,3.42,4.09,4.1,3.54
"Tennessee Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",7.49,10.16,8.15,9.66,10.6,13.5,14.74,13.42,14.2,12.15,10.46,10.21,9.95,9.44,10.13,9.62,9.21,10.31,9.46,9.45
"Tennessee Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",6.83,9.4,7.37,8.86,9.51,12.47,13.06,11.99,13.01,10.67,9.39,9.04,8.36,8.41,9.3,8.46,7.8,8.74,8.41,8.1
"Electricity price in the residential sector, Tennessee (Dollars per million Btu)",18.54,18.53,18.78,19.18,20.21,20.47,22.72,22.98,26.12,27.33,27.06,29.25,29.6,29.25,30.26,30.19,30.52,31.43,31.38,31.87
"Electricity price in the commercial sector, Tennessee (Dollars per million Btu)",18.69,18.78,19.2,19.58,20.66,21.01,23.45,23.71,27.08,28.16,28.3,30.09,30.21,29.3,30.42,29.77,29.87,30.92,30.81,31.22
Natural Gas Citygate Price $/Tcf (Inflation Adjusted to 2019 USD),3.1790991695775133,4.23122990929111,2.9056991703598234,4.289564370455266,4.936008730584033,6.935276957438403,7.095641357621464,7.193896727204453,7.939845102541335,5.514083738504927,4.930430231602993,4.6013435789918375,3.9064634485024627,4.309994250018581,4.972206662937654,3.7638053142345287,3.210668758043129,3.9217464297309244,4.02701396032904,3.54
Natural Gas Residential Price $/Tcf (Inflation Adjusted to 2019 USD),5.044799317825334,7.0358913057934,5.734006837392872,6.952548962851991,7.832588704220173,10.311259793548286,11.621083734593375,10.88411432684146,11.9560764004334,10.197278146550207,8.922543291101611,8.98273765611982,8.935473864965402,8.601764422870062,9.379600278502503,8.918179094319253,8.646274637888075,9.885869361986757,9.291598064564079,9.45
Natural Gas Commercial Price $/Tcf (Inflation Adjusted to 2019 USD),4.600264264452207,6.509584475832477,5.185230722893922,6.376768510441888,7.027162129918287,9.52454886115164,10.296564014504035,9.72433165266983,10.954123518988629,8.955140561620635,8.009816587327354,7.953373987396979,7.507594121719675,7.663224448764536,8.611084164864094,7.842806147395104,7.3225778692211705,8.380455695806425,8.26028961130908,8.1
Electricity Residential Price $/MMBtu (Inflation Adjusted to 2019 USD),12.487393772026927,12.832191525231467,13.212840295243945,13.804336346532214,14.933643180404689,15.634925035106178,17.91255240501774,18.637626470254606,21.992444759107073,22.93758121359812,23.082602433767644,25.73409171807098,26.581912201304117,26.652712856880225,28.018430841805106,27.987507989344937,28.65193289341412,30.137039189839353,30.821389774420798,31.87
Electricity Commercial Price $/MMBtu (Inflation Adjusted to 2019 USD),12.588424465975367,13.00531877192914,13.508335126127992,14.092226572737264,15.266158738602716,16.047375426848113,18.488087759580367,19.229683359866698,22.80074288195327,23.634185399741057,24.14034179141258,26.473122044333532,27.12971512166883,26.69827304979797,28.166578526361906,27.59814881890688,28.041718070979023,29.648019463882687,30.26153661408237,31.22
Inflation Adjustment Factor (2019),0.6735379596562528,0.692508986790689,0.7035591211524996,0.7197255655126285,0.7389234626622805,0.7637970217443175,0.7884045952912737,0.8110368350850568,0.8419772112981267,0.8392821519794409,0.853015611003978,0.8797980074554181,0.8980375743683823,0.9112038583548795,0.9259230284800101,0.9270456439001303,0.9387920345155347,0.9588622077581722,0.9821985269095219,1.0
