,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",TN,179881,171242,173872,156566,162590,151823,136845,143824,135643,131682
8,"Household Income: $100,000 to $124,999",TN,141553,151077,146125,156676,162091,180815,177687,198044,212572,229058
9,"Household Income: $125,000 to $149,999",TN,67597,72015,81008,83162,88849,91628,102092,114047,120758,130690
10,"Household Income: $15,000 to $19,999",TN,166184,169580,162032,159935,158108,148120,145997,139647,143510,124022
11,"Household Income: $150,000 to $199,999",TN,60928,67972,71100,77586,82834,89259,102869,107322,115243,134618
12,"Household Income: $20,000 to $24,999",TN,159732,167469,160742,160474,167516,156901,157846,140979,134076,134192
13,"Household Income: $200,000 or more",TN,61936,63274,69931,76525,81497,94012,97963,113999,119676,142441
14,"Household Income: $25,000 to $29,999",TN,153161,155930,152504,153400,145849,140571,141700,133815,132513,130229
15,"Household Income: $30,000 to $34,999",TN,150358,149513,158098,141192,142183,147731,143315,142134,139633,135432
16,"Household Income: $35,000 to $39,999",TN,135307,131304,129034,133046,137766,132970,131448,133304,132401,125867
17,"Household Income: $40,000 to $44,999",TN,132224,126170,126572,136068,129442,125935,134289,123902,123990,130790
18,"Household Income: $45,000 to $49,999",TN,110839,112234,114153,109624,107015,116859,114431,113266,105926,115979
19,"Household Income: $50,000 to $59,999",TN,199007,201882,208516,203832,202000,212024,213885,220455,212194,210395
20,"Household Income: $60,000 to $74,999",TN,244171,227878,238847,253578,245651,256440,256308,270899,265872,280302
21,"Household Income: $75,000 to $99,999",TN,247578,262392,263725,268906,271232,282033,298237,305317,322410,334559
22,"Household Income: Less than $10,000",TN,230207,237496,223831,219679,225042,203139,201420,187701,186723,164481
23,Household Income: Total:,TN,2440663,2467428,2480090,2490249,2509665,2530260,2556332,2588655,2603140,2654737
24,Median Household Income,TN,41461.0,41693.0,42764.0,44297.0,44361.0,47275.0,48547.0,51340.0,52375.0,56071.0
