Operator ID,Operator Name,Operator Type,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Statewide Total,Total,TN,4765,4433,5095,6112,6120,5328,5815,3863,6186,5132,4616
,Statewide Total,Cooperative,TN,44,39,52,44,45,31,41,49,65,55,82
,Statewide Total,Privately Owned,TN,0,0,0,0,0,0,0,0,0,0,0
,Statewide Total,Investor Owned,TN,370,442,503,711,729,720,834,798,743,694,708
,Statewide Total,Municipal Owned,TN,4351,3952,4540,5357,5346,4577,4940,3016,5378,4383,3826
39121,MIDDLETON GAS DEPT.,Municipal Owned,TN,0,0,0,0,0,0,0,0,0,1,0
32307,VOLUNTEER ENERGY COOPERATIVE,Cooperative,TN,0,0,0,0,0,0,0,0,0,2,0
32165,POWELL VALLEY UTILITY DISTRICT INC.,Municipal Owned,TN,0,0,0,0,0,0,0,0,0,0,0
31694,BEDFORD COUNTY UTILITY DISTRICT,Privately Owned,TN,0,0,0,0,0,0,0,0,0,0,0
31498,CLAIBORNE UTILITIES DISTRICT,Municipal Owned,TN,0,0,0,0,0,0,0,0,0,0,0
31315,CLAY GAS UTILITY DISTRIST,Municipal Owned,TN,0,0,0,0,0,0,0,5,0,7,5
30975,"FOREXCO, INC.",Privately Owned,TN,0,0,0,0,0,0,0,0,0,0,0
30863,"TUMLINSON ENGINEERING, INC",Privately Owned,TN,0,0,0,0,0,0,0,0,0,0,0
30669,POPLAR GROVE UTILITY DISTRICT,Cooperative,TN,2,5,2,1,1,0,1,2,0,0,3
30643,CITY OF RED BOILING SPRINGS GAS UTILITY,Municipal Owned,TN,0,0,0,0,0,0,6,0,0,0,0
30618,"BELLS, GAS & WATER DEPT., CITY OF",Municipal Owned,TN,0,0,0,0,0,0,0,0,0,0,0
30030,"ST JOSEPH, CITY OF",Municipal Owned,TN,0,0,0,0,0,0,0,0,0,0,0
25126,MT PLEASANT GAS SYSTEM,Municipal Owned,TN,24,20,18,10,2,4,8,3,7,8,12
22434,WEST TENNESSEE PUBLIC UTIL DIST,Municipal Owned,TN,0,0,0,0,0,0,0,0,0,0,0
22315,"WAYNESBORO GAS DEPT, CITY OF",Municipal Owned,TN,0,0,0,0,0,0,0,0,0,0,0
20030,UNICOI COUNTY MUNICIPAL UTILITY AUTH,Municipal Owned,TN,0,0,0,0,0,0,0,0,0,0,0
19710,"TROY GAS SYSTEM, TOWN OF",Municipal Owned,TN,0,0,0,0,0,0,0,0,0,0,0
19471,"TIPTON COUNTY, FIRST UTIL DIST OF",Municipal Owned,TN,0,0,0,0,0,0,0,10,10,5,7
18768,SWEETWATER BOARD OF PUBLIC UTILITES,Municipal Owned,TN,0,0,0,0,0,0,0,0,0,0,0
18591,SPRINGFIELD GAS SYSTEM,Municipal Owned,TN,23,15,12,18,8,25,16,33,16,43,44
18432,"SOUTH FULTON GAS DEPT, CITY OF",Municipal Owned,TN,8,1,4,0,0,0,0,0,0,0,0
18392,SOMERVILLE LIGHT GAS & WATER,Municipal Owned,TN,40,0,0,0,0,0,0,56,22,27,10
18368,"SMYRNA NATURAL GAS SYSTEM, TOWN OF",Municipal Owned,TN,0,0,0,0,0,0,0,0,0,0,0
18192,SEVIER COUNTY UTIL DIST,Municipal Owned,TN,74,57,53,55,67,60,77,53,80,83,65
18176,SELMER NATURAL GAS SYSTEM,Municipal Owned,TN,0,0,1,0,1,0,0,0,7,5,7
18124,SAVANNAH PUBLIC UTILITY DEPT,Municipal Owned,TN,41,28,28,15,4,1,38,27,46,29,0
17600,ROCKWOOD NATURAL GAS SYSTEM,Municipal Owned,TN,1,0,5,0,2,5,4,4,4,3,7
17470,"RIPLEY GAS DEPT, TOWN OF",Municipal Owned,TN,0,0,0,0,0,0,0,0,0,0,0
17400,"RIDGETOP NATURAL GAS DEPT, CITY OF",Municipal Owned,TN,0,0,0,2,3,2,1,2,2,2,3
15966,PULASKI NATURAL GAS DEPT,Municipal Owned,TN,6,47,2,1,0,6,2,1,0,0,0
15826,POWELL CLINCH UTIL DIST,Municipal Owned,TN,77,99,81,111,105,134,238,202,222,207,186
15784,PORTLAND NATURAL GAS SYSTEM,Municipal Owned,TN,0,0,0,0,0,0,0,0,0,9,0
15560,"PIKEVILLE GAS SYSTEM, TOWN OF",Municipal Owned,TN,8,9,11,11,2,3,28,1,6,16,4
15518,PIEDMONT NATURAL GAS CO INC,Investor Owned,TN,108,85,194,205,299,310,400,406,374,363,378
15140,PARSONS NATURAL GAS SYSTEM,Municipal Owned,TN,0,0,0,0,0,7,9,16,16,20,13
15126,PARIS - HENRY COUNTY PUBLIC UTIL DIST,Municipal Owned,TN,0,0,7,0,0,0,0,0,0,0,0
14040,"OBION GAS SYSTEM, TOWN OF",Municipal Owned,TN,0,0,0,0,0,1,0,0,0,0,0
14010,OAK RIDGE UTIL DIST,Municipal Owned,TN,0,0,0,0,0,0,0,0,0,0,0
13430,NEWBERN GAS DEPT,Municipal Owned,TN,0,0,0,0,0,0,0,0,3,5,0
12697,MUNFORD GAS DEPT,Municipal Owned,TN,0,0,0,0,5,1,13,6,1,2,0
12438,MIDDLE TENNESSEE NATURAL GAS UTIL DIST,Municipal Owned,TN,334,288,265,189,203,172,224,238,245,334,340
12342,MEMPHIS LIGHT GAS & WATER DIVISION,Municipal Owned,TN,2343,1996,2821,3659,3724,2871,2892,1146,3359,2353,1839
12234,MAURY CITY MUNICIPAL GAS SYSTEM,Municipal Owned,TN,0,0,0,0,0,1,0,0,0,2,0
12222,MASON MUNICIPLE GAS SYSTEM,Municipal Owned,TN,0,0,0,0,0,0,2,0,0,0,1
12204,"MARTIN, CITY OF",Municipal Owned,TN,0,0,0,0,0,0,0,9,15,7,3
12168,MARION NATURAL GAS SYSTEM,Municipal Owned,TN,0,0,0,0,0,0,0,0,0,0,0
12042,MADISONVILLE GAS SYSTEM,Municipal Owned,TN,0,0,0,0,0,0,1,2,9,8,0
11776,LOUDON UTILITIES GAS DEPT,Municipal Owned,TN,0,54,47,76,57,62,53,64,82,26,35
11752,"LORETTO GAS SYSTEM, CITY OF",Municipal Owned,TN,0,0,0,0,0,0,0,0,0,0,0
11624,LOBELVILLE GAS CO,Municipal Owned,TN,0,0,0,0,0,0,0,0,0,0,0
11600,LIVINGSTON GAS DEPARTMENT,Municipal Owned,TN,0,0,0,0,0,0,0,0,1,4,2
11520,"LINDEN NATURAL GAS SYSTEM, TOWN OF",Municipal Owned,TN,0,0,4,0,0,0,0,1,0,0,0
11448,LEXINGTON GAS SYSTEM,Municipal Owned,TN,73,68,51,63,53,44,62,38,59,30,56
11416,LEWISBURG GAS DEPARTMENT,Municipal Owned,TN,33,5,17,5,7,6,4,6,9,8,3
11376,LENOIR CITY UTILITIES BOARD,Municipal Owned,TN,0,0,0,0,0,0,48,2,3,11,2
11336,"LEBANON GAS DEPT, CITY OF",Municipal Owned,TN,0,0,0,0,0,0,0,14,17,14,20
11296,"LAWRENCEBURG GAS DEPT, CITY OF",Municipal Owned,TN,49,34,26,21,26,25,19,26,23,19,19
11120,LAKE COUNTY UTIL DIST,Municipal Owned,TN,0,0,0,0,0,0,4,1,0,0,0
11064,"LAFAYETTE GAS & UTILITIES DEPT, CITY OF",Municipal Owned,TN,0,0,0,0,0,0,0,0,0,0,0
10310,KNOXVILLE UTILITIES BOARD,Municipal Owned,TN,692,514,425,526,465,423,480,408,413,455,471
9200,JEFFERSON - COCKE CO UTIL DIST,Municipal Owned,TN,13,19,20,23,15,28,30,8,33,28,34
9100,JAMESTOWN GAS SYSTEM,Municipal Owned,TN,0,0,0,0,0,0,0,0,10,9,13
9040,JACKSON ENERGY AUTHORITY,Municipal Owned,TN,94,108,110,113,80,62,73,73,84,51,45
7655,HUMPHREYS COUNTY UTILITY DISTRICT,Municipal Owned,TN,43,35,27,12,21,29,49,60,51,64,56
7650,HUMBOLDT UTILITIES - GAS DEPT,Municipal Owned,TN,16,18,28,23,9,6,9,11,16,7,5
7365,HORTON HIGHWAY UTILITY DISTRICT,Municipal Owned,TN,0,0,0,0,0,0,0,0,1,2,4
7310,"HOHENWALD NATURAL GAS SYSTEM, CITY OF",Municipal Owned,TN,0,0,0,0,0,0,8,4,0,0,24
7225,HENNING GAS DEPT,Municipal Owned,TN,0,0,0,0,0,0,2,2,1,0,0
7215,"HENDERSON GAS DEPT, CITY OF",Municipal Owned,TN,0,0,0,0,48,0,3,8,0,0,0
7170,HAWKINS COUNTY UTILITY DIST,Municipal Owned,TN,2,3,4,3,1,0,0,32,41,59,35
7090,HARRIMAN UTILITIES BOARD,Municipal Owned,TN,0,0,0,0,0,0,0,0,0,0,0
7060,HARDEMAN - FAYETTE UTILITY DISTRICT,Cooperative,TN,10,0,10,0,0,0,0,0,19,7,19
7025,"HALLS GAS DEPT, TOWN OF",Municipal Owned,TN,0,0,0,0,0,0,0,0,12,5,9
6716,GREATER DICKSON GAS AUTHORITY,Municipal Owned,TN,41,37,18,28,38,41,31,22,44,39,48
6370,GIBSON COUNTY UTIL DIST,Municipal Owned,TN,0,0,24,4,5,5,1,9,26,15,41
6040,GALLATIN NATURAL GAS SYSTEM,Municipal Owned,TN,5,10,3,1,0,7,12,7,2,6,8
6035,"GALLAWAY GAS DEPT, CITY OF",Municipal Owned,TN,0,0,0,3,2,4,0,0,0,0,0
5640,FRIENDSHIP GAS DEPT,Municipal Owned,TN,0,0,0,1,0,2,0,0,0,4,0
