,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,TX,Hamilton,2.75,2.71,2.69,2.68,2.63,2.48,2.48,2.44,2.49,2.61
1,Avg household size of renter-occupied unit,TX,Hamilton,2.57,2.73,2.52,2.69,2.55,2.62,2.39,2.74,2.93,3.1
2,FIPS Code,TX,Hamilton,48193,48193,48193,48193,48193,48193,48193,48193,48193,48193
3,House Heating Fuel: Electric,TX,Hamilton,1096,976,1104,1169,1265,1315,1454,1456,1465,1426
4,House Heating Fuel: Fuel Oil,TX,Hamilton,0,0,13,11,8,13,12,0,0,0
5,House Heating Fuel: Gas,TX,Hamilton,1198,1240,1171,1089,1037,1062,977,991,977,942
6,House Heating Fuel: Propane,TX,Hamilton,583,619,557,539,533,566,587,567,575,535
7,House Heating Fuel: Wood,TX,Hamilton,173,165,213,194,214,205,201,143,91,83
26,Median Number of Rooms,TX,Hamilton,5.4,5.4,5.5,5.5,5.5,5.5,5.5,5.6,5.7,5.9
27,Number of Rooms: 1,TX,Hamilton,73,68,19,57,48,44,61,57,37,25
28,Number of Rooms: 2,TX,Hamilton,23,33,36,14,39,89,95,85,95,65
29,Number of Rooms: 3,TX,Hamilton,296,280,228,275,266,288,309,266,235,198
30,Number of Rooms: 4,TX,Hamilton,632,648,613,672,675,705,737,717,652,651
31,Number of Rooms: 5,TX,Hamilton,1422,1407,1418,1300,1310,1190,1109,1065,1091,988
32,Number of Rooms: 6,TX,Hamilton,1105,1129,1142,1217,1134,1039,1006,894,902,921
33,Number of Rooms: 7,TX,Hamilton,603,581,634,577,648,704,672,802,819,752
34,Number of Rooms: 8,TX,Hamilton,244,280,280,268,266,276,287,316,362,497
35,Number of Rooms: 9+,TX,Hamilton,162,144,188,175,182,227,288,356,381,445
36,Owner-Occupied,TX,Hamilton,6813,6668,6427,5958,5913,5714,5880,5821,6267,6393
37,Renter-Occupied,TX,Hamilton,1507,1551,1743,2166,2127,2263,2057,2106,1734,1678
38,Total Housing Units,TX,Hamilton,4560,4570,4558,4555,4568,4562,4564,4558,4574,4542
39,Total Population,TX,Hamilton,8473,8491,8448,8410,8330,8266,8232,8220,8269,8332
40,Units in Structure: 1 ATTACHED,TX,Hamilton,38,24,16,0,0,1,16,25,51,54
41,Units in Structure: 1 DETACHED,TX,Hamilton,3823,3859,3859,3718,3780,3863,3925,3967,4025,4082
42,Units in Structure: 10-19,TX,Hamilton,19,0,0,0,0,0,0,28,50,64
43,Units in Structure: 2,TX,Hamilton,101,92,121,180,153,137,142,98,49,42
44,Units in Structure: 20-49,TX,Hamilton,12,16,14,19,30,38,22,15,32,0
45,Units in Structure: 3-4,TX,Hamilton,41,66,55,57,63,54,51,52,39,39
46,Units in Structure: 5-9,TX,Hamilton,12,25,32,49,44,44,35,25,6,6
47,Units in Structure: 50+,TX,Hamilton,0,0,0,0,0,0,0,0,10,7
48,"Units in Structure: Boat,RV,Van,Etc.",TX,Hamilton,0,0,0,0,0,0,3,4,2,2
