,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
3,House Heating Fuel: Electric,TX,Hamilton,1096,976,1104,1169,1265,1315,1454,1456,1465,1426
4,House Heating Fuel: Fuel Oil,TX,Hamilton,0,0,13,11,8,13,12,0,0,0
5,House Heating Fuel: Gas,TX,Hamilton,1198,1240,1171,1089,1037,1062,977,991,977,942
6,House Heating Fuel: Propane,TX,Hamilton,583,619,557,539,533,566,587,567,575,535
7,House Heating Fuel: Wood,TX,Hamilton,173,165,213,194,214,205,201,143,91,83
3,House Heating Fuel: Electric,TX,Hansford,394,403,405,530,559,575,663,707,640,583
4,House Heating Fuel: Fuel Oil,TX,Hansford,0,0,0,0,0,0,0,0,0,0
5,House Heating Fuel: Gas,TX,Hansford,1464,1407,1417,1352,1347,1321,1232,1183,1190,1235
6,House Heating Fuel: Propane,TX,Hansford,61,61,66,64,57,54,62,34,25,17
7,House Heating Fuel: Wood,TX,Hansford,15,13,22,25,25,22,22,0,0,3
3,House Heating Fuel: Electric,TX,Hardeman,342,340,389,415,433,408,448,474,452,482
4,House Heating Fuel: Fuel Oil,TX,Hardeman,0,0,0,0,0,0,0,0,0,0
5,House Heating Fuel: Gas,TX,Hardeman,1143,1165,1243,1183,1165,1130,1031,929,945,972
6,House Heating Fuel: Propane,TX,Hardeman,135,137,67,115,102,83,100,118,109,115
7,House Heating Fuel: Wood,TX,Hardeman,37,38,34,24,6,7,6,5,5,0
3,House Heating Fuel: Electric,TX,Hardin,14596,15295,15581,15936,16700,16936,16577,16776,16475,16396
4,House Heating Fuel: Fuel Oil,TX,Hardin,0,40,35,39,46,42,0,0,0,0
5,House Heating Fuel: Gas,TX,Hardin,3400,3269,3312,3255,2832,2758,2796,2990,2845,3064
6,House Heating Fuel: Propane,TX,Hardin,1414,1318,1200,1096,943,828,774,735,822,906
7,House Heating Fuel: Wood,TX,Hardin,271,251,314,269,191,186,176,97,116,149
3,House Heating Fuel: Electric,TX,Harris,713301,729920,751323,772800,794352,822585,846994,863828,876965,898317
4,House Heating Fuel: Fuel Oil,TX,Harris,527,637,461,529,643,854,1093,1198,1081,1064
5,House Heating Fuel: Gas,TX,Harris,637354,641076,642068,640577,645311,653688,664403,672328,680710,680885
6,House Heating Fuel: Propane,TX,Harris,12618,11876,11549,12091,12816,13363,13991,14952,14727,14921
7,House Heating Fuel: Wood,TX,Harris,899,902,1143,1088,1054,1057,1047,895,880,726
3,House Heating Fuel: Electric,TX,Harrison,13948,14877,14570,14570,14938,15007,15295,15430,15440,15572
4,House Heating Fuel: Fuel Oil,TX,Harrison,137,91,42,15,0,0,0,0,0,0
5,House Heating Fuel: Gas,TX,Harrison,7522,7236,7331,7520,7319,7384,6964,6718,6701,6617
6,House Heating Fuel: Propane,TX,Harrison,1093,959,857,879,845,788,826,821,770,811
7,House Heating Fuel: Wood,TX,Harrison,238,214,292,344,325,279,252,273,218,240
3,House Heating Fuel: Electric,TX,Hartley,375,424,400,502,511,602,632,652,634,765
4,House Heating Fuel: Fuel Oil,TX,Hartley,0,0,0,5,13,12,8,11,8,2
5,House Heating Fuel: Gas,TX,Hartley,1274,1232,1256,1176,1223,1115,1126,1024,1017,889
6,House Heating Fuel: Propane,TX,Hartley,45,52,45,45,49,40,46,67,22,22
7,House Heating Fuel: Wood,TX,Hartley,10,7,1,2,2,0,0,0,0,0
3,House Heating Fuel: Electric,TX,Haskell,721,731,765,822,951,919,931,879,952,926
4,House Heating Fuel: Fuel Oil,TX,Haskell,2,3,7,11,4,5,5,0,0,0
5,House Heating Fuel: Gas,TX,Haskell,1387,1383,1366,1291,1081,1117,1078,1058,976,985
6,House Heating Fuel: Propane,TX,Haskell,403,395,318,285,246,220,160,166,161,191
7,House Heating Fuel: Wood,TX,Haskell,32,27,18,7,2,3,0,2,16,18
3,House Heating Fuel: Electric,TX,Hays,34966,36338,37326,39306,40234,41851,44146,46123,46884,49578
4,House Heating Fuel: Fuel Oil,TX,Hays,19,21,22,7,24,12,15,20,43,26
5,House Heating Fuel: Gas,TX,Hays,10195,10995,11920,12196,13430,14074,14595,16111,17884,18308
6,House Heating Fuel: Propane,TX,Hays,4680,4836,4767,4469,4582,4899,4896,5089,5365,4940
7,House Heating Fuel: Wood,TX,Hays,442,396,386,332,333,240,348,346,351,221
3,House Heating Fuel: Electric,TX,Hemphill,383,478,452,498,540,636,692,711,682,600
4,House Heating Fuel: Fuel Oil,TX,Hemphill,28,28,0,0,0,0,0,0,0,0
5,House Heating Fuel: Gas,TX,Hemphill,976,906,803,822,779,714,578,567,539,567
6,House Heating Fuel: Propane,TX,Hemphill,125,142,127,100,66,80,68,37,26,38
7,House Heating Fuel: Wood,TX,Hemphill,21,19,23,20,9,7,6,4,2,0
3,House Heating Fuel: Electric,TX,Henderson,22215,22436,22645,22984,23333,23276,23448,24402,24928,25183
4,House Heating Fuel: Fuel Oil,TX,Henderson,22,24,29,43,37,29,24,29,16,17
5,House Heating Fuel: Gas,TX,Henderson,3565,3526,3506,3301,3364,3377,3274,3008,2748,2731
6,House Heating Fuel: Propane,TX,Henderson,4022,3759,3260,2726,2370,2437,2370,2356,2417,2058
7,House Heating Fuel: Wood,TX,Henderson,611,641,652,491,507,444,470,479,569,502
3,House Heating Fuel: Electric,TX,Hidalgo,167066,172356,178974,184582,189523,194899,201124,207224,210123,213515
4,House Heating Fuel: Fuel Oil,TX,Hidalgo,423,451,406,203,199,289,225,227,221,190
5,House Heating Fuel: Gas,TX,Hidalgo,18191,17183,16491,16120,16030,15464,14737,14533,14447,14562
