,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
26,Median Number of Rooms,TX,Hamilton,5.4,5.4,5.5,5.5,5.5,5.5,5.5,5.6,5.7,5.9
27,Number of Rooms: 1,TX,Hamilton,73,68,19,57,48,44,61,57,37,25
28,Number of Rooms: 2,TX,Hamilton,23,33,36,14,39,89,95,85,95,65
29,Number of Rooms: 3,TX,Hamilton,296,280,228,275,266,288,309,266,235,198
30,Number of Rooms: 4,TX,Hamilton,632,648,613,672,675,705,737,717,652,651
31,Number of Rooms: 5,TX,Hamilton,1422,1407,1418,1300,1310,1190,1109,1065,1091,988
32,Number of Rooms: 6,TX,Hamilton,1105,1129,1142,1217,1134,1039,1006,894,902,921
33,Number of Rooms: 7,TX,Hamilton,603,581,634,577,648,704,672,802,819,752
34,Number of Rooms: 8,TX,Hamilton,244,280,280,268,266,276,287,316,362,497
35,Number of Rooms: 9+,TX,Hamilton,162,144,188,175,182,227,288,356,381,445
26,Median Number of Rooms,TX,Hansford,5.4,5.5,5.5,5.6,5.7,5.9,5.8,5.7,5.8,5.7
27,Number of Rooms: 1,TX,Hansford,37,41,35,39,40,37,43,34,50,40
28,Number of Rooms: 2,TX,Hansford,22,15,18,18,21,25,21,18,45,35
29,Number of Rooms: 3,TX,Hansford,171,177,111,64,84,70,55,58,78,131
30,Number of Rooms: 4,TX,Hansford,421,406,419,385,340,305,300,428,335,393
31,Number of Rooms: 5,TX,Hansford,597,539,568,595,574,533,574,507,477,460
32,Number of Rooms: 6,TX,Hansford,542,538,479,459,486,546,571,594,696,651
33,Number of Rooms: 7,TX,Hansford,241,298,325,413,447,480,373,389,411,359
34,Number of Rooms: 8,TX,Hansford,176,186,214,186,199,201,229,155,124,136
35,Number of Rooms: 9+,TX,Hansford,137,144,169,168,144,136,161,151,129,144
26,Median Number of Rooms,TX,Hardeman,5.0,5.1,5.2,5.1,5.1,5.1,5.0,5.0,5.0,5.0
