,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
40,Units in Structure: 1 ATTACHED,TX,Hamilton,38,24,16,0,0,1,16,25,51,54
41,Units in Structure: 1 DETACHED,TX,Hamilton,3823,3859,3859,3718,3780,3863,3925,3967,4025,4082
42,Units in Structure: 10-19,TX,Hamilton,19,0,0,0,0,0,0,28,50,64
43,Units in Structure: 2,TX,Hamilton,101,92,121,180,153,137,142,98,49,42
44,Units in Structure: 20-49,TX,Hamilton,12,16,14,19,30,38,22,15,32,0
45,Units in Structure: 3-4,TX,Hamilton,41,66,55,57,63,54,51,52,39,39
46,Units in Structure: 5-9,TX,Hamilton,12,25,32,49,44,44,35,25,6,6
47,Units in Structure: 50+,TX,Hamilton,0,0,0,0,0,0,0,0,10,7
48,"Units in Structure: Boat,RV,Van,Etc.",TX,Hamilton,0,0,0,0,0,0,3,4,2,2
49,Units in Structure: Mobile Home,TX,Hamilton,514,488,461,532,498,425,370,344,310,246
40,Units in Structure: 1 ATTACHED,TX,Hansford,24,41,46,42,47,37,27,34,30,18
41,Units in Structure: 1 DETACHED,TX,Hansford,1975,1954,1981,1950,1978,1972,1821,1882,1902,1960
42,Units in Structure: 10-19,TX,Hansford,25,27,20,13,0,15,11,10,4,6
43,Units in Structure: 2,TX,Hansford,32,22,16,44,53,54,131,119,86,59
44,Units in Structure: 20-49,TX,Hansford,0,5,4,18,21,22,20,19,11,0
45,Units in Structure: 3-4,TX,Hansford,29,31,27,10,21,21,20,23,29,56
46,Units in Structure: 5-9,TX,Hansford,36,34,34,48,43,43,52,39,51,55
47,Units in Structure: 50+,TX,Hansford,0,0,4,3,5,4,8,0,0,0
48,"Units in Structure: Boat,RV,Van,Etc.",TX,Hansford,0,0,2,2,2,3,3,0,0,4
49,Units in Structure: Mobile Home,TX,Hansford,223,230,204,197,165,162,234,208,232,191
40,Units in Structure: 1 ATTACHED,TX,Hardeman,21,21,42,51,38,29,31,23,19,18
41,Units in Structure: 1 DETACHED,TX,Hardeman,1872,1839,1806,1866,1788,1916,1858,1866,1846,1884
42,Units in Structure: 10-19,TX,Hardeman,42,35,26,0,0,0,0,0,0,0
43,Units in Structure: 2,TX,Hardeman,88,107,172,139,149,135,125,88,64,99
44,Units in Structure: 20-49,TX,Hardeman,0,0,0,0,0,0,16,21,19,13
45,Units in Structure: 3-4,TX,Hardeman,39,33,43,51,28,16,34,25,42,49
46,Units in Structure: 5-9,TX,Hardeman,34,23,33,35,4,6,7,7,40,28
47,Units in Structure: 50+,TX,Hardeman,11,6,11,11,0,0,0,1,2,3
