,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,TX,5.3,5.3,5.3,5.3,5.3,5.4,5.3,5.3,5.4,5.3
26,Number of Rooms: 1,TX,163068,179160,171718,187371,170599,227915,224355,230056,232717,248685
27,Number of Rooms: 2,TX,264696,287377,304937,296563,310396,309071,331049,366528,379817,423123
28,Number of Rooms: 3,TX,1060352,1082726,1089920,1101432,1118587,1091508,1140603,1139451,1135407,1194895
29,Number of Rooms: 4,TX,1703411,1690104,1691983,1709820,1748814,1756486,1787470,1797409,1822492,1823457
30,Number of Rooms: 5,TX,2196529,2210393,2211840,2210723,2256246,2241946,2263312,2287984,2289725,2301443
31,Number of Rooms: 6,TX,1872083,1858803,1892785,1851261,1877916,1922633,1940312,1981205,2008650,2018740
32,Number of Rooms: 7,TX,1137783,1171483,1160565,1185841,1195271,1209939,1234667,1220319,1262609,1266174
33,Number of Rooms: 8,TX,746321,756672,738437,765099,778374,821239,816515,841270,864100,880956
34,Number of Rooms: 9+,TX,851966,862524,892650,948093,970557,1007499,1015985,1069153,1105981,1126419
