,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,TX,388794,392763,385678,382878,377325,364531,386705,370366,360057,366041
50,Year Built: 1950-1959,TX,882610,864758,868173,856277,872425,868278,882231,854335,872316,861925
51,Year Built: 1960-1969,TX,1001774,1001481,982152,1005824,1025386,994881,978117,994721,964745,1009552
52,Year Built: 1970-1979,TX,1743117,1752361,1737312,1726695,1713003,1704562,1690297,1640577,1691568,1637595
53,Year Built: 1980-1989,TX,1787070,1777696,1766877,1753377,1765589,1763120,1744659,1776968,1761537,1804434
54,Year Built: 1990-1999,TX,1552601,1536490,1562231,1629018,1629844,1661828,1626983,1665697,1674541,1648544
55,Year Built: 2000-2009,TX,1185493,1198327,2254074,2201769,2175669,2186766,2130238,2095201,2070959,1996217
56,Year Built: 2010-2013,TX,1015253,1164724,185073,305307,458244,537135,588370,589160,547254,558052
57,Year Built: 2014 or later,TX,,,,,,116187.0,334580.0,553020.0,776363.0,1019798.0
58,Year Built: before 1940,TX,439497,410642,413265,395058,409275,390948,392088,393330,382158,381734
