Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,TX,5588604,279875,79456,121425,365392,392604,660784,627733,754669,1099213,1096421,111032
Statewide Total,,Cooperative,TX,7653,402,3225,0,35,1,0,0,0,2981,1003,6
Statewide Total,,Privately Owned,TX,156500,8649,0,0,70,206,35,526,6452,67030,67209,6323
Statewide Total,,Investor Owned,TX,4851402,163549,75794,116010,345854,344088,601018,555009,672318,963745,933236,80781
Statewide Total,,Municipal Owned,TX,573049,107275,437,5415,19433,48309,59731,72198,75899,65457,94973,23922
"TEXAS REPUBLIC UTILITY, LLC",40247,Investor Owned,TX,167,0,0,0,0,0,0,0,0,0,0,167
"RAVEN FOREST OPERATING, LLC",40246,Investor Owned,TX,0,0,0,0,0,0,0,0,0,0,0,0
"ENERTEX NB, LLC",39912,Investor Owned,TX,724,0,0,0,0,0,0,0,0,0,232,492
"DOMINION PRIVATIZATION, TEXAS LLC",39795,Privately Owned,TX,4263,4084,0,0,0,0,0,0,0,0,179,0
CORIX UTILITIES (TEXAS),39719,Investor Owned,TX,528,0,0,0,0,445,50,10,20,2,1,0
CROSS PLAINS MUNICIPAL GAS COMPANY,39671,Municipal Owned,TX,243,243,0,0,0,0,0,0,0,0,0,0
"METROPOLITAN PROPANE AND GAS, LTD",39622,Privately Owned,TX,415,0,0,0,0,0,0,0,0,267,148,0
5M GAS,39423,Privately Owned,TX,18,0,0,0,0,0,0,0,0,0,0,18
NAVITAS UTILITY COPORATION,32647,Privately Owned,TX,1,0,0,0,0,0,0,0,0,0,1,0
CITY OF MARFA,32621,Municipal Owned,TX,1054,835,0,0,0,0,0,0,0,0,219,0
"ALLIANT GAS, LLC",32607,Privately Owned,TX,4174,0,0,0,0,0,0,0,1630,945,1380,219
AGRITEXGAS L P,32500,Investor Owned,TX,3984,0,0,0,30,1740,668,135,0,0,1411,0
"GAS ENERGY, LLC",32371,Investor Owned,TX,6662,0,0,0,0,0,0,0,0,294,5764,604
"CONSUMERS GAS COMPANY, INC.",32332,Investor Owned,TX,302,0,0,0,0,0,0,0,0,39,237,26
TEXAS STATE NATURAL GAS,32322,Privately Owned,TX,4129,3160,0,0,0,0,0,0,475,77,395,22
DIRECT PROPANE SERVICES,32291,Privately Owned,TX,2045,0,0,0,0,0,0,0,0,60,1738,247
OHM OPERATING,32162,Privately Owned,TX,15,0,0,0,0,0,0,0,0,0,15,0
"TEXAS COMMUNITY PROPANE, LTD.",32061,Investor Owned,TX,6123,0,0,0,0,0,0,0,0,3774,2248,101
"CENTERPOINT ENERGY INTRASTATE PIPELINES, INC.",32024,Investor Owned,TX,66,11,0,0,3,2,3,0,14,10,22,1
AMERIGAS PROPANE LP,32013,Privately Owned,TX,1636,0,0,0,0,0,0,0,0,102,1534,0
"TEXAS KANSAS OKLAHOMA GAS, LLC",31981,Privately Owned,TX,437,0,0,0,0,51,8,0,187,14,163,14
"SOUTHERN STAR CENTRAL GAS PIPELINE, INC",31711,Privately Owned,TX,1,1,0,0,0,0,0,0,0,0,0,0
GREENLIGHT GAS INC,31622,Cooperative,TX,5815,402,3225,0,35,1,0,0,0,2144,8,0
"LDC, LLC.",31608,Investor Owned,TX,1338,0,0,0,0,0,0,0,0,382,873,83
"COSERV GAS, LTD",31588,Privately Owned,TX,131392,0,0,0,0,0,0,0,3363,63239,60004,4786
"ONEOK WESTEX TRANSMISSION, LLC",31531,Investor Owned,TX,593,593,0,0,0,0,0,0,0,0,0,0
"BLUEBONNET NATURAL GAS, LLC",31354,Privately Owned,TX,1481,1341,0,0,0,0,0,0,0,0,84,56
ATMOS ENERGY CORPORATION - MID-TEX,31348,Investor Owned,TX,1775783,90298,59053,69008,169160,157712,154294,212056,245227,270041,318313,30621
"SIENERGY, LP",31148,Investor Owned,TX,30172,0,0,0,0,0,0,0,500,6084,18855,4733
DCP MIDSTREAM,31130,Privately Owned,TX,63,63,0,0,0,0,0,0,0,0,0,0
"PORT ARANSAS, CITY OF",31018,Municipal Owned,TX,1460,343,0,0,0,0,0,0,125,172,692,128
T & L GAS CO,30993,Privately Owned,TX,321,0,0,0,0,0,2,129,7,48,112,23
"SPLENDORA, CITY OF",30929,Municipal Owned,TX,354,0,0,0,0,0,0,0,0,0,0,354
"OKTEX PIPELINE COMPANY, LLC",30630,Investor Owned,TX,17,17,0,0,0,0,0,0,0,0,0,0
EPCOR GAS TEXAS INC.,25110,Privately Owned,TX,4317,0,0,0,0,133,25,97,540,1920,1365,237
"MARIETTA, CITY OF",25109,Municipal Owned,TX,482,0,0,0,0,470,0,0,0,3,9,0
ZIA NATURAL GAS CO,25000,Privately Owned,TX,41,0,0,0,0,0,0,0,30,7,4,0
"WOODVILLE, CITY OF",22873,Municipal Owned,TX,1059,0,0,0,0,0,38,841,79,60,39,2
WOODSBORO NATURAL GAS CORP,22868,Privately Owned,TX,443,0,0,0,0,0,0,0,0,0,0,443
"WINONA, TOWN OF",22742,Municipal Owned,TX,459,0,0,0,15,188,0,0,226,19,11,0
