Operator ID,Operator Name,Operator Type,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Statewide Total,Total,TX,50204,62287,49379,42842,42721,48487,50809,54378,57379,63426,61589
,Statewide Total,Cooperative,TX,92,95,67,79,37,77,57,55,52,98,96
,Statewide Total,Privately Owned,TX,298,392,297,263,416,552,640,692,715,720,557
,Statewide Total,Investor Owned,TX,45355,57674,45715,39600,39425,45110,47242,50419,53994,59767,57485
,Statewide Total,Municipal Owned,TX,4459,4126,3300,2900,2843,2748,2870,3212,2618,2841,3451
40247,"TEXAS REPUBLIC UTILITY, LLC",Investor Owned,TX,0,0,0,0,0,0,0,0,0,0,0
40246,"RAVEN FOREST OPERATING, LLC",Investor Owned,TX,0,0,0,0,0,0,0,0,0,0,0
39912,"ENERTEX NB, LLC",Investor Owned,TX,0,0,0,0,0,0,0,0,1,11,23
39795,"DOMINION PRIVATIZATION, TEXAS LLC",Privately Owned,TX,0,0,0,0,0,0,0,31,167,187,106
39719,CORIX UTILITIES (TEXAS),Investor Owned,TX,0,0,0,0,0,0,0,5,10,20,42
39671,CROSS PLAINS MUNICIPAL GAS COMPANY,Municipal Owned,TX,0,0,0,0,0,0,0,6,12,2,0
39622,"METROPOLITAN PROPANE AND GAS, LTD",Privately Owned,TX,0,0,0,0,0,0,0,0,0,1,0
39423,5M GAS,Privately Owned,TX,0,0,0,0,0,0,0,0,0,0,0
32647,NAVITAS UTILITY COPORATION,Privately Owned,TX,0,0,0,0,8,3,6,0,0,0,0
32621,CITY OF MARFA,Municipal Owned,TX,0,0,35,103,17,7,4,7,14,8,5
32607,"ALLIANT GAS, LLC",Privately Owned,TX,0,10,6,3,20,43,54,54,47,39,33
32500,AGRITEXGAS L P,Investor Owned,TX,0,682,284,834,543,522,570,617,593,604,527
32371,"GAS ENERGY, LLC",Investor Owned,TX,0,4,11,9,28,23,37,30,31,20,70
32332,"CONSUMERS GAS COMPANY, INC.",Investor Owned,TX,0,1,1,0,1,1,2,2,0,3,2
32322,TEXAS STATE NATURAL GAS,Privately Owned,TX,77,99,48,37,48,71,154,62,52,26,33
32291,DIRECT PROPANE SERVICES,Privately Owned,TX,0,0,0,0,0,3,5,10,3,5,0
32162,OHM OPERATING,Privately Owned,TX,0,0,0,0,0,0,0,0,0,0,0
32061,"TEXAS COMMUNITY PROPANE, LTD.",Investor Owned,TX,7,7,14,19,20,13,19,9,12,13,4
32024,"CENTERPOINT ENERGY INTRASTATE PIPELINES, INC.",Investor Owned,TX,0,0,0,0,0,0,0,0,1,3,2
32013,AMERIGAS PROPANE LP,Privately Owned,TX,2,26,9,0,7,8,12,6,0,4,1
