,State,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,UT,All Sectors,Ammonia,CAP,41.3503398005898,TON
1,UT,All Sectors,Carbon Monoxide,CAP,9852.773823824435,TON
2,UT,All Sectors,Nitrogen Oxides,CAP,5234.2933441797595,TON
3,UT,All Sectors,PM10 Primary (Filt + Cond),CAP,1035.472421559064,TON
4,UT,All Sectors,PM2.5 Primary (Filt + Cond),CAP,859.5544231256232,TON
5,UT,All Sectors,Sulfur Dioxide,CAP,11.852593746839199,TON
6,UT,All Sectors,Volatile Organic Compounds,CAP,1462.3705805123298,TON
7,UT,All Sectors,Carbon Dioxide,GHG,268994.97998942004,TON
8,UT,All Sectors,Methane,GHG,1195.9609027985005,TON
9,UT,All Sectors,Nitrous Oxide,GHG,0.5816892464,TON
10,UT,Agriculture - Crops & Livestock Dust,PM10 Primary (Filt + Cond),CAP,632.85719986,TON
11,UT,Agriculture - Crops & Livestock Dust,PM2.5 Primary (Filt + Cond),CAP,221.63226101556,TON
12,UT,Agriculture - Livestock Waste,Volatile Organic Compounds,CAP,17.9565600299,TON
13,UT,Biogenics - Vegetation and Soil,Nitrogen Oxides,CAP,3672.3068999999996,TON
14,UT,Bulk Gasoline Terminals,Volatile Organic Compounds,CAP,25.041642335,TON
15,UT,Commercial Cooking,Carbon Monoxide,CAP,8.89051647,TON
16,UT,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,0.67307033,TON
17,UT,Commercial Cooking,Volatile Organic Compounds,CAP,9.029444017,TON
18,UT,Dust - Paved Road Dust,PM2.5 Primary (Filt + Cond),CAP,128.76702,TON
19,UT,Dust - Unpaved Road Dust,PM2.5 Primary (Filt + Cond),CAP,288.9795,TON
20,UT,Fires - Agricultural Field Burning,Carbon Monoxide,CAP,64.7,TON
21,UT,Fires - Agricultural Field Burning,PM2.5 Primary (Filt + Cond),CAP,11.621,TON
22,UT,Fires - Agricultural Field Burning,Sulfur Dioxide,CAP,0.2072,TON
