,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
50,Year Built: 1940-1949,UT,Beaver,237,208,225,211,190,148,190,183,254,339
51,Year Built: 1950-1959,UT,Beaver,225,205,230,224,206,161,182,178,209,223
52,Year Built: 1960-1969,UT,Beaver,75,71,103,110,150,426,503,496,431,305
53,Year Built: 1970-1979,UT,Beaver,502,438,430,374,465,331,369,385,401,469
54,Year Built: 1980-1989,UT,Beaver,479,357,302,328,295,422,406,451,397,357
55,Year Built: 1990-1999,UT,Beaver,385,379,363,440,488,464,441,430,520,489
56,Year Built: 2000-2009,UT,Beaver,103,156,327,346,374,0,0,0,0,13
57,Year Built: 2010-2013,UT,Beaver,72,117,0,0,0,0,0,0,42,51
58,Year Built: before 1940,UT,Beaver,793,954,929,885,754,171,186,181,159,185
50,Year Built: 1940-1949,UT,Box Elder,740,803,735,720,817,1731,1741,1753,1636,1613
51,Year Built: 1950-1959,UT,Box Elder,1652,1674,1797,1972,1792,1938,1987,2080,2116,2115
52,Year Built: 1960-1969,UT,Box Elder,2058,1986,2052,2057,1977,2797,2704,2667,2545,2328
53,Year Built: 1970-1979,UT,Box Elder,2657,2770,2759,2566,2750,1660,1630,1693,1761,1905
54,Year Built: 1980-1989,UT,Box Elder,1997,2024,1877,1918,1843,2626,2556,2534,2519,2681
55,Year Built: 1990-1999,UT,Box Elder,2248,2191,2297,2315,2462,3485,3415,3364,3241,3393
56,Year Built: 2000-2009,UT,Box Elder,1838,1716,3365,3544,3506,518,674,764,783,773
57,Year Built: 2010-2013,UT,Box Elder,1044,1347,45,169,303,33,118,235,373,565
58,Year Built: before 1940,UT,Box Elder,2656,2626,2456,2278,2306,860,871,846,971,856
50,Year Built: 1940-1949,UT,Cache,1197,1334,1238,1280,1193,2400,2234,2198,2281,2162
51,Year Built: 1950-1959,UT,Cache,2338,2397,2131,2088,2235,2826,2739,2786,2707,2570
52,Year Built: 1960-1969,UT,Cache,2647,2969,3042,2943,2938,6440,6325,6306,6635,6740
53,Year Built: 1970-1979,UT,Cache,6322,6186,6538,6556,6331,4033,4044,4020,4075,4200
54,Year Built: 1980-1989,UT,Cache,4502,4602,4439,4178,4130,6944,7280,7560,7395,7651
55,Year Built: 1990-1999,UT,Cache,7099,6774,6570,6890,6915,8986,8873,8763,8781,8390
56,Year Built: 2000-2009,UT,Cache,4198,3901,8044,8293,8627,1185,1512,1726,1818,1921
57,Year Built: 2010-2013,UT,Cache,2634,3486,257,551,993,4,184,455,820,1571
58,Year Built: before 1940,UT,Cache,5091,4944,4922,4851,4838,1347,1279,1346,1312,1176
50,Year Built: 1940-1949,UT,Carbon,1403,1451,1287,1144,1148,1052,1108,1265,1276,1161
51,Year Built: 1950-1959,UT,Carbon,1035,991,1027,1107,1123,507,492,473,498,498
52,Year Built: 1960-1969,UT,Carbon,377,424,502,505,488,2276,2225,2110,1988,1997
53,Year Built: 1970-1979,UT,Carbon,2042,1938,1931,2031,2276,983,1168,1275,1256,1312
54,Year Built: 1980-1989,UT,Carbon,1160,1203,1082,1070,988,736,798,751,789,773
55,Year Built: 1990-1999,UT,Carbon,1108,1082,1050,895,811,721,691,692,741,814
56,Year Built: 2000-2009,UT,Carbon,432,452,700,743,688,83,105,145,232,198
57,Year Built: 2010-2013,UT,Carbon,262,191,0,12,63,39,39,54,112,138
58,Year Built: before 1940,UT,Carbon,1623,1776,1949,2030,2001,1112,1029,1090,1081,1220
50,Year Built: 1940-1949,UT,Daggett,31,7,7,12,12,82,61,56,72,61
51,Year Built: 1950-1959,UT,Daggett,96,98,89,55,67,64,78,73,61,52
52,Year Built: 1960-1969,UT,Daggett,112,109,117,96,66,254,229,179,273,363
53,Year Built: 1970-1979,UT,Daggett,329,350,413,360,303,209,254,285,270,299
54,Year Built: 1980-1989,UT,Daggett,198,173,121,194,225,210,204,204,218,180
55,Year Built: 1990-1999,UT,Daggett,269,301,243,182,164,267,236,270,235,182
56,Year Built: 2000-2009,UT,Daggett,14,59,108,182,258,49,76,89,72,103
57,Year Built: 2010-2013,UT,Daggett,21,21,0,23,22,0,0,16,16,17
58,Year Built: before 1940,UT,Daggett,83,50,42,37,36,11,11,22,9,10
50,Year Built: 1940-1949,UT,Davis,2229,2002,1961,2019,2136,7027,7133,7227,7079,6937
51,Year Built: 1950-1959,UT,Davis,7453,7701,7506,7467,7474,7993,7813,8024,7808,7677
52,Year Built: 1960-1969,UT,Davis,8398,8502,8240,7876,7997,17298,17075,17057,17031,17505
53,Year Built: 1970-1979,UT,Davis,17064,17402,17073,17483,17364,14856,14449,14377,14147,14179
54,Year Built: 1980-1989,UT,Davis,14366,14268,14983,15002,15037,19690,20261,20775,21006,20804
55,Year Built: 1990-1999,UT,Davis,21384,20879,20973,20485,19969,25722,25716,25073,24983,24629
56,Year Built: 2000-2009,UT,Davis,14223,13700,23652,24619,25348,3897,4667,5736,6309,6393
57,Year Built: 2010-2013,UT,Davis,7396,9544,798,1386,2486,349,1039,2112,3638,5404
58,Year Built: before 1940,UT,Davis,2461,2585,2554,2477,2530,2397,2640,2680,2711,2955
50,Year Built: 1940-1949,UT,Duchesne,571,494,538,504,382,418,416,459,408,425
51,Year Built: 1950-1959,UT,Duchesne,430,512,535,484,481,481,491,500,495,611
52,Year Built: 1960-1969,UT,Duchesne,516,513,575,507,445,2054,1951,2047,2128,2083
53,Year Built: 1970-1979,UT,Duchesne,2181,2261,2170,1978,1956,1599,1523,1505,1552,1568
54,Year Built: 1980-1989,UT,Duchesne,1659,1606,1614,1562,1577,1489,1563,1501,1426,1536
55,Year Built: 1990-1999,UT,Duchesne,1785,1649,1559,1646,1592,2484,2483,2594,2563,2476
56,Year Built: 2000-2009,UT,Duchesne,621,821,1859,2243,2549,188,286,306,341,399
57,Year Built: 2010-2013,UT,Duchesne,461,693,10,39,57,0,11,22,104,159
58,Year Built: before 1940,UT,Duchesne,588,532,493,547,595,309,327,316,421,387
50,Year Built: 1940-1949,UT,Emery,204,197,191,183,177,189,196,207,243,235
51,Year Built: 1950-1959,UT,Emery,184,163,166,174,171,257,291,279,308,297
52,Year Built: 1960-1969,UT,Emery,171,168,237,236,222,1385,1434,1373,1366,1386
53,Year Built: 1970-1979,UT,Emery,1623,1610,1543,1446,1401,698,627,738,773,730
54,Year Built: 1980-1989,UT,Emery,833,818,756,698,716,394,348,403,416,460
55,Year Built: 1990-1999,UT,Emery,576,550,464,471,489,472,492,484,491,473
56,Year Built: 2000-2009,UT,Emery,162,203,319,374,427,42,46,49,26,32
57,Year Built: 2010-2013,UT,Emery,21,64,17,38,44,0,0,0,0,49
58,Year Built: before 1940,UT,Emery,657,683,781,855,849,177,186,174,166,175
50,Year Built: 1940-1949,UT,Garfield,187,241,258,192,187,264,277,326,283,358
51,Year Built: 1950-1959,UT,Garfield,192,215,201,278,259,202,230,242,255,226
52,Year Built: 1960-1969,UT,Garfield,278,249,229,204,193,753,735,711,728,731
53,Year Built: 1970-1979,UT,Garfield,722,671,669,630,662,483,508,544,631,655
54,Year Built: 1980-1989,UT,Garfield,530,495,439,488,450,692,699,605,615,551
55,Year Built: 1990-1999,UT,Garfield,602,719,814,722,696,434,420,550,647,708
56,Year Built: 2000-2009,UT,Garfield,155,216,421,457,501,9,11,33,43,73
57,Year Built: 2010-2013,UT,Garfield,147,195,2,2,7,1,1,5,14,14
58,Year Built: before 1940,UT,Garfield,743,643,675,759,812,172,162,154,146,142
50,Year Built: 1940-1949,UT,Grand,90,106,100,149,180,523,456,444,480,496
51,Year Built: 1950-1959,UT,Grand,480,371,472,458,491,747,679,503,403,344
52,Year Built: 1960-1969,UT,Grand,685,707,863,878,786,968,1100,1265,1362,1370
53,Year Built: 1970-1979,UT,Grand,1053,1041,872,877,927,499,507,571,377,373
54,Year Built: 1980-1989,UT,Grand,457,425,459,600,477,900,872,997,1082,1099
55,Year Built: 1990-1999,UT,Grand,1118,1134,951,865,895,895,911,890,1081,1080
56,Year Built: 2000-2009,UT,Grand,360,418,780,767,872,71,110,138,224,226
57,Year Built: 2010-2013,UT,Grand,149,277,12,29,43,0,18,61,73,106
58,Year Built: before 1940,UT,Grand,331,289,341,263,293,116,124,105,88,98
50,Year Built: 1940-1949,UT,Iron,661,762,788,705,682,926,1049,1025,883,1055
51,Year Built: 1950-1959,UT,Iron,934,888,848,761,775,960,994,1049,1150,1150
52,Year Built: 1960-1969,UT,Iron,718,749,847,825,928,3394,3337,3475,3108,2647
53,Year Built: 1970-1979,UT,Iron,2987,2972,3147,3228,3430,2868,2860,3181,3512,3626
54,Year Built: 1980-1989,UT,Iron,2463,2716,2617,2858,2853,4498,4450,4312,4209,4502
55,Year Built: 1990-1999,UT,Iron,5228,4566,4756,4797,4710,5339,5383,5280,5407,5313
56,Year Built: 2000-2009,UT,Iron,2724,2727,5316,5290,5341,270,401,496,604,617
57,Year Built: 2010-2013,UT,Iron,2007,2741,132,136,165,44,80,176,474,743
58,Year Built: before 1940,UT,Iron,1123,1209,1144,1120,995,611,601,537,660,678
50,Year Built: 1940-1949,UT,Juab,250,250,255,208,224,136,158,154,188,163
51,Year Built: 1950-1959,UT,Juab,175,161,190,155,135,114,84,146,118,106
52,Year Built: 1960-1969,UT,Juab,133,123,115,156,139,536,609,542,564,524
53,Year Built: 1970-1979,UT,Juab,492,498,575,495,516,362,360,367,361,378
54,Year Built: 1980-1989,UT,Juab,468,458,399,439,411,515,500,469,548,595
55,Year Built: 1990-1999,UT,Juab,748,701,640,602,495,831,817,856,839,803
56,Year Built: 2000-2009,UT,Juab,261,331,628,718,856,24,31,51,74,122
57,Year Built: 2010-2013,UT,Juab,165,238,9,15,25,2,16,25,36,97
58,Year Built: before 1940,UT,Juab,743,716,687,724,730,209,242,272,223,248
50,Year Built: 1940-1949,UT,Kane,32,59,65,70,109,163,176,158,184,201
51,Year Built: 1950-1959,UT,Kane,169,198,201,212,181,208,247,211,230,249
52,Year Built: 1960-1969,UT,Kane,201,261,255,238,218,970,984,994,929,839
53,Year Built: 1970-1979,UT,Kane,1423,1160,1098,1153,1103,1101,915,848,783,799
54,Year Built: 1980-1989,UT,Kane,1093,1016,1100,1080,1092,1106,1280,1380,1509,1503
55,Year Built: 1990-1999,UT,Kane,1307,1217,1016,931,962,1816,1648,1716,1696,1780
56,Year Built: 2000-2009,UT,Kane,566,943,1673,1743,1786,76,102,97,130,146
57,Year Built: 2010-2013,UT,Kane,306,532,67,63,62,0,0,6,8,64
58,Year Built: before 1940,UT,Kane,334,300,278,321,330,126,140,203,185,159
50,Year Built: 1940-1949,UT,Millard,375,358,356,489,460,263,290,261,240,273
