,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,UT,3.22,3.26,3.24,3.25,3.25,3.3,3.3,3.27,3.25,3.26
1,Avg household size of renter-occupied unit,UT,2.84,2.85,2.89,3.0,2.94,2.88,2.92,2.81,2.79,2.66
2,House Heating Fuel: Electric,UT,89581,84352,105231,102457,99264,111094,124537,134315,134529,151639
3,House Heating Fuel: Fuel Oil,UT,1919,1418,1274,966,1076,1297,1165,889,1034,826
4,House Heating Fuel: Gas,UT,751818,761814,754905,758978,779071,780746,780281,799822,820514,827604
5,House Heating Fuel: Propane,UT,21259,19908,18238,20447,21692,19320,17949,19585,20935,23489
6,House Heating Fuel: Wood,UT,10793,10522,10977,10536,11172,11431,11655,11408,12921,11231
25,Median Number of Rooms,UT,6.2,6.2,6.3,6.3,6.3,6.3,6.4,6.4,6.4,6.3
26,Number of Rooms: 1,UT,14832,14233,11743,11900,14451,16367,17059,21192,21449,20350
27,Number of Rooms: 2,UT,20972,21347,22047,20941,21764,19759,22489,24258,27558,27873
28,Number of Rooms: 3,UT,63107,63362,66261,64829,63243,67291,68161,69772,75776,76967
29,Number of Rooms: 4,UT,139404,140218,140499,135802,141052,145844,143440,142818,149028,153146
30,Number of Rooms: 5,UT,152934,157148,159246,157617,157020,152801,156609,153708,162220,170674
31,Number of Rooms: 6,UT,136883,134282,130194,133701,136929,143182,134557,142328,135961,145967
32,Number of Rooms: 7,UT,122375,125037,120898,125666,126728,125295,125534,129319,129909,124277
33,Number of Rooms: 8,UT,115124,116118,115210,117390,111357,120094,129353,125010,122722,131631
34,Number of Rooms: 9+,UT,216190,221380,230679,238318,250049,247432,257040,276280,284116,282658
35,Owner-Occupied,UT,1977729,1999973,2021969,2022845,2064547,2114864,2175433,2227464,2289530,2359179
36,Renter-Occupied,UT,752588,771096,786910,830796,833700,834087,830008,826808,823466,798415
37,Total Housing Units,UT,981821,993125,996777,1006164,1022593,1038065,1054242,1084685,1108739,1133543
38,Total Population,UT,2776469,2817222,2855287,2900872,2942902,2995919,3051217,3101833,3161105,3205958
39,Units in Structure: 1 ATTACHED,UT,60255,60059,61976,59484,58089,62791,63418,67480,72434,73640
40,Units in Structure: 1 DETACHED,UT,669378,676023,683098,697678,704948,708118,727987,741226,753337,768897
41,Units in Structure: 10-19,UT,43117,48091,43569,46943,46433,47066,46628,44083,47479,52043
42,Units in Structure: 2,UT,33980,32809,33641,32079,34658,32017,31813,29814,28981,27484
43,Units in Structure: 20-49,UT,35549,33017,32137,29504,32142,33945,35580,35676,42650,42745
44,Units in Structure: 3-4,UT,43006,44851,46446,46658,43661,42761,47596,50477,45538,49027
45,Units in Structure: 5-9,UT,36977,33448,33710,29492,35490,37563,33163,38457,39772,37578
46,Units in Structure: 50+,UT,21410,26643,24260,27563,30518,32454,34182,39854,42590,44860
47,"Units in Structure: Boat,RV,Van,Etc.",UT,1030,737,814,443,366,1013,761,674,664,116
48,Units in Structure: Mobile Home,UT,37119,37447,37126,36320,36288,40337,33114,36944,35294,37153
49,Year Built: 1940-1949,UT,39667,38899,34328,40845,39039,38510,37163,37255,35107,35073
50,Year Built: 1950-1959,UT,72588,81618,73611,76333,74577,73457,73882,74091,77168,74757
51,Year Built: 1960-1969,UT,72185,75045,75489,69150,74198,75910,77568,77023,73201,78768
52,Year Built: 1970-1979,UT,173267,172037,177146,177932,181156,170831,172979,175558,177786,171211
53,Year Built: 1980-1989,UT,132860,128028,132997,125509,129984,136575,132134,135540,131468,138368
54,Year Built: 1990-1999,UT,184470,180432,185193,185615,186263,187459,183885,192467,190776,190123
55,Year Built: 2000-2009,UT,124325,122851,224095,229062,221407,222015,216329,213157,221032,215127
56,Year Built: 2010-2013,UT,102305,114629,15013,25147,38702,48143,52355,53945,51668,52872
57,Year Built: 2014 or later,UT,,,,,,8439.0,31712.0,48352.0,75421.0,100562.0
58,Year Built: before 1940,UT,80154,79586,78905,76571,77267,76726,76235,77297,75112,76682
