,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,UT,39667,38899,34328,40845,39039,38510,37163,37255,35107,35073
50,Year Built: 1950-1959,UT,72588,81618,73611,76333,74577,73457,73882,74091,77168,74757
51,Year Built: 1960-1969,UT,72185,75045,75489,69150,74198,75910,77568,77023,73201,78768
52,Year Built: 1970-1979,UT,173267,172037,177146,177932,181156,170831,172979,175558,177786,171211
53,Year Built: 1980-1989,UT,132860,128028,132997,125509,129984,136575,132134,135540,131468,138368
54,Year Built: 1990-1999,UT,184470,180432,185193,185615,186263,187459,183885,192467,190776,190123
55,Year Built: 2000-2009,UT,124325,122851,224095,229062,221407,222015,216329,213157,221032,215127
56,Year Built: 2010-2013,UT,102305,114629,15013,25147,38702,48143,52355,53945,51668,52872
57,Year Built: 2014 or later,UT,,,,,,8439.0,31712.0,48352.0,75421.0,100562.0
58,Year Built: before 1940,UT,80154,79586,78905,76571,77267,76726,76235,77297,75112,76682
