,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",UT,38578,40316,36251,36549,33755,33009,30734,29862,27620,28407
8,"Household Income: $100,000 to $124,999",UT,75311,74401,77649,82320,86316,92603,99298,112462,117578,122117
9,"Household Income: $125,000 to $149,999",UT,39197,38079,43707,46948,47752,50551,58652,61756,71425,75432
10,"Household Income: $15,000 to $19,999",UT,42528,37600,40500,36243,33474,32743,31314,30285,27765,29587
11,"Household Income: $150,000 to $199,999",UT,28720,33196,37406,39455,44739,53165,56377,63276,68509,82782
12,"Household Income: $20,000 to $24,999",UT,47625,46138,44665,43187,44100,39078,36827,36636,34046,31755
13,"Household Income: $200,000 or more",UT,25007,28732,30340,36861,40223,43641,49150,55652,63520,74870
14,"Household Income: $25,000 to $29,999",UT,41415,43785,40432,38895,39647,40510,35216,37060,37955,33072
15,"Household Income: $30,000 to $34,999",UT,46343,45855,43860,43592,44314,43802,41991,41322,38845,39723
16,"Household Income: $35,000 to $39,999",UT,44186,43450,43565,39721,42693,43294,39723,40640,37980,31195
17,"Household Income: $40,000 to $44,999",UT,46323,45608,45093,45078,40582,43596,45254,43738,42904,40628
18,"Household Income: $45,000 to $49,999",UT,43503,39959,43838,41336,38064,39756,37757,36690,43265,36932
19,"Household Income: $50,000 to $59,999",UT,87184,81802,81169,81899,88754,81324,82108,80996,78883,78622
20,"Household Income: $60,000 to $74,999",UT,107072,112836,112151,104219,110337,112784,117782,118947,115948,119938
21,"Household Income: $75,000 to $99,999",UT,120799,121470,126383,138458,138512,139642,140905,145310,153401,162387
22,"Household Income: Less than $10,000",UT,46234,51026,48682,44714,45108,41482,40059,40816,39247,36408
23,Household Income: Total:,UT,880025,884253,895691,899475,918370,930980,943147,975448,998891,1023855
24,Median Household Income,UT,54744.0,55869.0,57049.0,59770.0,60922.0,62912.0,65977.0,68358.0,71414.0,75780.0
