,State,Tenure,Year Built,Structure Type,Heating Fuel,Federal Poverty Line,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,UT,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,0-100%,0.072,0.0,0.0,0.0,0.0,
2,UT,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,100-150%,0.172,0.0,0.0,0.0,0.0,
3,UT,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,150-200%,0.0,0.0,0.0,0.0,0.0,
4,UT,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,200-400%,0.002,0.0,0.0,0.0,0.0,
5,UT,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,400%+,0.001,0.0,0.0,0.0,0.0,
6,UT,OWNER,1940-59,1 ATTACHED,ELECTRICITY,0-100%,10.578,3654.28,276.42,150.79,0.0,11.690000000000001
7,UT,OWNER,1940-59,1 ATTACHED,ELECTRICITY,100-150%,0.167,49237.76,269.34,478.56,0.0,1.52
8,UT,OWNER,1940-59,1 ATTACHED,ELECTRICITY,150-200%,14.918,39680.79,479.07,878.59,0.0,3.42
9,UT,OWNER,1940-59,1 ATTACHED,ELECTRICITY,200-400%,36.783,33451.42,1601.38,138.95,0.0,5.2
10,UT,OWNER,1940-59,1 ATTACHED,ELECTRICITY,400%+,9.179,54794.27,574.83,615.28,0.0,2.17
11,UT,OWNER,1940-59,1 ATTACHED,OTHER,0-100%,3.071,0.0,243.46,201.94,6.01,inf
12,UT,OWNER,1940-59,1 ATTACHED,OTHER,100-150%,0.157,0.0,0.0,0.0,0.0,
13,UT,OWNER,1940-59,1 ATTACHED,OTHER,150-200%,0.112,0.0,0.0,0.0,0.0,
14,UT,OWNER,1940-59,1 ATTACHED,OTHER,200-400%,0.046,0.0,0.0,0.0,0.0,
15,UT,OWNER,1940-59,1 ATTACHED,OTHER,400%+,0.443,0.0,0.0,0.0,0.0,
16,UT,OWNER,1940-59,1 ATTACHED,SOLAR,0-100%,0.104,0.0,0.0,0.0,0.0,
17,UT,OWNER,1940-59,1 ATTACHED,SOLAR,100-150%,0.043,0.0,0.0,0.0,0.0,
18,UT,OWNER,1940-59,1 ATTACHED,SOLAR,150-200%,0.082,0.0,0.0,0.0,0.0,
19,UT,OWNER,1940-59,1 ATTACHED,SOLAR,200-400%,0.167,0.0,0.0,0.0,0.0,
20,UT,OWNER,1940-59,1 ATTACHED,SOLAR,400%+,0.341,0.0,0.0,0.0,0.0,
21,UT,OWNER,1940-59,1 ATTACHED,UTILITY GAS,0-100%,105.887,5036.77,301.84,382.69,0.0,13.59
22,UT,OWNER,1940-59,1 ATTACHED,UTILITY GAS,100-150%,60.492,18567.39,907.52,674.71,0.0,8.52
23,UT,OWNER,1940-59,1 ATTACHED,UTILITY GAS,150-200%,47.282,23614.72,916.89,438.2,0.0,5.74
24,UT,OWNER,1940-59,1 ATTACHED,UTILITY GAS,200-400%,232.693,55264.03,690.49,744.38,0.0,2.6
25,UT,OWNER,1940-59,1 ATTACHED,UTILITY GAS,400%+,324.805,129647.21,825.57,607.16,0.0,1.11
26,UT,OWNER,1940-59,1 ATTACHED,WOOD,0-100%,0.669,0.0,0.0,0.0,0.0,
27,UT,OWNER,1940-59,1 ATTACHED,WOOD,100-150%,0.218,0.0,0.0,0.0,0.0,
28,UT,OWNER,1940-59,1 ATTACHED,WOOD,150-200%,0.383,0.0,0.0,0.0,0.0,
29,UT,OWNER,1940-59,1 ATTACHED,WOOD,200-400%,1.085,0.0,0.0,0.0,0.0,
30,UT,OWNER,1940-59,1 ATTACHED,WOOD,400%+,2.378,0.0,0.0,0.0,0.0,
31,UT,OWNER,1940-59,1 ATTACHED,COAL,0-100%,0.083,0.0,0.0,0.0,0.0,
32,UT,OWNER,1940-59,1 ATTACHED,COAL,100-150%,0.0,0.0,0.0,0.0,0.0,
33,UT,OWNER,1940-59,1 ATTACHED,COAL,150-200%,0.0,0.0,0.0,0.0,0.0,
34,UT,OWNER,1940-59,1 ATTACHED,COAL,200-400%,0.0,0.0,0.0,0.0,0.0,
35,UT,OWNER,1940-59,1 ATTACHED,COAL,400%+,0.048,0.0,0.0,0.0,0.0,
36,UT,OWNER,1940-59,1 ATTACHED,NONE,0-100%,0.471,0.0,0.0,0.0,0.0,
37,UT,OWNER,1940-59,1 ATTACHED,NONE,100-150%,0.176,0.0,0.0,0.0,0.0,
38,UT,OWNER,1940-59,1 ATTACHED,NONE,150-200%,0.476,0.0,0.0,0.0,0.0,
39,UT,OWNER,1940-59,1 ATTACHED,NONE,200-400%,0.075,0.0,0.0,0.0,0.0,
40,UT,OWNER,1940-59,1 ATTACHED,NONE,400%+,0.118,0.0,0.0,0.0,0.0,
41,UT,OWNER,1940-59,1 ATTACHED,FUEL OIL,0-100%,0.0,0.0,0.0,0.0,0.0,
42,UT,OWNER,1940-59,1 ATTACHED,FUEL OIL,100-150%,0.0,0.0,0.0,0.0,0.0,
43,UT,OWNER,1940-59,1 ATTACHED,FUEL OIL,150-200%,0.0,0.0,0.0,0.0,0.0,
44,UT,OWNER,1940-59,1 ATTACHED,FUEL OIL,200-400%,0.07,0.0,0.0,0.0,0.0,
45,UT,OWNER,1940-59,1 ATTACHED,FUEL OIL,400%+,0.0,0.0,0.0,0.0,0.0,
46,UT,OWNER,1940-59,1 DETACHED,BOTTLED GAS,0-100%,55.834,8728.29,1213.82,1553.6,0.0,31.71
47,UT,OWNER,1940-59,1 DETACHED,BOTTLED GAS,100-150%,68.818,26971.63,1494.24,646.08,69.18,8.19
48,UT,OWNER,1940-59,1 DETACHED,BOTTLED GAS,150-200%,129.134,31256.67,1105.44,1304.68,216.98,8.4
49,UT,OWNER,1940-59,1 DETACHED,BOTTLED GAS,200-400%,370.167,57621.47,919.18,1013.52,85.98,3.5000000000000004
50,UT,OWNER,1940-59,1 DETACHED,BOTTLED GAS,400%+,313.261,140347.26,1055.85,1143.66,235.71,1.7399999999999998
51,UT,OWNER,1940-59,1 DETACHED,ELECTRICITY,0-100%,241.396,7610.74,905.56,370.93,30.55,17.169999999999998
52,UT,OWNER,1940-59,1 DETACHED,ELECTRICITY,100-150%,252.525,27300.99,1402.49,532.21,5.63,7.109999999999999
53,UT,OWNER,1940-59,1 DETACHED,ELECTRICITY,150-200%,397.928,41035.99,1132.86,603.46,21.82,4.279999999999999
54,UT,OWNER,1940-59,1 DETACHED,ELECTRICITY,200-400%,1585.143,64626.4,1122.14,588.35,29.9,2.69
55,UT,OWNER,1940-59,1 DETACHED,ELECTRICITY,400%+,1603.968,120864.57,1222.83,586.65,36.52,1.53
56,UT,OWNER,1940-59,1 DETACHED,OTHER,0-100%,14.423,7615.43,490.54,332.8,32.53,11.24
57,UT,OWNER,1940-59,1 DETACHED,OTHER,100-150%,4.22,15291.37,185.41,239.14,349.4,5.06
58,UT,OWNER,1940-59,1 DETACHED,OTHER,150-200%,25.773,30270.38,889.45,711.05,761.26,7.8
59,UT,OWNER,1940-59,1 DETACHED,OTHER,200-400%,78.169,54342.69,895.83,362.02,384.59,3.02
60,UT,OWNER,1940-59,1 DETACHED,OTHER,400%+,29.681,67779.75,689.8,324.86,339.3,2.0
61,UT,OWNER,1940-59,1 DETACHED,SOLAR,0-100%,1.666,0.0,0.0,0.0,0.0,
62,UT,OWNER,1940-59,1 DETACHED,SOLAR,100-150%,2.585,0.0,0.0,0.0,0.0,
63,UT,OWNER,1940-59,1 DETACHED,SOLAR,150-200%,3.701,20250.74,0.0,142.82,0.0,0.7100000000000001
64,UT,OWNER,1940-59,1 DETACHED,SOLAR,200-400%,31.402,40957.71,337.2,542.89,0.0,2.15
65,UT,OWNER,1940-59,1 DETACHED,SOLAR,400%+,8.783,39827.23,1209.08,1032.51,526.26,6.950000000000001
66,UT,OWNER,1940-59,1 DETACHED,UTILITY GAS,0-100%,3183.177,11181.84,862.46,783.04,31.75,15.0
67,UT,OWNER,1940-59,1 DETACHED,UTILITY GAS,100-150%,4216.517,26779.44,874.19,778.61,25.54,6.2700000000000005
68,UT,OWNER,1940-59,1 DETACHED,UTILITY GAS,150-200%,5845.018,37090.01,826.96,732.02,27.43,4.279999999999999
69,UT,OWNER,1940-59,1 DETACHED,UTILITY GAS,200-400%,24196.631,60352.17,838.7,727.45,25.13,2.64
70,UT,OWNER,1940-59,1 DETACHED,UTILITY GAS,400%+,27644.7,129125.36,901.22,772.04,31.07,1.32
71,UT,OWNER,1940-59,1 DETACHED,WOOD,0-100%,87.306,10527.55,803.72,938.18,694.15,23.14
72,UT,OWNER,1940-59,1 DETACHED,WOOD,100-150%,93.22,23953.31,1029.45,229.63,756.58,8.41
73,UT,OWNER,1940-59,1 DETACHED,WOOD,150-200%,102.826,27592.02,759.8,308.52,436.39,5.45
74,UT,OWNER,1940-59,1 DETACHED,WOOD,200-400%,342.811,52343.03,1319.98,406.6,272.89,3.82
75,UT,OWNER,1940-59,1 DETACHED,WOOD,400%+,178.443,90654.05,1613.97,395.15,250.18,2.4899999999999998
76,UT,OWNER,1940-59,1 DETACHED,COAL,0-100%,9.84,10193.28,335.46,0.0,653.9,9.71
77,UT,OWNER,1940-59,1 DETACHED,COAL,100-150%,12.273,32595.23,985.15,114.66,484.56,4.859999999999999
78,UT,OWNER,1940-59,1 DETACHED,COAL,150-200%,8.993,43525.18,1185.68,305.24,477.86,4.52
79,UT,OWNER,1940-59,1 DETACHED,COAL,200-400%,51.468,66016.07,949.39,590.57,471.48,3.05
80,UT,OWNER,1940-59,1 DETACHED,COAL,400%+,28.806,115144.78,1369.24,101.99,514.4,1.72
81,UT,OWNER,1940-59,1 DETACHED,NONE,0-100%,1.534,0.0,0.0,0.0,0.0,
82,UT,OWNER,1940-59,1 DETACHED,NONE,100-150%,3.4,37813.04,891.24,432.59,0.0,3.5000000000000004
83,UT,OWNER,1940-59,1 DETACHED,NONE,150-200%,12.725,47076.92,1109.59,538.57,0.0,3.5000000000000004
84,UT,OWNER,1940-59,1 DETACHED,NONE,200-400%,0.716,0.0,0.0,0.0,0.0,
85,UT,OWNER,1940-59,1 DETACHED,NONE,400%+,0.389,0.0,0.0,0.0,0.0,
86,UT,OWNER,1940-59,1 DETACHED,FUEL OIL,0-100%,4.454,7412.45,562.25,0.0,863.58,19.24
87,UT,OWNER,1940-59,1 DETACHED,FUEL OIL,100-150%,6.993,13095.93,854.6,140.4,1142.69,16.32
88,UT,OWNER,1940-59,1 DETACHED,FUEL OIL,150-200%,11.412,19935.75,787.7,39.74,421.28,6.260000000000001
89,UT,OWNER,1940-59,1 DETACHED,FUEL OIL,200-400%,35.937,39844.87,1025.46,0.0,946.95,4.95
90,UT,OWNER,1940-59,1 DETACHED,FUEL OIL,400%+,27.609,143797.16,887.54,246.06,965.24,1.46
91,UT,OWNER,1940-59,MOBILE_TRAILER,BOTTLED GAS,0-100%,0.736,0.0,0.0,0.0,0.0,
92,UT,OWNER,1940-59,MOBILE_TRAILER,BOTTLED GAS,100-150%,1.2,0.0,0.0,0.0,0.0,
93,UT,OWNER,1940-59,MOBILE_TRAILER,BOTTLED GAS,150-200%,0.122,0.0,0.0,0.0,0.0,
94,UT,OWNER,1940-59,MOBILE_TRAILER,BOTTLED GAS,200-400%,3.351,0.0,0.0,0.0,0.0,
95,UT,OWNER,1940-59,MOBILE_TRAILER,BOTTLED GAS,400%+,2.677,0.0,0.0,0.0,0.0,
96,UT,OWNER,1940-59,MOBILE_TRAILER,ELECTRICITY,0-100%,2.451,0.0,0.0,0.0,0.0,
97,UT,OWNER,1940-59,MOBILE_TRAILER,ELECTRICITY,100-150%,0.982,0.0,0.0,0.0,0.0,
98,UT,OWNER,1940-59,MOBILE_TRAILER,ELECTRICITY,150-200%,1.314,0.0,0.0,0.0,0.0,
99,UT,OWNER,1940-59,MOBILE_TRAILER,ELECTRICITY,200-400%,11.959,4019.0,27.11,46.67,0.0,1.8399999999999999
100,UT,OWNER,1940-59,MOBILE_TRAILER,ELECTRICITY,400%+,17.145,297.7,2.01,3.46,0.0,1.8399999999999999
101,UT,OWNER,1940-59,MOBILE_TRAILER,OTHER,0-100%,0.0,0.0,0.0,0.0,0.0,
102,UT,OWNER,1940-59,MOBILE_TRAILER,OTHER,100-150%,0.0,0.0,0.0,0.0,0.0,
103,UT,OWNER,1940-59,MOBILE_TRAILER,OTHER,150-200%,0.0,0.0,0.0,0.0,0.0,
104,UT,OWNER,1940-59,MOBILE_TRAILER,OTHER,200-400%,0.0,0.0,0.0,0.0,0.0,
105,UT,OWNER,1940-59,MOBILE_TRAILER,OTHER,400%+,0.001,0.0,0.0,0.0,0.0,
106,UT,OWNER,1940-59,MOBILE_TRAILER,SOLAR,0-100%,0.001,0.0,0.0,0.0,0.0,
107,UT,OWNER,1940-59,MOBILE_TRAILER,SOLAR,100-150%,0.077,0.0,0.0,0.0,0.0,
108,UT,OWNER,1940-59,MOBILE_TRAILER,SOLAR,150-200%,0.043,0.0,0.0,0.0,0.0,
109,UT,OWNER,1940-59,MOBILE_TRAILER,SOLAR,200-400%,0.035,0.0,0.0,0.0,0.0,
110,UT,OWNER,1940-59,MOBILE_TRAILER,SOLAR,400%+,0.005,0.0,0.0,0.0,0.0,
111,UT,OWNER,1940-59,MOBILE_TRAILER,UTILITY GAS,0-100%,36.171,8343.6,406.04,274.88,0.0,8.16
112,UT,OWNER,1940-59,MOBILE_TRAILER,UTILITY GAS,100-150%,31.245,15027.74,619.53,393.66,0.0,6.74
113,UT,OWNER,1940-59,MOBILE_TRAILER,UTILITY GAS,150-200%,15.835,12800.42,266.36,181.63,0.0,3.5000000000000004
114,UT,OWNER,1940-59,MOBILE_TRAILER,UTILITY GAS,200-400%,63.532,14762.47,154.06,111.41,0.0,1.7999999999999998
115,UT,OWNER,1940-59,MOBILE_TRAILER,UTILITY GAS,400%+,43.635,24004.63,502.03,45.03,0.0,2.2800000000000002
116,UT,OWNER,1940-59,MOBILE_TRAILER,WOOD,0-100%,0.04,0.0,0.0,0.0,0.0,
117,UT,OWNER,1940-59,MOBILE_TRAILER,WOOD,100-150%,0.0,0.0,0.0,0.0,0.0,
118,UT,OWNER,1940-59,MOBILE_TRAILER,WOOD,150-200%,0.0,0.0,0.0,0.0,0.0,
119,UT,OWNER,1940-59,MOBILE_TRAILER,WOOD,200-400%,0.0,0.0,0.0,0.0,0.0,
120,UT,OWNER,1940-59,MOBILE_TRAILER,WOOD,400%+,0.0,0.0,0.0,0.0,0.0,
