State,Metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
UT,"Losses from leaks, etc. within State (Mcf)",0,0,0,0,0,928187,36006,0,0,73858,49405,11704,95594,74346,361877,228514,2610294,2672086,2485344,2773780,2625536,2845457,3118736
UT,Residential Total Volume (Mcf),58107777,56842904,55473962,55626416,55007710,59397690,54631845,60526936,58043610,60016584,60563497,65974417,65184303,66087491,70076327,59800783,70490688,62457666,58561755,63928739,66700428,67415346,75938283
UT,Residential Sales Volume (Mcf),58107777,56842904,55473962,55626416,55007710,59397690,54631845,60526936,58043610,60016584,60563497,65974417,65184303,66087491,70076327,59800783,70490688,62457666,58561755,63928739,66700428,67415346,75938283
UT,Residential Transported Volume (Mcf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Residential Sales Price (Dollars),5.65,6.17,5.92,6.56,10.02,9.21,9.42,10.42,12.18,13.38,11.61,12.23,10.27,9.59,10.15,9.68,8.99,9.06,8.92,8.89,8.21,7.9,8.0
UT,Residential Transported Price (Dollars),,,,,,,,,,,,,,,,,,,,,,,
UT,Residential Sales Revenue (Dollars),298290222,316486902,297866682,345150747,444830816,379589835,400671872,491578269,563749063,661406538,571438228,593499825,583149529,543542341,591595344,520069843,602562582,592381430,569293361,583322550,603825431,609372062,593940951
UT,Residential Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Residential Total Customers,567786,588364,609603,641111,657728,660677,678833,701255,743761,754554,778644,794880,810442,821525,830219,840687,854389,869052,891917,905849,926623,950644,976042
UT,Residential Sales Customers,567786,588364,609603,641111,657728,660677,678833,701255,743761,754554,778644,794880,810442,821525,830219,840687,854389,869052,891917,905849,926623,950644,976042
UT,Residential Transported Customers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Commercial Total Volume (Mcf),31129000,30955140,30360826,31282394,30916620,33500906,30994172,31156040,34446535,34051451,34447333,37611698,37024452,38460702,40443890,35363189,41398129,38156165,35771815,39065838,41263681,42366752,47335593
UT,Commercial Sales Volume (Mcf),25907350,25528096,25156485,26230346,26104015,28031797,26157448,26306192,29913675,29541748,29931450,32508658,31686091,33153221,35052172,29681751,33859518,29873451,27555181,29718206,29945650,29392210,31159119
UT,Commercial Transported Volume (Mcf),5221650,5427044,5204341,5052048,4812605,5469109,4836724,4849848,4532860,4509703,4515883,5103040,5338361,5307481,5391718,5681438,7538611,8282714,8216634,9347632,11318031,12974542,16176474
UT,Commercial Sales Price (Dollars),5.06,5.46,5.19,5.81,7.9,7.1,5.95,6.75,8.23,9.61,8.03,7.74,8.77,9.71,7.39,9.22,7.42,7.06,7.77,7.01,6.75,6.55,6.75
UT,Commercial Transported Price (Dollars),,,,,,,,,,,,0.63,0.57,0.57,0.52,0.46,0.5,0.59,0.67,0.71,0.72,0.76,0.78
UT,Commercial Sales Revenue (Dollars),101351273,110892200,103638117,129171769,177056884,145649494,155738085,177605588,246196889,283749037,240354993,251697265,239833255,226413610,247155279,207871584,241322065,230228560,219563810,220668881,221550201,216743966,197977287
UT,Commercial Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,3187872,3065421,3030190,2805337,2640910,3795538,4917327,5481371,6657881,8122692,9831929,12548429
UT,Commercial Total Customers,40689,42054,43861,47201,47477,50202,51063,51503,55174,55821,57741,59502,60781,61976,62885,63383,64114,65134,66143,66987,67926,69191,70275
UT,Commercial Sales Customers,40659,42026,43833,47163,47433,50168,51026,51422,55144,55794,57694,59472,60745,61929,62831,63298,63960,64931,65917,66691,67540,68654,69568
UT,Commercial Transported Customers,30,28,28,38,44,34,37,81,30,27,47,30,36,47,54,85,154,203,226,296,386,537,707
UT,Industrial Total Volume (Mcf),44162075,45500564,40858569,39378361,33584556,26879032,25200304,26674175,25369894,29076120,31577779,33112044,29845172,32078559,33632654,36349833,38008894,38329800,37188677,38567631,40007033,39935369,41347709
UT,Industrial Sales Volume (Mcf),3927584,3913417,3899126,3925159,3494639,3662215,3427274,5281208,4946251,5843806,4437486,4195588,3634197,3893131,4275909,4016024,4226097,3501068,2775763,2139140,1640249,1264109,1046337
UT,Industrial Transported Volume (Mcf),40234491,41587147,36959443,35453202,30089917,23216817,21773030,21392967,20423643,23232314,27140293,28916456,26210975,28185428,29356745,32333809,33782797,34828732,34412914,36428491,38366784,38671260,40301372
UT,Industrial Sales Price (Dollars),2.91,3.62,3.44,3.84,5.29,3.91,5.04,5.9,7.33,8.02,6.35,7.21,8.47,6.46,6.02,4.48,4.99,5.44,4.51,4.56,4.5,4.22,4.24
UT,Industrial Transported Price (Dollars),,,,,,,,,,,,0.16,0.21,0.21,0.23,0.23,0.26,0.28,0.33,0.36,0.38,0.39,0.39
UT,Industrial Sales Revenue (Dollars),10022419,11748434,11464560,15438102,18479554,14302870,17276198,31151324,36271871,46882146,28162657,30240068,20434724,21700321,23503600,18849326,22043233,20562276,16450749,11801081,9030634,6707576,5229514
UT,Industrial Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,4163427,5118730,5503555,6119296,6631994,7442772,8596680,9880722,11562648,13037495,13515243,14048343
UT,Industrial Total Customers,3379,3597,3625,3576,3535,949,924,312,191,274,278,313,293,293,286,302,323,326,320,322,334,350,363
UT,Industrial Sales Customers,3306,3518,3507,3498,3460,863,842,204,117,192,180,234,210,205,189,189,187,176,157,129,104,87,74
UT,Industrial Transported Customers,73,79,118,78,75,86,82,108,74,82,98,79,83,88,97,113,136,150,163,193,230,263,289
UT,Electric Total Volume (Mcf),3469348,5651241,6512885,11569370,17605155,15901355,13925641,9587303,7672938,11054825,26033537,32696131,27120103,49419563,39489322,46974628,48203264,61002027,55831737,59218272,40744470,59912745,66841596
UT,Electric Sales Volume (Mcf),34116,38041,40794,353716,1142808,462133,5586,4851,5542,67076,243554,102822,85610,18207,11302,19801,31938,5542,203,0,0,0,0
UT,Electric Transported Volume (Mcf),3435232,5613200,6472091,11215654,16462347,15439222,13920055,9582452,7667396,10987749,25789983,32593309,27034493,49401356,39478020,46954827,48171326,60996485,55831534,59218272,40744470,59912745,66841596
UT,Electric Sales Price (Dollars),2.43,3.09,3.02,4.32,5.67,6.37,4.99,5.73,7.53,5.79,4.27,8.16,2.14,4.81,5.15,3.36,4.3,6.55,23.86,,,,
UT,Electric Transported Price (Dollars),,,,,,,,,,,,0.08,0.12,0.11,0.12,0.1,0.12,0.28,5.04,3.5,3.65,4.99,3.96
UT,Electric Sales Revenue (Dollars),82988,117564,123225,1528068,6482727,2945914,27869,27802,41704,388456,1040133,839449,182851,87504,58160,66461,137413,36322,4844,0,0,0,0
UT,Electric Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,2385283,2853363,2850909,2197119,2440213,2750940,4209541,5796900,10411264,7398406,7603463,12590900
UT,Electric Total Customers,10,12,16,25,27,26,25,14,17,19,24,18,17,18,18,17,17,22,21,19,20,19,19
UT,Electric Sales Customers,5,6,5,17,13,12,12,1,1,3,3,3,2,1,1,1,1,1,1,0,0,0,0
UT,Electric Transported Customers,5,6,11,8,14,14,13,13,16,16,21,15,15,17,17,16,16,21,20,19,20,19,19
UT,Vehicle Fuel Total Volume (Mcf),127774,136205,129644,143694,129754,137676,127199,123587,122964,129949,164833,370941,405332,445514,510057,588649,596376,632327,575915,434572,348468,338311,316846
UT,Vehicle Fuel Sales Volume (Mcf),127774,136205,129644,143694,129754,137676,127199,123587,122964,129949,164833,370941,405332,445514,510057,588649,596376,632327,505674,392085,348468,338311,316846
UT,Vehicle Fuel Transported Volume (Mcf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70241,42487,0,0,0
UT,Vehicle Fuel Sales Price (Dollars),3.89,3.78,3.86,5.72,7.24,6.33,7.09,7.81,9.1,10.55,8.33,8.08,10.01,11.61,13.01,15.02,15.44,15.55,14.4,14.02,12.63,12.3,17.07
UT,Vehicle Fuel Transported Price (Dollars),,,,,,,,,,,,,,,,,,,,,,,
UT,Vehicle Fuel Sales Revenue (Dollars),686091,737925,689503,821524,939013,872053,901393,964620,1119145,1371178,1372996,2997019,4057327,5173521,6634259,8841341,9209785,9833441,7783324,5789410,4119394,3973027,5998809
UT,Vehicle Fuel Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Vehicle Fuel Total Customers,244,190,62,90,105,34,31,31,30,19,18,18,1,1,1,1,1,1,22,5,4,4,4
UT,Vehicle Fuel Sales Customers,244,190,62,90,105,34,31,31,30,19,18,18,1,1,1,1,1,1,2,4,4,4,4
UT,Vehicle Fuel Transported Customers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0
