Operator ID,Operator Name,Operator Type,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Statewide Total,Total,UT,21,36,55,24,16,19,19,11,23,27,21
,Statewide Total,Cooperative,UT,0,0,0,0,0,0,0,0,0,0,0
,Statewide Total,Privately Owned,UT,0,0,0,0,0,0,0,0,0,0,0
,Statewide Total,Investor Owned,UT,0,0,0,0,0,0,0,0,0,0,0
,Statewide Total,Municipal Owned,UT,21,36,55,24,16,19,19,11,23,27,21
31158,"HILDALE, CITY OF",Municipal Owned,UT,0,0,1,0,0,1,2,0,0,0,0
30510,NEPHI CITY,Municipal Owned,UT,8,10,29,10,10,8,10,0,9,20,15
30509,MONA TOWN,Municipal Owned,UT,3,26,13,4,6,6,5,4,5,3,5
30508,LEVAN TOWN,Municipal Owned,UT,0,0,2,0,0,0,0,0,0,0,0
30047,"BLANDING, CITY OF",Municipal Owned,UT,10,0,10,10,0,4,2,7,9,4,1
